回答者(or No.),問１．あなたの年齢を教えてください。（令和５年11月25日時点）,問２．あなたの自認する性別を教えてください。,問３．あなたは結婚していますか。,問４．一緒に住んでいる家族を教えてください。（複数回答１）,問４．一緒に住んでいる家族を教えてください。（複数回答２）,問４．一緒に住んでいる家族を教えてください。（複数回答３）,問４．７．その他,問５．あなたの家の生計を立てているのは主にどなたですか。生計を立てている方が複数いる場合は、もっとも多くの生計を負担している人をお答えください。また、仕送り等で生計を立てている方は、その仕送り等を主にしてくれている人をお答えください。,問５．10．その他,問６．あなたが最後に卒業した（中退等を含む）学校等はどれですか。在学中の方は、現在在学している学校等をお答えください。,問６．７．その他,問７．あなたは現在働いていますか。該当するものをお答えください。,問８．あなたが現在働いていない理由を教えてください。,問８．８．その他,問９．Ａ　会話やメール等をよくしている人（複数選択１）,問９．Ａ　会話やメール等をよくしている人（複数選択２）,問９．Ａ　会話やメール等をよくしている人（複数選択３）,問９．Ａ　会話やメール等をよくしている人（複数選択４）,問９．Ｂ　何でも悩みを相談できる人（複数選択１）,問９．Ｂ　何でも悩みを相談できる人（複数選択２）,問９．Ｂ　何でも悩みを相談できる人（複数選択３）,問９．Ｂ　何でも悩みを相談できる人（複数選択４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢１）,問９．Ｃ　楽しく話せるときがある人（複数選択肢２）,問９．Ｃ　楽しく話せるときがある人（複数選択肢３）,問９．Ｃ　楽しく話せるときがある人（複数選択肢４）,問９．Ｃ　楽しく話せるときがある人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢１）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢２）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢３）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢４）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢５）,問９．Ｄ　困ったときは助けてくれる人（複数選択肢６）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢１）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢２）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢３）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢４）,問９．Ｅ　ほかの人には言えない本音を話せることがある人（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢１）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢２）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢３）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢４）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢５）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢６）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢７）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢８）,問10．あなたが日常的にほっとできる、安心できる場所はどこですか。（複数選択肢９）,問10．15．その他,問11．全体として、あなたは最近の生活に、どのくらい満足していますか。,問12．あなたは現在、悩み事はありますか。,問13．あなたの悩みごとは何ですか。（複数選択肢１）,問13．あなたの悩みごとは何ですか。（複数選択肢２）,問13．あなたの悩みごとは何ですか。（複数選択肢３）,問13．あなたの悩みごとは何ですか。（複数選択肢４）,問13．あなたの悩みごとは何ですか。（複数選択肢５）,問13．あなたの悩みごとは何ですか。（複数選択肢６）,問13．あなたの悩みごとは何ですか。（複数選択肢７）,問13．あなたの悩みごとは何ですか。（複数選択肢８）,問13．あなたの悩みごとは何ですか。（複数選択肢９）,問13．あなたの悩みごとは何ですか。（複数選択肢１０）,問13．16．その他,問14．悩みを誰かに相談しましたか。,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢１）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢２）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢３）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢４）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢５）,問15．悩みを誰に相談しましたか。また相談する予定ですか。（複数選択肢６）,問15．12．その他,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢１）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢２）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢３）,問16．どのような方法で相談しましたか。また相談する予定ですか。（複数選択肢４）,問16．５．その他,問17．誰かに相談したいと思いますか。,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢１）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢２）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢３）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢４）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢５）,問18．あなたが、ものごとがうまくいかず落ち込んだときに、家族以外でどういった人なら、相談したり、助けてもらったりしやすいと感じますか。（複数選択肢６）,問18．８．その他,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢１）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢２）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢３）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢４）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢５）,問19．あなたが相談をしようと思ったとき、どのような相談環境であれば相談しやすいと思いますか。（複数選択肢６）,問19．７．その他,問20．相談したくないと思う理由は何ですか。（複数選択肢１）,問20．相談したくないと思う理由は何ですか。（複数選択肢２）,問20．相談したくないと思う理由は何ですか。（複数選択肢３）,問20．相談したくないと思う理由は何ですか。（複数選択肢４）,問20．相談したくないと思う理由は何ですか。（複数選択肢５）,問20．相談したくないと思う理由は何ですか。（複数選択肢６）,問20．９．その他,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢１）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢２）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢３）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢４）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢５）,問21．狛江市や近隣にある若者向けの次の相談事業や機関の中に、知っているものはありますか。（複数選択肢６）,問21．10.その他,問22．狛江市内に相談ができたり、居場所となるようなものとして、どのような場所やサービスがあるといいと思いますか。,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢１）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢２）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢３）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢４）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢５）,問23．狛江市からの市事業の情報ツールはどれから情報を得たいと思いますか。また、どれが得やすいと考えますか。（複数選択肢６）,問23．７．その他,問24．結婚についてどのように考えていますか。,問25．結婚したいと思う理由は何ですか。（複数選択肢１）,問25．結婚したいと思う理由は何ですか。（複数選択肢２）,問25．結婚したいと思う理由は何ですか。（複数選択肢３）,問25．結婚したいと思う理由は何ですか。（複数選択肢４）,問25．結婚したいと思う理由は何ですか。（複数選択肢５）,問25．結婚したいと思う理由は何ですか。（複数選択肢６）,問25．結婚したいと思う理由は何ですか。（複数選択肢７）,問25．９．その他,問26．現在結婚していない理由は何ですか。（複数選択肢１）,問26．現在結婚していない理由は何ですか。（複数選択肢２）,問26．現在結婚していない理由は何ですか。（複数選択肢３）,問26．現在結婚していない理由は何ですか。（複数選択肢４）,問26．現在結婚していない理由は何ですか。（複数選択肢５）,問26．現在結婚していない理由は何ですか。（複数選択肢６）,問26．現在結婚していない理由は何ですか。（複数選択肢７）,問26．現在結婚していない理由は何ですか。（複数選択肢８）,問26．11．その他,問27．将来的に子どもは何人いることが理想ですか。理想の子どもの数をお答えください。,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢５）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢６）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢７）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢８）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢９）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１０）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１１）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１２）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１３）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１４）,問28．理想の数の子どもをもてるようになるには、どのようなことがあればいいと思いますか。（複数選択肢１５）,問28．16．その他,問29．子どもをもたない理由は何ですか。（複数選択肢１）,問29．子どもをもたない理由は何ですか。（複数選択肢２）,問29．子どもをもたない理由は何ですか。（複数選択肢３）,問29．子どもをもたない理由は何ですか。（複数選択肢４）,問29．子どもをもたない理由は何ですか。（複数選択肢５）,問29．子どもをもたない理由は何ですか。（複数選択肢６）,問29．子どもをもたない理由は何ですか。（複数選択肢７）,問29．子どもをもたない理由は何ですか。（複数選択肢８）,問29．子どもをもたない理由は何ですか。（複数選択肢９）,問29．10．その他,問30．あなたは、あなたを含めたこれからの若者（18歳から39歳ぐらいまでの人）のために、市に期待する取組（若者の居場所支援や結婚支援等を含む）があればご記入ください。
120,3,2,2,6,,,,1,,5,,1,,,1,,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,5,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,3,,,,,,,,,,,,,1,2,,,,,,,2,,,,,,,1,1,2,,,,,,,1,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
121,4,2,1,5,,,,6,,5,,1,,,1,2,,,1,2,,,1,2,3,,,1,2,,,,,1,2,,,,1,2,3,11,,,,,,,4,1,3,13,,,,,,,,,,1,2,5,,,,,,1,,,,,,1,2,3,,,,,4,5,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,経済支援、同年代の子どもをもつ親が集まれるイベント
122,4,1,2,6,,,,1,,5,,2,,,3,,,,1,,,,3,,,,,1,,,,,,2,,,,,1,,,,,,,,,,2,1,15,3,10,12,13,,,,,,,2,,,,,,,,,,,,,1,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,5,1,1,5,,,,1,,5,,1,,,1,2,3,6,1,2,3,6,1,2,3,6,,1,3,,,,,1,,,,,1,2,3,11,,,,,,,3,1,2,3,,,,,,,,,,2,,,,,,,,,,,,,5,8,,,,,,特に相談しない,1,,,,,,,,,,,,,,5,9,8,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,2,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,,
124,2,2,2,6,,,,1,,5,,1,,,1,2,,,2,,,,1,2,,,,1,2,,,,,1,2,,,,1,6,,,,,,,,,2,1,2,6,4,8,10,12,15,14,13,,,1,1,3,5,11,9,,,1,3,,,,,2,1,,,,,,1,3,5,4,,,,,,,,,,,,,,,,,,思う。狛江市は比較的若者もいると思うので、他の若者がどうやって対処してるのかなども知りたい。,6,2,,,,,,3,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,若者の居場所支援。夢を追う人を応援する団体（芸能を目指す若者が生活費を稼げる、勤務先。急なオーディションなどにも理解がある勤務先）
125,5,1,2,6,,,,1,,5,,1,,,1,2,3,,2,3,,,1,2,3,,,1,2,3,,,,1,2,3,,,1,11,7,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,1,3,4,5,,,,,,,,,,,1,,,,,,,"職員がまともな人
入りやすい雰囲気の場所",1,,,,,,,1,3,8,,,,,,,11,,,,,,,,出会いが無い,2,2,3,1,10,11,13,15,,,,,,,,,,,,,,,,,,,,まともな考えを持った政治家、議員によるクリーンな運営による出会いの場が増えること
126,3,1,2,6,,,,1,,5,,1,,,2,3,,,2,,,,2,3,,,,,,,,,,,,,,,1,2,6,,,,,,,,3,1,13,,,,,,,,,,,2,,,,,,,,,,,,,1,2,1,7,,,,,3,4,,,,,,,,,,,,,8,,,,,,,,4,,,,,,,3,,,,,,,,,1,3,4,5,2,,,,,2,2,3,7,8,13,12,,,,,,,,,,,,,,,,,,,,,
127,3,2,1,5,,,,6,,5,,1,,,1,,,,1,,,,1,3,,,,1,6,,,,,1,6,,,,1,5,,,,,,,,,3,1,14,13,,,,,,,,,,2,,,,,,,,,,,,,2,2,7,1,,,,,4,3,,,,,,,,,,,,,5,,,,,,,,3,2,,,,,,4,,,,,,,,,,,,,,,,,,3,2,3,4,5,6,7,8,9,10,12,13,14,15,,,,,,,,,,,,,,"育児手当の拡充
子どもが安心して遊べる環境の拡大
在宅ワークの拡充
男性の育児支援制度の拡充"
128,4,2,2,6,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,5,7,6,11,,,,3,1,2,4,8,13,14,,,,,,,1,2,5,6,,,,,1,3,,,,,1,2,3,,,,,1,2,3,4,5,,,,,,,,,,8,7,,,,,,,1,4,2,3,5,6,,1,1,2,3,4,7,8,,,10,,,,,,,,,3,1,2,3,4,5,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,
129,4,1,2,6,,,,1,,4,,1,,,2,3,,,1,2,3,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,11,12,13,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1,2,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,1,5,7,,,,,,,3,10,,,,,,,,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,
130,3,2,2,5,,,,1,,3,,1,,,1,,,,1,,,,1,,,,,1,,,,,,6,,,,,3,,,,,,,,,,2,1,15,,,,,,,,,,,2,,,,,,,,,,,,,5,9,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,1,10,,,,,,,,12,,,,,,,,,2,1,2,3,4,8,10,12,13,14,15,,,,,,,,,,,,,,,,,
131,4,1,2,5,,,,1,,5,,1,,,1,,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,2,,,,,,,,,3,1,13,15,,,,,,,,,,2,,,,,,,,,,,,,5,1,7,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,,,,12,,,,,,,,,2,1,2,3,5,8,10,11,12,14,,,,,,,,,,,,,,,,,,住み続けた年数に応じて住民税を割引く等の措置があれば若い人も来やすいかと思います。
132,5,2,2,6,,,,1,,2,,1,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,1,2,,,,1,2,3,11,,,,,,,4,1,3,4,13,14,,,,,,,,2,,,,,,,,,,,,,5,1,2,3,7,,,,1,4,,,,,,,,,,,,,10,,,,,,当てはまるものはない,,3,,,,,,,3,,,,,,,,,1,3,4,10,,,,,,2,5,1,2,3,4,7,8,9,10,11,12,13,,,,,,,,,,,,,,,
133,4,2,2,6,,,,1,,5,,1,,,1,3,,,2,5,,,2,3,5,,,1,3,,,,,2,5,,,,1,7,6,8,,,,,,,3,1,2,4,5,3,11,12,13,14,15,,,1,5,,,,,,,1,3,,,,,1,2,,,,,,1,3,4,5,2,,,,,,,,,,8,,,,,,,カフェのような気軽に入れる場所で、尚且つプライバシーが保たれる半個室のようなスペースがあるところ。相談相手はカウンセラーなど専門家だとありがたい。,3,,,,,,,3,,,,,,,,,1,2,3,4,10,,,,,0,,,,,,,,,,,,,,,,,1,2,3,4,5,7,9,,,,とにかく税金の負担を減らして欲しい。
134,4,1,1,5,,,,1,,3,,1,,,3,,,,2,,,,2,,,,,1,,,,,,2,,,,,7,3,12,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
135,3,1,2,6,,,,1,,3,,4,,,3,,,,2,3,,,1,2,3,,,1,2,3,,,,2,,,,,1,10,13,,,,,,,,3,1,3,4,9,12,13,,,,,,,1,5,6,,,,,,1,3,,,,,1,3,,,,,,2,3,4,5,,,,1,2,4,5,7,3,,1,,,,,,,ボランティアでも河川敷周辺のゴミ拾いやラジオ体操などコミュニティがあったらまた相談しやすい環境になると思う。色々な世代が集まって自分の役割も分かりそうな気がする。,5,,,,,,,3,,,,,,,,,3,6,8,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,日本経済が低迷している今、不安に感じているのは物価高騰による実質収入減を減らしたいです。毎月の奨学金返済や税金の支払いがやはり若者の行動力を抑えている原因になっていると思う。市営ジムとかあれば運動の健康と居場所を享受できると思う
136,4,2,1,5,,,,6,,2,,2,,,1,,,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,13,,,,,,,3,1,13,,,,,,,,,,,2,,,,,,,,,,,,,5,1,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,4,3,5,8,10,12,,,,,,,,,,,,,,,,,,,
137,4,2,2,,,,,1,,5,,2,,,1,2,,,1,2,,,1,2,,,,1,2,,,,,2,,,,,1,,,,,,,,,,3,1,2,8,13,15,,,,,,,,1,5,,,,,,,1,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,経済的支援があれば嬉しいです。給与は上がらないが物価が上がっていき、自分のことだけで精一杯です。
138,5,1,1,5,,,,6,,5,,1,,,1,,,,1,,,,1,6,,,,1,6,,,,,1,6,,,,3,6,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,3,4,5,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,,,,
139,5,1,1,5,,,,1,,5,,1,,,1,3,4,6,1,6,,,1,2,3,4,6,1,3,4,6,,,1,3,4,6,,1,2,3,5,14,11,12,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,4,,,,,,,,,,,,,,,,,,,,,駅前広場でのイベントや駅前での小さなイベントなどがあると人が集まり、居場所となる。Kベースなど頑張っている居場所となりうる個人店を応援してほしい。公の場所はとくに求めていないので、民間の自主的な活動を後方から支援できるようにしてほしい。,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,減税して、可処分所得を増やしてほしい。,,,,,,,,,,,減税して、可処分所得を増やしてほしい。そうすれば、人口も増えて結果として税収も増える。すると、若者にとって活気のある町になると思う。
140,3,2,2,6,,,,1,,3,,1,,,1,,,,1,,,,1,2,,,,1,,,,,,1,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,10,,,,,,,,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,
141,3,2,2,6,,,,1,,3,,1,,,1,2,3,,1,2,,,1,2,3,,,1,2,,,,,1,,,,,2,1,11,,,,,,,,2,1,3,4,2,13,15,,,,,,,2,,,,,,,,,,,,,5,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,3,,,,,,,,,10,,,,,,,,,0,,,,,,,,,,,,,,,,,4,5,,,,,,,,,
142,5,1,2,5,,,,6,,5,,3,,,3,,,,5,,,,3,5,,,,5,,,,,,5,,,,,1,2,3,,,,,,,,3,1,2,3,9,10,13,15,,,,,,2,,,,,,,,,,,,,5,1,,,,,,,3,4,,,,,,,,,,,,,5,,,,,,,なし,1,2,3,4,5,,,3,,,,,,,,,3,8,,,,,,,,0,,,,,,,,,,,,,,,,,4,,,,,,,,,,なし
143,2,2,2,6,,,,1,,5,,1,,,2,,,,3,,,,2,,,,,3,,,,,,2,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,上司,5,,,,,,,,,,,,,,8,,,,,,,,3,,,,,,,2,,,,,,,,,10,,,,,,,,,0,,,,,,,,,,,,,,,,,2,5,7,,,,,,,,
144,4,2,2,6,,,,1,,5,,1,,,1,2,3,,1,,,,1,3,,,,1,,,,,,3,,,,,1,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,4,,,,,,,,,,,,,,,,,,,,遅くまでやっているカフェ,3,,,,,,,3,,,,,,,,,1,4,5,8,,,,,,0,,,,,,,,,,,,,,,,,1,7,9,,,,,,,,時間を問わず利用できる学習施設の充実(カフェ、図書館など)
145,1,2,2,6,,,,3,,5,,5,,,1,2,,,1,2,,,1,2,,,,1,,,,,,1,2,,,,1,,,,,,,,,,5,1,13,3,4,8,10,15,,,,,,1,1,3,5,,,,,1,3,4,,,,2,,,,,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,5,,,,,,,1,8,2,3,4,7,,,,6,10,3,,,,,,,0,,,,,,,,,,,,,,,,,1,2,5,7,,,,,,,この前の学生向けの5万円の支援金は大変ありがたかった。またこのような支援があるととても嬉しい。
146,4,1,1,5,,,,1,,5,,1,,,1,,,,1,,,,1,2,3,,,1,2,3,,,,,,,,,3,1,2,15,,,,,,旅行先のホテル,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3,,,,,,,,,,,,,,8,,,,,,,,3,4,2,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,3,4,8,10,11,12,13,,,,,,,,,,,,,,,,,,
147,3,2,1,5,,,,6,,5,,1,,,1,2,,,1,2,,,1,2,3,,,1,2,,,,,1,,,,,3,,,,,,,,,,2,1,12,13,15,,,,,,,,,1,1,2,5,6,,,,1,,,,,,1,6,5,,,,,4,5,,,,,,,,,,,,,,,,,,,,子どもを考えた時の経済的サポートや妊娠してからのサポートに関しての知識がないためそれを取得できる場所,3,,,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,8,9,10,11,12,13,15,,,,,,,,,,,,,,,,,,子どもが欲しくても経済的に2人は難しそう。持病があり、妊娠中は働けないため出産後も経済的に厳しく経済的な援助、サポートがあれば子どもを考えられるのになと思います。実際、出産して働きたくても職業柄保育園から迎えに呼ばれると現場への負担が大きくなるため、復職も子供が幼児期になるまでキツそう。物価が値上がりしているのに給与が上がらない、増税のため手取りも少ないとなると経済的に安定できないため産みたくても産めない。妊娠してからもどういう援助が受けられるかも情報が市から入ってこない。もう少し、出産可能年齢の世代にラインなどのツールで情報が入ってくると嬉しいです。
148,3,1,2,6,,,,1,,5,,1,,,2,3,,,1,2,3,,1,2,3,,,1,2,3,,,,2,3,,,,1,2,3,11,12,,,,,,3,1,3,4,8,9,11,13,,,,,,1,1,5,6,,,,,1,2,3,,,,2,3,1,,,,,1,3,4,5,,,,,,,,,,,5,8,,,,,,狛江駅近く。,1,2,3,5,4,6,,1,2,3,4,5,7,8,,,10,,,,,,,,,2,1,2,3,4,5,7,8,9,10,11,12,13,15,14,,,,,,,,,,,,,若者を対象にした地域交流会
149,4,1,2,6,,,,1,,5,,1,,,3,,,,6,,,,5,,,,,3,,,,,,2,,,,,1,2,6,,,,,,,,4,1,13,2,3,,,,,,,,,1,12,,,,,,転職エージェント,1,2,3,4,,,1,2,,,,,,3,4,5,,,,,,,,,,,,,,,,,,,カフェ・飲み屋・趣味の交流,4,3,6,,,,,3,,,,,,,,,1,2,3,4,6,8,9,10,,0,,,,,,,,,,,,,,,,,1,4,5,7,9,8,10,,,間違った教育をしそうで怖いから,労働者や事業者としてのスキルアップや成長の機会を提供する
150,3,2,1,5,,,,1,,5,,1,,,1,2,,,1,2,,,1,2,3,,,1,2,3,,,,1,2,,,,1,2,3,11,12,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,3,4,,,,,,,,,,,,8,,,,,,,ネット上で相談できるスペース,2,3,4,,,,,4,,,,,,,,,,,,,,,,,,2,1,2,4,5,15,14,13,12,10,8,,,,,,,,,,,,,,,,,
151,3,1,1,5,,,,1,,5,,1,,,1,3,,,1,3,,,1,2,3,,,1,2,3,,,,1,3,,,,1,3,6,7,11,,,,,,3,1,13,14,15,,,,,,,,,2,,,,,,,,,,,,,5,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,1,4,,,,,4,,,,,,,,,,,,,,,,,,3,3,5,8,9,10,11,12,15,,,,,,,,,,,,,,,,,,,"保育園がほとんど埋まっているそうなので、何とかなると嬉しいです。
子供3人以上の世帯への優遇なども欲しいです。"
152,3,2,2,7,,,恋人,1,,5,,2,,,1,6,,,1,6,,,1,2,6,,,1,6,,,,,1,,,,,3,1,2,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,5,7,,,,1,3,,,,,,,,,,,,,8,,,,,,,,2,,,,,,,1,1,2,3,4,7,8,,,3,,,,,,,,,2,1,2,5,10,12,13,14,15,,,,,,,,,,,,,,,,,,,
153,2,2,2,6,,,,1,,3,,1,,,1,,,,2,,,,2,,,,,1,,,,,,2,,,,,1,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,3,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,1,3,,,,,,,,10,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
