"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日"
"高度管理医療機器販売業・貸与業","３Ｓｈａｐｅ　Ｊａｐａｎ合同会社","東京都港区西麻布二丁目11番2号","SHINKOH西麻布ビル8F","03-6361-0766","30港み生機器第76号","2018/8/22"
"高度管理医療機器販売業・貸与業","株式会社　アズラフィ","東京都港区西麻布二丁目22番12号","HALE TERRACE 2A","03-6427-4681","31港み生機器第13号","2019/4/26"
"高度管理医療機器販売業・貸与業","富士フイルムメディカル株式会社","東京都港区西麻布二丁目26番30号","富士フイルム西麻布ビル","03-6419-8085","30港み生機器第222号","2019/5/1"
"高度管理医療機器販売業・貸与業","富士フイルムメディカル株式会社　営業本部","東京都港区西麻布二丁目26番30号","富士フイルム西麻布ビル","03-6419-8030","2港み生機器第160号","2021/4/1"
"高度管理医療機器販売業・貸与業","富士フイルム医療ソリューションズ株式会社","東京都港区西麻布二丁目26番30号","富士フイルム西麻布ビル","03-6452-6880","3港み生機器第60号","2021/6/22"
"高度管理医療機器販売業・貸与業","霞町薬局","東京都港区西麻布三丁目1番19号","小山ビル1階","03-5411-9311","3港み生機器第104号","2021/9/25"
"高度管理医療機器販売業・貸与業","株式会社アルファメッド","東京都港区西麻布三丁目6番4号","麻布パレス","03-3403-5432","3港み生機器第216号","2022/3/14"
"高度管理医療機器販売業・貸与業","富士フイルムメディカルＩＴソリューションズ株式会社","東京都港区西麻布四丁目12番24号","興和西麻布ビル","03-6427-2360","3港み生機器第47号","2021/6/25"
"高度管理医療機器販売業・貸与業","シミズファーマシー","東京都港区西麻布四丁目18番16号-102",,"03-3407-0794","5港み生機器第190号","2024/3/5"
"高度管理医療機器販売業・貸与業","エムベクタ合同会社","東京都港区西新橋一丁目1番1号","日比谷フォートタワー",,"4港み生機器第97号","2022/9/1"
"高度管理医療機器販売業・貸与業","スター・ジャパン合同会社","東京都港区西新橋一丁目1番1号","日比谷フォートタワー10階","03-6910-2890","5港み生機器第36号","2023/6/1"
"高度管理医療機器販売業・貸与業","株式会社野村事務所","東京都港区西新橋一丁目2番9号","日比谷セントラルビル7階","03-3502-1466","31港み生機器第221号","2020/3/31"
"高度管理医療機器販売業・貸与業","ＭＥＤ株式会社","東京都港区西新橋一丁目2番9号","日比谷セントラルビルB1",,"2港み生機器第6号","2020/4/24"
"高度管理医療機器販売業・貸与業","積水リース株式会社　東京支店","東京都港区西新橋一丁目3番1号","西新橋スクエア8階","03-6738-6340","2港み生機器第47号","2020/8/20"
"高度管理医療機器販売業・貸与業","三菱ＨＣビジネスリース株式会社　北海道・首都圏地域営業本部","東京都港区西新橋一丁目3番1号","西新橋スクエア9階","050-3816-2173","2港み生機器第37号","2020/8/11"
"高度管理医療機器販売業・貸与業","アイセイ薬局　内幸町店","東京都港区西新橋一丁目3番1号","西新橋スクエア3階301区","03-3595-1601","4港み生機器第102号","2022/10/1"
"高度管理医療機器販売業・貸与業","三菱ＨＣキャピタル株式会社","東京都港区西新橋一丁目3番1号","西新橋スクエア",,"2港み生機器第166号","2021/4/1"
"高度管理医療機器販売業・貸与業","合同会社サード・パーティ・ワン　西新橋スクエア営業所","東京都港区西新橋一丁目3番1号","西新橋スクエア 三菱HCキャピタル株式会社内","03-3503-7394","4港み生機器第84号","2022/7/15"
"高度管理医療機器販売業・貸与業","三菱オートリース株式会社　日立営業部門","東京都港区西新橋一丁目3番1号","西新橋スクエア","050-3816-2132","4港み生機器第338号","2023/4/1"
"高度管理医療機器販売業・貸与業","セリングビジョン株式会社","東京都港区西新橋一丁目9番1号","ブロドリー西新橋ビル","03-5251-3101","2港み生機器第20号","2020/7/18"
"高度管理医療機器販売業・貸与業","株式会社植松薬局","東京都港区西新橋一丁目9番2号",,"03-3501-3979","4港み生機器第296号","2023/4/1"
"高度管理医療機器販売業・貸与業","株式会社宿丸．ＣＯＭホールディングス","東京都港区西新橋一丁目10番1号","日美ビル","03-3502-3373","2港み生機器第35号","2020/7/9"
"高度管理医療機器販売業・貸与業","ユニティガードシステム株式会社","東京都港区西新橋一丁目10番8号","UGSビル","03-3501-3501","2港み生機器第42号","2020/7/18"
"高度管理医療機器販売業・貸与業","東亞合成株式会社　本社","東京都港区西新橋一丁目14番1号",,"03-3597-7215","4港み生機器第65号","2022/6/28"
"高度管理医療機器販売業・貸与業","株式会社第一工芸社","東京都港区西新橋一丁目18番6号","クロスオフィス内幸町","03-6206-6551","3港み生機器第80号","2021/7/21"
"高度管理医療機器販売業・貸与業","虎ノ門鈴薬局","東京都港区西新橋一丁目19番13号","斉木ビル1階","03-5521-2067","30港み生機器第20号","2018/6/7"
"高度管理医療機器販売業・貸与業","旭化成ゾールメディカル株式会社","東京都港区西新橋二丁目1番1号","興和西新橋ビル","03-6205-4920","30港み生機器第117号","2018/11/5"
"高度管理医療機器販売業・貸与業","ＭＩホールディングス株式会社","東京都港区西新橋二丁目23番2号","日比谷パークビル8階","03-6809-1741","30港み生機器第47号","2018/6/5"
"高度管理医療機器販売業","株式会社マルコス","東京都港区西新橋二丁目35番2号","ハビウル西新橋5階","03-6435-8540","31港み生機器第39号","2019/6/6"
"高度管理医療機器販売業・貸与業","株式会社進興メディカルサポート","東京都港区西新橋二丁目39番3号","SVAX西新橋ビル","03-5408-5657","5港み生機器第99号","2023/11/1"
"高度管理医療機器販売業・貸与業","フェリカポケットマーケティング株式会社","東京都港区西新橋三丁目2番1号","Daiwa西新橋ビル8階","03-6452-8800","4港み生機器第265号","2023/2/9"
"高度管理医療機器販売業・貸与業","ＰＨＣ株式会社　新橋事務所","東京都港区西新橋三丁目7番1号","ランディック第2新橋ビル",,"5港み生機器第152号","2023/12/25"
"高度管理医療機器販売業・貸与業","ＰＨＣ株式会社　バイオメディカ事業部　東京営業所","東京都港区西新橋三丁目7番1号","ランディック第2新橋ビル","03-5408-7277","5港み生機器第227号","2024/3/19"
"高度管理医療機器販売業・貸与業","ＴＯＫＹＯ　ＬＩＦＥＳＴＹＬＥ（東京生活館）　新橋店","東京都港区西新橋三丁目8番3号",,"03-6452-8848","31港み生機器第26号","2019/6/20"
"高度管理医療機器販売業・貸与業","三愛化成商事株式会社","東京都港区西新橋三丁目8番3号","ランディック新橋ビル6F","03-3432-0511","4港み生機器第174号","2022/10/27"
"高度管理医療機器販売業・貸与業","虎ノ門薬局","東京都港区西新橋三丁目15番12号","GGHOUSE 7階","03-6435-7872","5港み生機器第194号","2024/2/13"
"高度管理医療機器販売業・貸与業","さくら薬局　西新橋２号店","東京都港区西新橋三丁目19番11号","安達ビル1階","03-5402-6611","5港み生機器第58号","2023/9/1"
"高度管理医療機器販売業・貸与業","くすり箱薬局","東京都港区西新橋三丁目19番12号","メディコ西新橋ビル1階","03-5776-7064","4港み生機器第306号","2023/4/1"
"高度管理医療機器販売業","さくら薬局　西新橋店","東京都港区西新橋三丁目19番14号","東京建硝ビル1階","03-5776-1831","3港み生機器第226号","2022/4/1"
"高度管理医療機器販売業・貸与業","医療・介護用品ショップ","東京都港区西新橋三丁目19番18号","東京慈恵会医科大学附属病院外来棟1階","03-3434-0753","31港み生機器第152号","2020/1/4"
"高度管理医療機器販売業・貸与業","日本調剤　西新橋薬局","東京都港区西新橋三丁目20番1号","MSC御成門ビル1階","03-6430-4131","5港み生機器第92号","2023/10/27"
"高度管理医療機器販売業・貸与業","日本調剤　御成門薬局","東京都港区西新橋三丁目22番8号",,"03-3433-8781","2港み生機器第134号","2021/3/1"
"高度管理医療機器販売業・貸与業","日本調剤　すぎの木薬局","東京都港区西新橋三丁目23番6号","白川ビル1階","03-5776-1371","2港み生機器第76号","2020/10/1"
"高度管理医療機器販売業・貸与業","メディトピア　新橋薬局","東京都港区西新橋三丁目23番9号","東京御成門ビル1階","03-3433-8755","3港み生機器第110号","2021/9/6"
"高度管理医療機器販売業・貸与業","日生薬局　御成門２号店","東京都港区西新橋三丁目23番13号","石井ビル1F","03-6452-8137","31港み生機器第147号","2019/12/4"
"高度管理医療機器販売業・貸与業","惠堂薬局","東京都港区西新橋三丁目24番3号","川名ビル1階","03-3437-1353","3港み生機器第218号","2022/2/28"
"高度管理医療機器販売業・貸与業","株式会社慈恵実業","東京都港区西新橋三丁目25番1号","慈恵大学管理棟","03-3431-6874","30港み生機器第65号","2018/7/14"
"高度管理医療機器販売業・貸与業","慈恵メディカルサービス株式会社　本社","東京都港区西新橋三丁目25番1号","慈恵大学管理棟7階","03-6430-7855","5港み生機器第114号","2023/10/23"
"高度管理医療機器販売業・貸与業","株式会社ＳＯＵＫＥＮ","東京都港区浜松町一丁目9番10号","DaiwaA浜松町ビル","03-5408-1555","30港み生機器第219号","2019/4/30"
"高度管理医療機器販売業・貸与業","セコム株式会社　新橋統轄支社","東京都港区浜松町一丁目10番14号","住友東新橋ビル3号館3階","03-3433-1514","4港み生機器第210号","2022/12/14"
"高度管理医療機器販売業・貸与業","パナソニック　エイジフリー株式会社　東京本社","東京都港区浜松町一丁目18番16号","住友浜松町ビル2階","03-6402-3648","3港み生機器第232号","2022/3/28"
"高度管理医療機器販売業・貸与業","株式会社ベリタス","東京都港区浜松町一丁目18番16号","住友浜松町ビル6階","03-5776-0040","4港み生機器第26号","2022/7/4"
"高度管理医療機器販売業・貸与業","日本郵便オフィスサポート株式会社","東京都港区浜松町一丁目18番16号",,"03-5425-3870","5港み生機器第125号","2023/10/24"
"高度管理医療機器販売業・貸与業","株式会社ドクターズ・キッツ","東京都港区浜松町一丁目20番8号","HK浜松町ビル4階","03-3578-8899","3港み生機器第159号","2021/12/28"
"高度管理医療機器販売業・貸与業","有限会社第一田中ビル本店営業所","東京都港区浜松町一丁目24番7号","第一田中ビル4階","03-3434-2087","27港み生機器第267号","2016/2/26"
"高度管理医療機器販売業・貸与業","中道リース株式会社東京支社","東京都港区浜松町一丁目27番14号","サン・キツカワビル","03-3459-0911","4港み生機器第323号","2023/4/1"
"高度管理医療機器販売業・貸与業","メッドネクスト株式会社","東京都港区浜松町一丁目27番14号","サン・キツカワビル9階","03-6721-5405","31港み生機器第91号","2019/9/1"
"高度管理医療機器販売業・貸与業","薬局トモズ浜松町店","東京都港区浜松町一丁目29番10号","東京ラインビル1階","03-5402-8684","5港み生機器第59号","2023/8/7"
"高度管理医療機器販売業","株式会社エイコー　東京本社","東京都港区浜松町一丁目30番5号","浜松町スクエア","03-5470-9531","4港み生機器第112号","2022/9/2"
"高度管理医療機器販売業・貸与業","フジデノロ株式会社　東京本社","東京都港区浜松町一丁目31番","文化放送メディアプラス","03-5408-7800","3港み生機器第28号","2021/5/24"
"高度管理医療機器販売業・貸与業","株式会社ザイケン・インターナショナル","東京都港区浜松町二丁目1番13号","芝エクセレントビル8階",,"31港み生機器第56号","2019/6/28"
"高度管理医療機器販売業・貸与業","オリックス株式会社　ＯＱＬ統括室","東京都港区浜松町二丁目4番1号","世界貿易センタービル南館","03-3435-4372","3港み生機器第6号","2021/4/21"
"高度管理医療機器販売業・貸与業","エヌエスリース株式会社","東京都港区浜松町二丁目4番1号","世界貿易センタービル南館","03-3435-3091","3港み生機器第33号","2021/5/24"
"高度管理医療機器販売業・貸与業","オリックス自動車株式会社","東京都港区浜松町二丁目4番1号","世界貿易センタービル南館","03-6771-7052","4港み生機器第246号","2022/12/22"
"高度管理医療機器販売業・貸与業","スミス・アンド・ネフュー株式会社　東京営業所","東京都港区浜松町二丁目4番1号",,"03-5403-8651","4港み生機器第300号","2023/3/6"
"高度管理医療機器販売業・貸与業","カミマル株式会社","東京都港区浜松町二丁目7番11号","芝KSビル","03-3436-1436","4港み生機器第303号","2023/4/1"
"高度管理医療機器販売業","株式会社カナエ","東京都港区浜松町二丁目10番2号","カナエ本社ビル","03-3432-1255","4港み生機器第239号","2023/1/4"
"高度管理医療機器販売業・貸与業","モザークメディカルジャパン合同会社","東京都港区浜松町二丁目12番11号","Bizflex浜松町 10階","03-6776-0033","5港み生機器第205号","2024/3/1"
"高度管理医療機器販売業・貸与業","アスメディックス株式会社本社","東京都港区東麻布一丁目5番2号","ザイマックス東麻布ビル","03-6230-3661","31港み生機器第168号","2020/2/18"
"高度管理医療機器販売業","株式会社ろいやるるーと　東京営業所","東京都港区東麻布一丁目24番4号","FREG東麻布2階","03-6426-5111","30港み生機器第111号","2018/9/27"
"高度管理医療機器販売業・貸与業","麻布薬局","東京都港区東麻布一丁目25番3号","第2富田ビル7階","03-6277-8340","5港み生機器第63号","2023/7/27"
"高度管理医療機器販売業・貸与業","株式会社カルディオインテリジェンス　","東京都港区東麻布一丁目25番5号","VORT麻布イースト","03-6821-0390","4港み生機器第47号","2022/6/13"
"高度管理医療機器販売業・貸与業","株式会社日日","東京都港区東麻布二丁目29番6号","コンパートメント麻布601","080-1009-8956","31港み生機器第43号","2019/6/19"
"高度管理医療機器販売業・貸与業","南山堂薬局　東麻布三丁目店","東京都港区東麻布三丁目7番12号","ルアナ麻布十番1階","03-5797-7831","5港み生機器第33号","2023/6/7"
"高度管理医療機器販売業・貸与業","薬局くすりの福太郎　東麻布店","東京都港区東麻布三丁目10番5号","オークウッドホテル&アパートメンツ麻布1階","03-5545-5437","3港み生機器第142号","2021/11/4"
"高度管理医療機器販売業・貸与業","株式会社トランソニック","東京都港区東新橋一丁目2番8号","布福ビル4階","03-6431-8732","2港み生機器第30号","2020/6/18"
"高度管理医療機器販売業・貸与業","薬局トモズ　汐留シティセンター店","東京都港区東新橋一丁目5番2号","汐留シティセンターB2階","03-6215-9933","4港み生機器第229号","2023/4/1"
"高度管理医療機器販売業・貸与業","全日空商事株式会社","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6735-5024","5港み生機器第102号","2023/10/17"
"高度管理医療機器販売業・貸与業","アボットメディカルジャパン合同会社","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6255-5640","5港み生機器第37号","2023/7/4"
"高度管理医療機器販売業・貸与業","富士通Ｊａｐａｎ株式会社　汐留シティセンター","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6252-2572","2港み生機器第168号","2021/4/1"
"高度管理医療機器販売業・貸与業","ＮＸ・ＴＣリース＆ファイナンス株式会社　東京支店","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6734-8843","5港み生機器第46号","2023/7/3"
"高度管理医療機器販売業・貸与業","テクノレント株式会社　本社事業所","東京都港区東新橋一丁目5番2号","汐留シティセンター","03-6858-2700","5港み生機器第198号","2024/2/26"
"高度管理医療機器販売業・貸与業","本社","東京都港区東新橋一丁目5番2号","汐留シティセンター19階",,"5港み生機器第206号","2024/3/1"
"高度管理医療機器販売業・貸与業","薬局マツモトキヨシ　カレッタ汐留店","東京都港区東新橋一丁目8番2号","カレッタ汐留B1階B143","03-6218-2201","4港み生機器第211号","2023/4/1"
"高度管理医療機器販売業","アイシティ　カレッタ汐留","東京都港区東新橋一丁目8番2号","カレッタ汐留","03-3569-7080","3港み生機器第147号","2022/1/1"
"高度管理医療機器販売業・貸与業","グンゼメディカル株式会社　東京営業所","東京都港区東新橋一丁目9番1号","東京汐留ビルディング","03-4485-0020","3港み生機器第192号","2022/2/14"
"高度管理医療機器販売業・貸与業","株式会社シュガコン","東京都港区東新橋一丁目10番2号","東京ツインパークスR1001",,"31港み生機器第54号","2019/7/1"
"高度管理医療機器販売業・貸与業","グローバスメディカル株式会社","東京都港区東新橋二丁目3番3号","ルオーゴ汐留","03-6402-3311","3港み生機器第82号","2021/7/19"
"高度管理医療機器販売業・貸与業","株式会社イムコア","東京都港区東新橋二丁目4番6号","パラッツオシエナ","03-5777-4527","31港み生機器第177号","2020/3/7"
"高度管理医療機器販売業・貸与業","株式会社日本テレビワーク２４　本社","東京都港区東新橋二丁目5番14号","新橋山根ビル4F","03-5962-8470","3港み生機器第93号","2021/7/30"
"高度管理医療機器販売業・貸与業","株式会社Ｔｏｋｙｏ　ＭＢ","東京都港区東新橋二丁目9番7号","YAHATA汐留ビル","03-6432-0406","3港み生機器第188号","2022/1/13"
"高度管理医療機器販売業・貸与業","株式会社ダテ・メディカルサービス","東京都港区東新橋二丁目10-7-303",,"03-6453-0237","31港み生機器第21号","2019/5/24"
"高度管理医療機器販売業・貸与業","東京警備保障株式会社","東京都港区東新橋二丁目12番1号","PMO東新橋","03-3433-2761","31港み生機器第49号","2019/6/24"
"高度管理医療機器販売業・貸与業","日発販売株式会社","東京都港区東新橋二丁目14番1号","NBFコモディオ汐留","03-6854-1613","5港み生機器第17号","2023/5/25"
"高度管理医療機器販売業・貸与業","株式会社ＲＥＸＩＯ","東京都港区東新橋二丁目18番3号","ルネパルティーレ汐留806","03-5405-6033","4港み生機器第98号","2022/8/17"
"高度管理医療機器販売業・貸与業","株式会社エム・ピー・アイ","東京都港区三田一丁目2番16号","プラザ麻布ビル1階","03-3451-0480","30港み生機器第163号","2019/1/30"
"高度管理医療機器販売業・貸与業","株式会社エム・ピー・アイ　ＭＰＩ事業部","東京都港区三田一丁目2番17号","MSビル2階","03-3451-6501","31港み生機器第181号","2020/3/24"
"高度管理医療機器販売業・貸与業","株式会社メディカルニュークリエイト","東京都港区三田一丁目2番18号","TTD PLAZA 7階","03-6722-6780","5港み生機器第61号","2023/8/3"
"高度管理医療機器販売業・貸与業","アイ・エル・ジャパン株式会社","東京都港区三田一丁目3番30号","三田神田ビル","03-5419-1301","30港み生機器第223号","2019/4/8"
"高度管理医療機器販売業・貸与業","日生薬局　三田店","東京都港区三田一丁目3番33号","三田ネクサスビル1階","03-5765-5850","31港み生機器第78号","2019/8/23"
"高度管理医療機器販売業","Ｃ　Ｃｈａｎｎｅｌ株式会社","東京都港区三田一丁目4番1号","住友不動産麻布十番ビル4F","03-6453-6893","30港み生機器第81号","2018/8/23"
"高度管理医療機器販売業・貸与業","株式会社エスアールエルウェルネスプロモーション","東京都港区三田一丁目4番1号","住友不動産麻布十番ビル5階","03-6453-8653","31港み生機器第199号","2020/2/20"
"高度管理医療機器販売業","日本調剤　三田薬局","東京都港区三田一丁目4番28号","三田国際ビルアネックス1階",,"4港み生機器第275号","2023/4/1"
"高度管理医療機器販売業・貸与業","ザイオソフト株式会社","東京都港区三田一丁目4番28号","三田国際ビル","03-5427-1903","2港み生機器第13号","2020/6/6"
"高度管理医療機器販売業","株式会社アルファパーチェス","東京都港区三田一丁目4番28号","三田国際ビル","03-6635-5147","3港み生機器第263号","2022/5/6"
"高度管理医療機器販売業・貸与業","リコージャパン株式会社","東京都港区三田一丁目4番28号","三田国際ビル15F","050-3534-6070","4港み生機器第27号","2022/5/31"
"高度管理医療機器販売業","日本電算機販売株式会社","東京都港区三田一丁目4番28号","三田国際ビル","03-6400-5110","4港み生機器第86号","2022/8/12"
"高度管理医療機器販売業・貸与業","Ａｔｅｌｌｉｃａ　三田トレーニングセンター","東京都港区三田一丁目4番28号","三田国際ビルアネックス1F","03-6435-3576","30港み生機器第180号","2019/1/15"
"高度管理医療機器販売業・貸与業","ＡＭＡＴＥＲＡＳ","東京都港区三田一丁目6番3号","シティータワー麻布十番",,"3港み生機器第30号","2021/5/27"
"高度管理医療機器販売業","中川薬局","東京都港区三田二丁目7番9号","サニークレスト三田1階","03-5427-6728","4港み生機器第304号","2023/3/15"
"高度管理医療機器販売業・貸与業","共和メデイカルサプライ株式会社","東京都港区三田二丁目10番5号","エルアルカサル三田203号室","03-3454-6391","4港み生機器第36号","2022/7/26"
"高度管理医療機器販売業","日産自動車販売株式会社","東京都港区三田二丁目17番20号","ピーズ三田ビル","03-5418-8607","3港み生機器第134号","2021/10/23"
"高度管理医療機器販売業・貸与業","プレシャスメディカル株式会社","東京都港区三田二丁目17番29号","オーロラ三田302号室",,"5港み生機器第133号","2023/11/9"
"高度管理医療機器販売業・貸与業","Ｍ’ｓ　コンタクト","東京都港区三田三丁目1番10号","マルハチビル4階",,"3港み生機器第7号","2021/4/15"
"高度管理医療機器販売業・貸与業","ＤＫＳＨマーケットエクスパンションサービスジャパン株式会社","東京都港区三田三丁目4番19号","DKSH三田ビルディング",,"3港み生機器第168号","2021/12/16"
"高度管理医療機器販売業・貸与業","京セラ株式会社　東京事業所","東京都港区三田三丁目5番19号","住友不動産東京三田ガーデンタワー","03-6364-5562","5港み生機器第49号","2023/7/18"
"高度管理医療機器販売業・貸与業","アボットジャパン合同会社　東京事業所","東京都港区三田三丁目5番27号","住友不動産三田ツインビル西館","03-4555-1010","5港み生機器第185号","2024/2/27"
"高度管理医療機器販売業・貸与業","アボットメディカルジャパン合同会社　東京支店","東京都港区三田三丁目5番27号","住友不動産三田ツインビル西館","03-4560-0717","31港み生機器第211号","2020/4/1"
"高度管理医療機器販売業・貸与業","アイテック阪急阪神株式会社東京支社","東京都港区三田三丁目5番27号","住友不動産三田ツインビル西館","03-6740-6001","5港み生機器第67号","2023/8/1"
"高度管理医療機器販売業","有限会社Ｗａｖｅｌｅｎｇｔｈｓ","東京都港区三田三丁目7番16号","御田八幡ビル","03-5439-4919","4港み生機器第324号","2023/4/1"
"高度管理医療機器販売業・貸与業","ミネべアミツミ株式会社　東京本部","東京都港区三田三丁目9番6号",,"03-6758-6711","2港み生機器第181号","2021/3/29"
"高度管理医療機器販売業・貸与業","株式会社ツクイキャピタル","東京都港区三田三丁目9番7号","三田JEBL 2階","03-6809-6291","5港み生機器第230号","2024/3/25"
"高度管理医療機器販売業・貸与業","トヨタモビリティ東京株式会社フリート領域首都圏法人営業部プレミアムモビリティ室官公庁グループ","東京都港区三田三丁目11番34号",,"03-5439-7114","31港み生機器第30号","2019/6/4"
"高度管理医療機器販売業・貸与業","綜合警備保障株式会社　城南支社","東京都港区三田三丁目11番36号","三田日東ダイビル","03-5446-3611","5港み生機器第129号","2023/11/2"
"高度管理医療機器販売業・貸与業","ＪＴＰ株式会社　東京テクニカルラボセンタ","東京都港区三田三丁目13番12号","三田MTビル","03-6867-1180","4港み生機器第93号","2022/9/20"
"高度管理医療機器販売業・貸与業","ナノソニックスジャパン株式会社　東京営業所","東京都港区三田三丁目13番12号","三田MTビル","03-6772-8080","4港み生機器第122号","2022/9/27"
"高度管理医療機器販売業・貸与業","株式会社タニタヘルスリンク","東京都港区三田三丁目13番16号","三田43MTビル","03-5904-8008","4港み生機器第245号","2023/1/1"
"高度管理医療機器販売業","レンズ買う","東京都港区三田五丁目9番23号",,"03-3452-3155","5港み生機器第78号","2023/8/22"
"高度管理医療機器販売業・貸与業","有限会社　吉田オプティクス","東京都港区南青山一丁目1番1号","新青山ビル西館","03-3475-1777","4港み生機器第181号","2023/4/1"
"高度管理医療機器販売業・貸与業","日本調剤　南青山薬局","東京都港区南青山一丁目1番1号","新青山ビルヂング西館1階","03-3796-5371","5港み生機器第86号","2023/9/1"
"高度管理医療機器販売業・貸与業","ＭＥＤＩＣＯ株式会社青山一丁目営業所","東京都港区南青山一丁目2番6号","ラティス青山スクエア8階","03-6803-8636","5港み生機器第77号","2023/8/15"
"高度管理医療機器販売業・貸与業","ＳＴＥＭＣＥＬＬ株式会社","東京都港区南青山一丁目2番6号","ラティス青山スクエア8階","03-6433-5409","5港み生機器第109号","2023/10/2"
"高度管理医療機器販売業・貸与業","古東医療機器販売・貸与事業所","東京都港区南青山一丁目3番1号","パークアクシス青山一丁目タワー",,"3港み生機器第96号","2021/7/30"
"高度管理医療機器販売業","株式会社サードパーク","東京都港区南青山一丁目14番7号","ヴェルディ乃木坂1F","03-6438-9491","30港み生機器第207号","2019/2/19"
"高度管理医療機器販売業・貸与業","日本医療サービス株式会社","東京都港区南青山一丁目24番1号","アミティ乃木坂","03-3475-6608","4港み生機器第336号","2023/4/1"
"高度管理医療機器販売業・貸与業","フロイデ株式会社","東京都港区南青山一丁目26番4号","六本木ダイアビル","03-6721-1544","4港み生機器第87号","2022/7/25"
"高度管理医療機器販売業・貸与業","株式会社Ｇｌｏｖｅ","東京都港区南青山二丁目2番15号","ウィン青山1209","03-6455-4031","31港み生機器第149号","2019/12/9"
"高度管理医療機器販売業","株式会社ＫＮＷトレーディング","東京都港区南青山二丁目2番15号","ウィン青山9階","03-6434-0731","2港み生機器第90号","2020/10/26"
"高度管理医療機器販売業・貸与業","合同会社ＫＣメディカル","東京都港区南青山二丁目2番15号","ウィン青山","03-5969-9561","3港み生機器第68号","2021/6/30"
"高度管理医療機器販売業","株式会社アスリーエイチ","東京都港区南青山二丁目2番15号","ウィン青山","03-6447-1072","4港み生機器第172号","2022/10/17"
"高度管理医療機器販売業・貸与業","株式会社Ｐｌａｔｆｏｒｍ　Ｓｋｙ","東京都港区南青山二丁目3番3号","1205","03-6804-5887","5港み生機器第74号","2023/8/15"
"高度管理医療機器販売業・貸与業","青山薬局","東京都港区南青山二丁目10番9号","青山田中ビル101","03-3402-9313","30港み生機器第165号","2019/2/1"
"高度管理医療機器販売業・貸与業","リュネット・ジュラ　グラン","東京都港区南青山二丁目12番1号",,"03-3402-3858","4港み生機器第316号","2023/4/1"
"高度管理医療機器販売業","レジーナ薬局　青山店","東京都港区南青山二丁目13番11号","マストライフ南青山1階","03-5775-7597","30港み生機器第204号","2019/4/1"
"高度管理医療機器販売業・貸与業","株式会社ウィズ・アス","東京都港区南青山二丁目21番37号","青山Sビル","03-5785-2221","30港み生機器第5号","2018/5/21"
"高度管理医療機器販売業","アナミジャパン株式会社","東京都港区南青山二丁目22番4号","秀和南青山レジデンス","03-6447-5215","3港み生機器第246号","2022/3/31"
"高度管理医療機器販売業","株式会社Ｗａｗａ","東京都港区南青山二丁目22番4号","秀和南青山レジデンス","03-6447-5215","3港み生機器第247号","2022/3/31"
"高度管理医療機器販売業・貸与業","グルエット株式会社","東京都港区南青山二丁目22番14号","フォンテ青山505",,"29港み生機器第139号","2017/11/9"
"高度管理医療機器販売業・貸与業","ハンソン・イノベーション株式会社","東京都港区南青山二丁目22番17号","センテニアル青山","03-6447-1396","31港み生機器第163号","2020/1/1"
"高度管理医療機器販売業","株式会社ナチュラリ","東京都港区南青山二丁目27番27号","丸八青山ビル3階","03-6721-1570","4港み生機器第24号","2022/6/21"
"高度管理医療機器販売業・貸与業","ＬＩＮ　ｃｏｎｔａｃｔ　ｌｅｎｓ　ｓａｌｏｎ","東京都港区南青山二丁目27番28号","グラン青山501","03-6804-1570","31港み生機器第12号","2019/5/15"
"高度管理医療機器販売業・貸与業","株式会社ＨＡＴＴ","東京都港区南青山二丁目29番9号","南青山リハイム504","03-6447-5420","30港み生機器第152号","2018/11/30"
"高度管理医療機器販売業・貸与業","株式会社ブリリアント","東京都港区南青山二丁目29番9号","南青山リハイム504","03-6447-5420","31港み生機器第125号","2019/10/21"
"高度管理医療機器販売業・貸与業","株式会社メディックワークス","東京都港区南青山三丁目1番31号","KD南青山ビル","03-5876-5416","3港み生機器第19号","2021/5/21"
"高度管理医療機器販売業・貸与業","スギ薬局　南青山店","東京都港区南青山三丁目8番40号","青山センタービル1階","03-5771-4663","2港み生機器第79号","2020/11/28"
"高度管理医療機器販売業・貸与業","一般社団法人ファミリーツリー　医療機器部","東京都港区南青山三丁目17番14号","中山ビル","03-3403-5658","2港み生機器第27号","2020/6/18"
"高度管理医療機器販売業","表参道コンタクト","東京都港区南青山三丁目18番17号","青山エイジービル","03-3470-5677","30港み生機器第212号","2019/4/6"
"高度管理医療機器販売業・貸与業","ライフ・フィットネス・ジャパン株式会社","東京都港区南青山四丁目17番33号","グランカーサ南青山1F","03-5770-5057","2港み生機器第114号","2021/1/14"
"高度管理医療機器販売業","アイシティ　表参道","東京都港区南青山五丁目1番22号","青山ライズスクエア","03-6418-7980","31港み生機器第154号","2020/1/7"
"高度管理医療機器販売業・貸与業","株式会社北村薬局","東京都港区南青山五丁目1番25号",,"03-3400-2091","4港み生機器第200号","2023/4/1"
"高度管理医療機器販売業","青山大師堂薬局","東京都港区南青山五丁目6番2号","青山菊正ビル1階","03-3407-3631","4港み生機器第63号","2022/7/20"
