"施設の名称","所在地","電話番号","FAX番号","メールアドレス","施設（出入口）の利用可能時間","休業日","備考","施設（出入口）表示有無","施設（出入口）タイトル","出入口の段差","出入口のスロープ","施設出入口表示","施設出入口タイトル","出入口の幅（cm）_1","扉の開閉方式","トイレ1（内部）表示有無","トイレ1（内部）タイトル","車椅子対応_1","オストメイト対応_1","手すり_1","おむつ交換台_1","大人用ベッド_1","音声・音響案内_1","トイレ1（周辺）表示有無","トイレ1（周辺）タイトル","視覚障害者用誘導用ブロック_1","出入口の幅（cm）_2","出入口扉の開閉形式_1","内部の幅／奥行（cm）_1","ベビーチェア_1","背もたれ_1","トイレ2（内部）表示有無","トイレ2（内部）タイトル","車椅子対応_2","オストメイト対応_2","手すり_2","おむつ交換台_2","大人用ベッド_2","音声・音響案内_2","トイレ2（周辺）表示有無","トイレ2（周辺）タイトル","視覚障害者用誘導用ブロック_2","出入口の幅（cm）_3","出入口扉の開閉形式_2","内部の幅／奥行（cm）_2","ベビーチェア_2","背もたれ_2","トイレ3（内部）表示有無","トイレ3（内部）タイトル","車椅子対応_3","オストメイト対応_3","手すり_3","おむつ交換台_3","大人用ベッド_3","音声・音響案内_3","トイレ3（周辺）表示有無","トイレ3（周辺）タイトル","視覚障害者用誘導用ブロック_3","出入口の幅（cm）_4","出入口扉の開閉形式_3","内部の幅／奥行（cm）_3","ベビーチェア_3","背もたれ_3","エレベーター表示有無","エレベータータイトル","エレベーター","点字表記","車椅子使用者対応","音声・音響案内_4","出入口の幅（cm）_5","内部の幅／奥行（cm）_4","鏡","手すり_4","視覚障害者誘導用ブロック_1","エスカレーター表示有無","エスカレータータイトル","エスカレーター","音声・音響案内_5","階段・通路表示有無","階段・通路タイトル","階段なし","スロープ","手すり_5","視覚障害者誘導用ブロック_2","障害者用駐車区画表示有無","障害者用駐車区画タイトル","障害者用駐車区画","障害者用駐車区画の台数","一般駐車区画","子ども関連1表示有無","子ども関連1タイトル","授乳スペース","おむつ交換台_4","乳幼児用ベッド","子ども関連2表示有無","子ども関連2タイトル","ベビーカー貸出","キッズスペース","流し台","湯沸かし器","障害特性表示有無","障害特性タイトル","車椅子対応座席・設備","案内表示","音声案内設備","字幕・文字情報提供設備","建物内の視覚障害者誘導用ブロック","筆談対応","休憩用ベンチ","その他表示有無","その他タイトル","AED","経度","緯度","分類"
"中野地域包括支援センター","中野区中央3-19-1","03-3367-7802","03-3367-7800","","8:30～17:00","日・祝日・年末年始","","有","","無","有","有","","170","自動ドア","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","180/200","無","無","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","180/200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","85","145/155","有","有","無","","","無","-","有","","有","無","有","無","有","","有","3","無","有","","有","無","有","有","","無","有","有","無","有","","無","有","無","無","有","有","有","有","","有","139.67420676754","35.7003729524845","医療・保健福祉施設"
"城山公園","中野区中野1-44","","","","","","","有","","無","無","有","","110","-","有","","有","無","有","無","無","無","有","","無","85","手動（引き戸）","240/236","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.674210427029","35.7042547419143","文化・レクリエーション・レジャー施設"
"やよいの園","中野区弥生町3-33-8","03-3370-9841","03-3370-8362","","月曜日～土曜日 午前9時～午後5時","日曜日、祝日、年末年始（12月29日～1月3日）","","有","","無","有","有","","190","自動ドア","有","","有","無","有","無","無","無","有","","無","88","手動（引き戸）","270/215","無","無","有","","有","有","有","無","無","無","有","","無","87","手動（引き戸）","207/220","無","有","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","110","130/215","有","有","有","","","無","-","有","","有","有","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","有","無","無","有","有","無","有","","有","139.6743766124","35.6887961698745","医療・保健福祉施設"
"江原公園","中野区江原町1-15","","","","","","","有","","有","有","有","","130","-","有","","有","有","有","有","無","無","有","","有","-","手動（引き戸）","205/201","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","有","有","有","","","無","-","無","有","","無","有","有","","","無","無","無","無","有","","無","有","無","無","有","無","有","有","","無","139.674385622372","35.7295190740083","文化・レクリエーション・レジャー施設"
"みずのとう公園","中野区江古田1-3","","","","","","","有","","無","無","有","","210","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","220/200","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.674436397056","35.7245206670862","文化・レクリエーション・レジャー施設"
"なかしん広場","中野区本町3-2","","","","","","","有","","無","無","有","","95","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","242/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.67453754805","35.6931966259881","文化・レクリエーション・レジャー施設"
"ぱんだ公園","中野区弥生町3-34","","","","","","","有","","無","無","有","","180","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","275/215","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.674623358077","35.6891719767908","文化・レクリエーション・レジャー施設"
"哲学堂公園","中野区松が丘1-34","","","","","","","有","","無","無","有","","120","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","220/205","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.674627171576","35.721951908755","文化・レクリエーション・レジャー施設"
"弥生町二丁目公園","中野区弥生町2-19","","","","","","","有","","無","無","有","","120","-","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","220/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.674696204977","35.690899814323","文化・レクリエーション・レジャー施設"
"哲学堂公園運動施設","中野区松が丘1-34-28","03-3951-2515","03-3951-2280","","9：00～21：30","9月の第1木曜日、12月29日から12月31日まで","オムツ交換台は女子トイレ内に設置されています。加えて、管理事務所にてポータブルオムツ替えシートの貸出しを行っています。授乳室は女子更衣室内に仮設しています。","有","","有","有","有","","77","手動（引き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","有","","無","-","有","有","","有","有","無","","","無","無","無","無","有","","無","無","無","有","無","有","有","有","","有","139.67467418814","35.7230464958129","文化・レクリエーション・レジャー施設"
"谷戸運動公園","中野区中野1-31","","","","","","","有","","無","有","有","","140","-","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","240/210","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.674920328054","35.7024857100913","文化・レクリエーション・レジャー施設"
"昭和区民活動センター","中野区中野6-16-20","03-3368-8181","03-3228-8256","syouwakukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","有","有","有","","100","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","有","","有","139.674988700839","35.7073208358295","官公庁施設"
"上高田児童館","中野区上高田5-30-15","03-3388-6148","03-3388-6148","kamitakadajidoukan@city.tokyo-nakano.lg.jp","火～金曜日10:00-18:00/学校休業日・土曜日9:00-17:00","日曜日・月曜日・祝祭日・年末年始","","有","","有","無","有","","100","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","有","無","有","","無","有","有","有","","","無","無","無","無","無","無","無","有","","有","139.675169617436","35.7187253154105","教育機関"
"上高田図書館","中野区上高田5-30-15","03-3319-5411","03-3319-5472","toshokan@nakano-library.jp","9:00～20:00","毎月第2木曜日、最終金曜日、年末年始休館、特別整理休館","授乳スペースは対面朗読室と兼用","有","","無","無","有","","135","自動ドア","有","","有","無","有","有","無","無","有","","有","104","手動（引き戸）","189/220","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","無","80","139/138","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","有","","有","139.675206643637","35.7188639270303","文化・レクリエーション・レジャー施設"
"江原保育園","中野区江原町1-10-16","03-3953-5528","03-3953-5619","eharahoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","","有","","有","有","有","","160","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","有","有","","無","有","有","有","有","","無","無","無","無","無","有","有","有","","有","139.675341454023","35.7291466572109","教育機関"
"桃園第二小学校","中野区中野6-13-1","03-3363-0661","03-3363-0662","nk-momo2-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","92","手動（引き戸）","190/175","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.675889809206","35.7071137533081","教育機関"
"中野保育園","中野区弥生町2-6-3","03-3373-4894","03-3373-4837","nakanohoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","","有","","有","無","有","","80","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","有","有","","無","有","無","無","","","無","無","無","無","無","無","無","有","","有","139.676546657676","35.6921690156889","教育機関"
"桃園第二学童クラブ","中野区中野6-10-6　文園児童館2階","03-3367-8106","03-3367-8124","","月～金・授業のある土曜日：下校時から19時、学校休業日8時～19時","日、祝日、年末年始(12月29日～1月3日)","","有","","有","無","有","","77","手動（引き戸）","有","","無","無","有","無","無","無","有","","有","50","手動（開き戸）","97/86","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","有","無","","","無","139.676745310561","35.7064773638982","教育機関"
"文園児童館","中野区中野6-10-6","03-3367-8106","03-3367-8124","fumizonojidoukan@city.tokyo-nakano.lg.jp","火～金10:00～18:00　土、学校休業日9:00～17:00","日・月・祝・年末年始","","有","","有","無","有","","77","手動（引き戸）","有","","無","無","有","無","無","無","有","","有","65","手動（開き戸）","94/94","無","無","有","","無","無","有","無","無","無","有","","有","65","手動（開き戸）","97/94","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","有","有","有","","無","有","無","無","有","","無","無","無","無","無","有","無","","","無","139.676745310561","35.7064773638982","教育機関"
"城山ふれあいの家","中野区中野1-20-4","03-3363-0388","03-3363-7116","siroyamafureainoie@city.tokyo-nakano.lg.jp","９：００～２２：００","年末年始","","有","","無","無","有","","150","自動ドア","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","150/200","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","105/110","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","有","","有","有","無","有","","無","有","有","有","有","","有","有","無","無","有","有","有","有","","有","139.67695344276","35.704016051421","教育機関"
"中野第一小学校","中野区本町3-16-1","03-3372-2326","03-3372-2327","nk-nakanodaiiti-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","無","有","有","","300","手動（引き戸）","有","","有","有","有","有","無","無","有","","無","100","手動（引き戸）","300/280","有","無","有","","有","無","有","無","無","無","有","","無","80","手動（引き戸）","150/180","無","無","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","180/200","無","無","有","","有","有","有","有","80","130/140","有","有","有","","","無","-","有","","有","無","無","有","有","","有","1","無","","","無","無","無","","","無","無","無","無","有","","有","有","無","無","無","有","有","有","","有","139.677385065927","35.6959898063516","教育機関"
"中央図書館中野第一小学校分室","中野区本町3-16-1","03-3372-8501","","toshokan@nakano-library.jp","10:00～19:00","月・水・金（小学校の長期休業期間および祝日を除く）、中央図書館の休館日","","有","","無","有","有","","85","自動ドア","有","","有","有","有","有","無","無","有","","無","86","手動（引き戸）","217/187","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","有","","有","有","無","有","","無","無","有","有","有","","有","有","無","無","無","有","無","有","","有","139.677385065927","35.6959898063516","文化・レクリエーション・レジャー施設"
"キッズ・プラザ中野第一","中野区本町3-16-1　中野第一小学校内","03-3372-0011","03-3372-0012","","中野第一小学校下校開始～18:00（学校休業日は8:30～18:00）","日・祝・年末年始","","有","","無","有","有","","200","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","166/204","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.677385065927","35.6959898063516","教育機関"
"中野第一学童クラブ","中野区本町3-16-1　中野第一小学校内","03-3372-0011","03-3372-0012","","中野第一小学校下校開始～19:00（学校休業日は8:00～19:00）","日・祝・年末年始","","有","","無","有","有","","200","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","166/204","有","有","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.677385065927","35.6959898063516","教育機関"
"谷戸学童クラブ","中野区中野1-26-1","03-3361-3772","03-3361-3773","","平日　谷戸小学校授業終了後～18：00","日曜日・祝日・12/29～1/3","","有","","無","有","有","","100","手動（開き戸）","有","","有","有","有","有","無","無","有","","無","97","手動（引き戸）","280/200","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","138/138","有","有","有","","","無","無","有","","有","無","有","有","","","無","-","無","","","無","無","無","有","","無","無","有","有","","","無","有","無","無","無","無","無","有","","有","139.677550984108","35.7021689358925","教育機関"
"キッズ・プラザ谷戸","中野区中野1-26-1","03-3361-3772","03-3361-3773","","平日　谷戸小学校授業終了後～18：00","日曜日・祝日・12/29～1/3","","有","","無","有","有","","100","手動（開き戸）","有","","有","有","有","有","無","無","有","","無","97","手動（引き戸）","280/200","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","138/138","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","有","","無","有","有","有","有","","無","有","無","無","有","無","無","有","","有","139.677550984108","35.7021689358925","教育機関"
"谷戸小学校","中野区中野1-26-1","03-3361-3645","03-3361-3665","nk-yato-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","有","無","有","無","無","有","","無","95","手動（引き戸）","150/140","有","無","有","","有","有","有","無","無","無","有","","無","90","手動（引き戸）","150/140","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","90","160/155","有","有","無","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.677550984108","35.7021689358925","教育機関"
"本町保育園","中野区本町3-29-17","03-3373-8700","03-3373-8759","honchouhoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","授乳専用スペースはありませんが医務室、多目的室で授乳は可能です。おむつ交換はトイレの一角をパーテーションで仕切り、おむつ交換マットを使って対応可能です。","有","","有","有","有","","85","手動（開き戸）","有","","有","無","有","無","無","無","有","","無","95","手動（引き戸）","80×200","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","無","有","","無","有","無","無","","","無","無","無","無","無","無","無","有","","有","139.677572416746","35.6971032544131","教育機関"
"東京都水道局中野営業所","中野区中野1-5-7","03-5925-2921","","","8：30～17：15","土・日・祝日・年末年始","","有","","無","有","有","","150","自動ドア","有","","有","無","有","無","無","無","有","","有","105","手動（引き戸）","237/204","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","有","","有","1","有","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","有","有","有","有","","有","139.677684431777","35.7017348515175","その他公共施設"
"上高田東高齢者会館","中野区上高田4ｰ17ｰ3","03ｰ3228ｰ7220","03ｰ3228ｰ7220","","９：００～１７：００","土・日・祝日・年末年始","","有","","有","無","有","","70","自動ドア","有","","有","無","有","無","無","無","有","","無","90","手動（開き戸）","195/215","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","有","有","80","100/120","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","有","","有","139.677870632903","35.7128945789094","医療・保健福祉施設"
"谷戸福祉作業施設（杉の子城山）","中野区中野1-6-12","03-3364-5381","03-3364-5381","","","土・日・祝日及び夏期、年末年始","","有","","有","有","有","","155","自動ドア","有","","有","無","有","無","無","無","有","","有","90","手動（引き戸）","190/230","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","有","無","無","無","無","無","無","","","無","139.678029900228","35.7019576583216","医療・保健福祉施設"
"本二東郷やすらぎ公園","中野区本町2-14","","","","","","","有","","無","無","有","","137","-","有","","有","有","有","有","無","無","有","","有","90","手動（引き戸）","210/250","有","無","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","200/230","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.678205383647","35.6940572744876","文化・レクリエーション・レジャー施設"
"昭和保育園","中野区中野6-2-11","03-3362-1506","03-3362-1658","shouwahoikuen@city.tokyo-nakano.lg.jp","7：15～19：15","日曜・祝日・12月29日～1月3日","・授乳スペースは、専用スペースはありませんが、事務所で対応します。
・おむつ交換台は、乳児用トイレ内にあります。","有","","有","無","有","","68","手動（開き戸）","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","有","","有","有","無","有","","無","無","有","無","","","無","無","無","無","無","無","無","有","","有","139.678304374356","35.7077628145881","教育機関"
"弥生区民活動センター","中野区弥生町1-58-14","03-3372-4000","03-3372-4010","yayoikukatu@city.tokyo-nakano.lg.jp","①窓口受付 午前8時半から午後5時 ②集会室など 午前9時から午後10時","①窓口受付 土曜日・日曜日・祝日及び振替休日・年末年始（12月29日～1月3日） ②集会室など 毎月第3月曜日（祝日に当たるときは、直後の休日でない日）、年末年始（12月29日～1月3日）※第3月曜日が利用可能な場合もありますので、詳しくはお問い合わせください。","","有","","有","有","有","","160","自動ドア","有","","有","有","有","有","無","無","有","","無","80","自動ドア","150/170","有","有","有","","無","無","有","無","無","無","有","","無","75","手動（開き戸）","170/500","有","無","有","","無","無","有","有","無","無","有","","無","75","手動（開き戸）","170/500","有","無","有","","有","有","有","有","77","130/130","有","有","有","","","無","-","有","","有","無","有","有","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","有","","有","139.678453368879","35.6923673811647","官公庁施設"
"第五中学校","中野区上高田4-28-1","03-3389-2341","03-3389-2342","nk-5-jhs＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","150","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","95","扉はない","130/150","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.678415189799","35.7153415312526","教育機関"
"上高田運動施設","中野区上高田5-6-1","03-3385-8900","03-3385-8200","","6：00から21：00まで","12月29日から1月3日まで","","有","","有","有","有","","113","自動ドア","有","","有","無","有","無","無","無","有","","有","84","手動（開き戸）","200/230","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","有","","有","有","無","有","82","140-143","有","有","有","","","無","-","有","","有","有","有","有","有","","有","1","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","有","","有","139.6785749473","35.7173316208068","文化・レクリエーション・レジャー施設"
"宮前公園","中野区中央2-39","","","","","","","有","","無","無","有","","100","-","有","","有","無","有","無","無","無","有","","無","100","手動（引き戸）","240/240","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.678626713573","35.7007532947438","文化・レクリエーション・レジャー施設"
"白桜小学校","中野区上高田1-2-28","03-3389-0561","03-3389-0562","nk-hakuo-es＠city.tokyo-nakano.lg.jp","8:00～16:00","土・日・祝日","","有","","有","有","有","","160","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","90","手動（引き戸）","120/110","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","有","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","有","無","無","無","有","無","有","","有","139.678967934923","35.7098064882118","教育機関"
"キッズ・プラザ白桜","中野区上高田1-2-28　白桜小学校内","03-5380-2710","03-3387-7008","","8:30～18：00","日曜日・祝日","","有","","無","有","有","","155","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","64","手動（引き戸）","195/104","無","無","有","","有","無","有","無","無","無","有","","無","64","手動（開き戸）","120/114","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.678967934923","35.7098064882118","教育機関"
"白桜学童クラブ","中野区上高田1-2-28　白桜小学校内","03-5380-2710","03-3387-7008","","8:30～18：00","日曜日・祝日","","有","","無","有","有","","155","手動（引き戸）","有","","有","無","有","無","無","無","有","","無","64","手動（引き戸）","195/104","無","無","有","","有","無","有","無","無","無","有","","無","64","手動（引き戸）","120/114","無","無","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","","","無","無","無","無","無","無","無","有","","有","139.678967934923","35.7098064882118","教育機関"
"中野弥生郵便局","中野区弥生町1-19-8","03-3372-2420","03-3372-9178","","9:00～17：00","土・日・祝日","","有","","無","有","有","","93","自動ドア","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","無","","","無","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","有","有","有","","","無","139.679098464775","35.690440210889","郵便局"
"桜山公園","中野区東中野3-22","","","","","","","有","","有","有","有","","150","-","有","","有","有","有","有","無","無","有","","無","90","手動（引き戸）","227/247","有","無","","","-","-","-","-","-","-","","","-","-","-","","-","","","","-","-","-","-","-","-","","","-","-","-","","-","-","","","無","-","-","-","-","-","-","-","-","","","無","-","有","","有","無","無","無","","","無","-","無","","","無","無","無","","","無","無","無","無","有","","無","無","無","無","無","無","有","","","無","139.679986454675","35.7071425098964","文化・レクリエーション・レジャー施設"
