17 ,一般国道１７号,北区滝野川6－21,16050 ,      －,      －,      －,      －,      －,      －,      －,"19,915 ","2,843 ","22,758 ",12.5 ,"2,135 ",9.4 ,1.43 ,1.02 ,16050 ,"25,071 ",0.91 ,19.5 ,29.1 ,10月26日(火),曇,国土交通省,17 ,一般国道１７号,16050 ,
17 ,一般国道１７号,板橋区蓮沼町45-10,16080 ,      －,      －,      －,      －,      －,      －,      －,"23,763 ","4,372 ","28,135 ",15.5 ,"2,499 ",8.9 ,1.49 ,0.83 ,16080 ,"31,147 ",0.90 ,7.3 ,21.3 ,10月中,－,国土交通省,17 ,一般国道１７号,16080 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"35,091 ","6,703 ","41,794 ",16.0 ,,,,,,"47,757 ",0.88 ,,,,,,,,,
17 ,一般国道１７号,板橋区舟渡1-9,16090 ,      －,      －,      －,      －,      －,      －,      －,"16,966 ","3,828 ","20,794 ",18.4 ,"1,846 ",8.9 ,1.47 ,0.71 ,16090 ,"22,198 ",0.94 ,13.8 ,19.1 ,10月中,－,国土交通省,17 ,一般国道１７号,16090 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"24,987 ","5,651 ","30,638 ",18.4 ,,,,,,"33,372 ",0.92 ,,,,,,,,,9
17 ,一般国道１７号,板橋区舟渡3－24,16100 ,      －,      －,      －,      －,      －,      －,      －,"17,694 ","4,439 ","22,133 ",20.1 ,"2,270 ",10.3 ,1.52 ,0.91 ,16100 ,"25,062 ",0.88 ,10.1 ,12.8 ,11月16日(火),曇,国土交通省,17 ,一般国道１７号,16100 ,
20 ,一般国道２０号,千代田区麹町3丁目,17010 ,      －,      －,      －,      －,      －,      －,      －,"20,825 ","2,694 ","23,519 ",11.5 ,"2,195 ",9.3 ,1.56 ,0.36 ,17010 ,"24,879 ",0.95 ,19.8 ,20.7 ,9月14日(火),曇,国土交通省,20 ,一般国道２０号,17010 ,
20 ,一般国道２０号,渋谷区千駄ヶ谷5丁目,17020 ,      －,      －,      －,      －,      －,      －,      －,"27,277 ","3,578 ","30,855 ",11.6 ,"2,663 ",8.6 ,1.57 ,1.02 ,17020 ,"28,423 ",1.09 ,13.7 ,10.2 ,9月14日(火),曇,国土交通省,20 ,一般国道２０号,17020 ,
20 ,一般国道２０号,渋谷区初台１丁目５１,17030 ,      －,      －,      －,      －,      －,      －,      －,"25,670 ","2,951 ","28,621 ",10.3 ,"2,555 ",8.9 ,1.65 ,1.32 ,17030 ,"32,218 ",0.89 ,41.4 ,29.8 ,9月14日(火),曇,国土交通省,20 ,一般国道２０号,17030 ,
20 ,一般国道２０号,世田谷区上北沢4-29,17060 ,      －,      －,      －,      －,      －,      －,      －,"23,540 ","2,643 ","26,183 ",10.1 ,"2,359 ",9.0 ,1.48 ,1.25 ,17060 ,"28,470 ",0.92 ,16.9 ,22.8 ,10月中,－,国土交通省,20 ,一般国道２０号,17060 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"34,948 ","3,912 ","38,860 ",10.1 ,,,,,,"43,387 ",0.90 ,,,,,,,,,
20 ,一般国道２０号,世田谷区南烏山6-16,17070 ,      －,      －,      －,      －,      －,      －,      －,"21,174 ","2,307 ","23,481 ",9.8 ,"2,161 ",9.2 ,1.52 ,0.98 ,17070 ,"24,188 ",0.97 ,9.8 ,21.5 ,10月中,－,国土交通省,20 ,一般国道２０号,17070 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"32,193 ","3,608 ","35,801 ",10.1 ,,,,,,"39,106 ",0.92 ,,,,,,,,,
246 ,一般国道２４６号,東京都港区元赤坂１丁目２,22010 ,      －,      －,      －,      －,      －,      －,      －,"29,644 ","2,521 ","32,165 ",7.8 ,"2,984 ",9.3 ,1.50 ,0.74 ,22010 ,"36,530 ",0.88 ,26.2 ,19.1 ,9月14日(火),曇,国土交通省,246 ,一般国道２４６号,22010 ,
246 ,一般国道２４６号,渋谷区円山町28,22030 ,      －,      －,      －,      －,      －,      －,      －,"22,960 ","2,257 ","25,217 ",9.0 ,"2,198 ",8.7 ,1.66 ,0.95 ,22030 ,"42,960 ",0.59 ,23.7 ,12.8 ,9月14日(火),曇,国土交通省,246 ,一般国道２４６号,22030 ,10
246 ,一般国道２４６号,世田谷区池尻2-31,22040 ,      －,      －,      －,      －,      －,      －,      －,"32,734 ","3,487 ","36,221 ",9.6 ,"3,142 ",8.7 ,1.61 ,0.90 ,22040 ,"39,014 ",0.93 ,15.9 ,17.6 ,10月中,－,国土交通省,246 ,一般国道２４６号,22040 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"53,066 ","5,094 ","58,160 ",8.8 ,,,,,,"67,063 ",0.87 ,,,,,,,,,11
246 ,一般国道２４６号,世田谷区用賀2-1,22050 ,      －,      －,      －,      －,      －,      －,      －,"24,776 ","3,185 ","27,961 ",11.4 ,"2,593 ",9.3 ,1.57 ,0.86 ,22050 ,"29,424 ",0.95 ,12.6 ,21.2 ,10月中,－,国土交通省,246 ,一般国道２４６号,22050 ,
,,,,      －,      －,      －,      －,      －,      －,      －,"38,490 ","5,378 ","43,868 ",12.3 ,,,,,,"48,019 ",0.91 ,,,,,,,,,12
246 ,一般国道２４６号,千代田区霞ヶ関3-4,22070 ,      －,      －,      －,      －,      －,      －,      －,"3,418 ",480 ,"3,898 ",12.3 ,488 ,12.5 ,1.47 ,0.52 ,22070 ,"4,902 ",0.80 ,12.5 ,9.5 ,9月16日(木),晴,国土交通省,246 ,一般国道２４６号,22070 ,
254 ,一般国道２５４号,板橋区大山町24-8,23030 ,      －,      －,      －,      －,      －,      －,      －,"22,304 ","2,564 ","24,868 ",10.3 ,"2,166 ",8.7 ,1.50 ,0.93 ,23030 ,"27,283 ",0.91 ,13.3 ,14.1 ,10月中,－,国土交通省,254 ,一般国道２５４号,23030 ,13
,,,,      －,      －,      －,      －,      －,      －,      －,"33,163 ","4,050 ","37,213 ",10.9 ,,,,,,"42,217 ",0.88 ,,,,,,,,,
254 ,一般国道２５４号,板橋区南常盤台2-22,23040 ,      －,      －,      －,      －,      －,      －,      －,"19,665 ","4,349 ","24,014 ",18.1 ,"2,234 ",9.3 ,1.53 ,0.97 ,23040 ,"29,942 ",0.80 ,9.7 ,17.4 ,10月中,－,国土交通省,254 ,一般国道２５４号,23040 ,14
,,,,      －,      －,      －,      －,      －,      －,      －,"29,960 ","6,791 ","36,751 ",18.5 ,,,,,,"47,454 ",0.77 ,,,,,,,,,
254 ,一般国道２５４号,板橋区成増２丁目３５?４,23080 ,      －,      －,      －,      －,      －,      －,      －,"4,114 ",460 ,"4,574 ",10.1 ,445 ,9.7 ,1.52 ,0.24 ,23080 ,      －,      －,6.2 ,11.9 ,11月17日(水),晴,国土交通省,254 ,一般国道２５４号,23080 ,
357 ,一般国道３５７号,江東区夢の島3丁目3,25030 ,      －,      －,      －,      －,      －,      －,      －,"12,743 ","10,299 ","23,042 ",44.7 ,"2,330 ",10.1 ,1.51 ,1.01 ,25030 ,"29,014 ",0.79 ,45.7 ,40.2 ,9月中,－,国土交通省,357 ,一般国道３５７号,25030 ,
357 ,一般国道３５７号,東京都港区台場２丁目１,25050 ,      －,      －,      －,      －,      －,      －,      －,"16,693 ","12,310 ","29,003 ",42.4 ,"2,601 ",9.0 ,1.57 ,1.59 ,25050 ,"19,526 ",1.49 ,10.3 ,38.1 ,9月中,－,国土交通省,357 ,一般国道３５７号,25050 ,
357 ,一般国道３５７号,大田区羽田空港3丁目,25110 ,      －,      －,      －,      －,      －,      －,      －,"4,647 ","2,559 ","7,206 ",35.5 ,714 ,9.9 ,1.48 ,0.26 ,25140 ,"13,104 ",0.55 ,57.1 ,47.9 ,10月26日(火),曇,国土交通省,357 ,一般国道３５７号,25110 ,
357 ,一般国道３５７号,品川区東品川４丁目１１,25160 ,      －,      －,      －,      －,      －,      －,      －,"5,328 ","1,043 ","6,371 ",16.4 ,587 ,9.2 ,1.33 ,0.34 ,25090 ,"5,908 ",1.08 ,21.4 ,24.5 ,9月14日(火),曇,国土交通省,357 ,一般国道３５７号,25160 ,15
357 ,一般国道３５７号,品川区八潮５丁目７,25170 ,      －,      －,      －,      －,      －,      －,      －,"18,094 ","12,635 ","30,729 ",41.1 ,"2,892 ",9.4 ,1.56 ,1.26 ,25150 ,"18,248 ",1.68 ,31.2 ,50.8 ,11月30日(火),晴,国土交通省,357 ,一般国道３５７号,25170 ,
466 ,一般国道４６６号（第三京浜道路）,玉川IC～神奈川県境（京浜川崎IC）,27020 ,      －,      －,612 ,"28,409 ","12,783 ",134 ,"6,029 ","41,192 ","6,163 ","47,355 ",13.0 ,"5,011 ",10.6 ,1.36 ,0.66 ,27020 ,"46,654 ",1.02 ,15.2 ,63.5 ,10月6日(水),晴,東日本高速,466 ,一般国道４６６号（第三京浜道路）,27020 ,16
,,,,      －,      －,831 ,"39,090 ","16,553 ",177 ,"8,649 ","55,643 ","8,826 ","64,469 ",13.7 ,,,,,,"68,888 ",0.94 ,,,,,,,,,
14 ,一般国道１４号,江戸川区南小岩5-13,30010 ,932 ,"2,393 ",898 ,"6,853 ","2,449 ",444 ,955 ,"9,302 ","1,399 ","10,701 ",13.1 ,990 ,9.3 ,1.33 ,1.13 ,13100 ,"12,455 ",0.86 ,16.8 ,15.5 ,9月28日(火),晴,東京都,14 ,一般国道１４号,30010 ,17
14 ,一般国道１４号,江戸川区北小岩3,30020 ,620 ,"2,590 ","1,956 ",      －,      －,      －,      －,"17,263 ","1,526 ","18,789 ",8.1 ,"2,217 ",11.8 ,1.38 ,1.47 ,13110 ,"22,626 ",0.83 ,12.4 ,27.0 ,11月17日(水),晴,国土交通省,14 ,一般国道１４号,30020 ,
122 ,一般国道１２２号,北区神谷3丁目16?4,30030 ,"3,869 ","2,520 ","1,764 ","13,950 ","8,321 ",420 ,"5,216 ","22,271 ","5,636 ","27,907 ",20.2 ,"2,474 ",8.9 ,1.41 ,0.97 ,18010 ,"29,769 ",0.94 ,12.3 ,18.6 ,10月6日(水),晴,東京都,122 ,一般国道１２２号,30030 ,
122 ,一般国道１２２号,豊島区西巣鴨4-13,30040 ,"4,852 ","3,713 ","1,372 ",      －,      －,      －,      －,"16,180 ","2,561 ","18,741 ",13.7 ,"1,826 ",9.7 ,1.37 ,1.03 ,18020 ,"20,411 ",0.92 ,20.1 ,12.0 ,10月26日(火),曇,国土交通省,122 ,一般国道１２２号,30040 ,
131 ,一般国道１３１号,大田区羽田1-2,30060 ,"2,065 ","2,027 ",600 ,"7,911 ","3,979 ",373 ,"4,172 ","11,890 ","4,545 ","16,435 ",27.7 ,"1,487 ",9.0 ,1.35 ,0.74 ,20010 ,"16,607 ",0.99 ,9.8 ,14.9 ,11月18日(木),曇,東京都,131 ,一般国道１３１号,30060 ,
131 ,一般国道１３１号,大田区大森南1-14,30070 ,750 ,"2,494 ","1,820 ","9,302 ","5,895 ",252 ,"6,533 ","15,197 ","6,785 ","21,982 ",30.9 ,"1,939 ",8.8 ,1.39 ,1.04 ,20020 ,"23,394 ",0.94 ,19.0 ,19.9 ,11月18日(木),曇,東京都,131 ,一般国道１３１号,30070 ,
246 ,一般国道２４６号,世田谷区玉川1-9,30080 ,"3,247 ","4,517 ","1,051 ",      －,      －,      －,      －,"9,568 ","1,347 ","10,915 ",12.3 ,987 ,9.0 ,1.33 ,0.49 ,22080 ,"11,809 ",0.92 ,5.1 ,6.3 ,10月28日(木),晴,国土交通省,246 ,一般国道２４６号,30080 ,18
466 ,一般国道４６６号,世田谷区瀬田1-22,30090 ,"1,136 ",889 ,"1,275 ","19,625 ","10,302 ",209 ,"3,798 ","29,927 ","4,007 ","33,934 ",11.8 ,"3,248 ",9.6 ,1.43 ,1.15 ,27010 ,"35,480 ",0.96 ,7.7 ,17.6 ,11月17日(水),晴,東京都,466 ,一般国道４６６号,30090 ,
2 ,東京丸子横浜線,品川区旗の台5-15-15,40010 ,"1,947 ","2,573 ","1,938 ",      －,      －,      －,      －,"24,177 ","2,086 ","26,263 ",7.9 ,"2,801 ",10.7 ,1.41 ,1.55 ,40010 ,"27,685 ",0.95 ,22.1 ,18.2 ,11月30日(火),晴,国土交通省,2 ,東京丸子横浜線,40010 ,
2 ,東京丸子横浜線,大田区南千束2-32,40020 ,"3,504 ","2,565 ","1,906 ","14,697 ","6,934 ",198 ,"2,796 ","21,631 ","2,994 ","24,625 ",12.2 ,"2,263 ",9.2 ,1.53 ,1.54 ,40020 ,"25,819 ",0.95 ,9.7 ,16.7 ,11月18日(木),曇,東京都,2 ,東京丸子横浜線,40020 ,
,,,,"4,928 ","3,120 ","2,908 ","24,068 ","9,031 ",239 ,"4,351 ","33,099 ","4,590 ","37,689 ",12.2 ,,,,,,"41,167 ",0.92 ,,,,,,,,,
2 ,東京丸子横浜線,大田区田園調布本町32,40030 ,"1,657 ","2,975 ","1,914 ",      －,      －,      －,      －,"24,303 ","2,452 ","26,755 ",9.2 ,"2,866 ",10.7 ,1.39 ,1.32 ,40030 ,"22,704 ",1.18 ,11.1 ,18.3 ,11月30日(火),晴,国土交通省,2 ,東京丸子横浜線,40030 ,
3 ,世田谷町田線,世田谷区喜多見7-25-13,40040 ,543 ,"1,316 ","1,066 ",      －,      －,      －,      －,"12,979 ","1,702 ","14,681 ",11.6 ,"1,411 ",9.6 ,1.33 ,1.48 ,40040 ,"12,328 ",1.19 ,11.2 ,24.0 ,10月28日(木),晴,国土交通省,3 ,世田谷町田線,40040 ,
4 ,東京所沢線,中野区本町1-13-18,40080 ,"8,010 ","4,704 ","2,069 ",      －,      －,      －,      －,"21,420 ","2,482 ","23,902 ",10.4 ,"2,216 ",9.3 ,1.42 ,0.88 ,40080 ,"30,767 ",0.78 ,21.1 ,7.7 ,11月16日(火),曇,国土交通省,4 ,東京所沢線,40080 ,
4 ,東京所沢線,杉並区和田3-62-4,40090 ,"2,934 ","3,565 ","1,770 ",      －,      －,      －,      －,"19,245 ","2,530 ","21,775 ",11.6 ,"1,943 ",8.9 ,1.39 ,1.09 ,40090 ,"22,711 ",0.96 ,18.8 ,8.8 ,11月16日(火),曇,国土交通省,4 ,東京所沢線,40090 ,
4 ,東京所沢線,杉並区阿佐谷南3-12,40110 ,"2,622 ","4,466 ","1,802 ","12,043 ","6,591 ",161 ,"2,009 ","18,634 ","2,170 ","20,804 ",10.4 ,"1,895 ",9.1 ,1.49 ,0.97 ,40110 ,"22,122 ",0.94 ,12.1 ,15.4 ,12月2日(木),晴,東京都,4 ,東京所沢線,40110 ,
,,,,"3,650 ","5,551 ","2,673 ","18,850 ","8,672 ",196 ,"3,236 ","27,522 ","3,432 ","30,954 ",11.1 ,,,,,,"33,528 ",0.92 ,,,,,,,,,
4 ,東京所沢線,杉並区桃井2-2,40120 ,"2,549 ","2,994 ","1,403 ","12,041 ","5,806 ",863 ,"2,354 ","17,847 ","3,217 ","21,064 ",15.3 ,"1,890 ",9.0 ,1.38 ,1.01 ,40120 ,"21,416 ",0.98 ,13.2 ,16.3 ,12月1日(水),雨,東京都,4 ,東京所沢線,40120 ,
4 ,東京所沢線,杉並区善福寺4-1-3,40130 ,988 ,"2,306 ",889 ,      －,      －,      －,      －,"19,957 ","2,571 ","22,528 ",11.4 ,"2,517 ",11.2 ,1.40 ,1.22 ,40130 ,"25,848 ",0.87 ,17.4 ,18.6 ,9月9日(木),曇,国土交通省,4 ,東京所沢線,40130 ,19
4 ,東京所沢線,西東京市東伏見4-10-3,40140 ,826 ,"1,845 ","1,302 ",      －,      －,      －,      －,"22,966 ","2,528 ","25,494 ",9.9 ,"2,470 ",9.7 ,1.40 ,1.26 ,40140 ,"25,248 ",1.01 ,13.1 ,17.6 ,10月13日(水),雨,国土交通省,4 ,東京所沢線,40140 ,
6 ,東京大師横浜線,大田区羽田2-19-2,40150 ,283 ,"2,780 ","1,492 ",      －,      －,      －,      －,"15,811 ","7,936 ","23,747 ",33.4 ,"2,474 ",10.4 ,1.36 ,1.10 ,40150 ,"19,640 ",1.21 ,12.5 ,21.6 ,11月30日(火),晴,国土交通省,6 ,東京大師横浜線,40150 ,
7 ,杉並あきる野線,杉並区成田東1-34,40160 ,"1,756 ","3,241 ",818 ,"4,821 ","3,148 ",229 ,906 ,"7,969 ","1,135 ","9,104 ",12.5 ,851 ,9.3 ,1.32 ,1.13 ,40160 ,"10,006 ",0.91 ,13.3 ,16.9 ,12月2日(木),晴,東京都,7 ,杉並あきる野線,40160 ,
7 ,杉並あきる野線,杉並区松庵2-23-29,40170 ,619 ,720 ,204 ,      －,      －,      －,      －,"6,705 ",746 ,"7,451 ",10.0 ,717 ,9.6 ,1.30 ,1.06 ,40170 ,"6,683 ",1.11 ,15.7 ,17.7 ,10月14日(木),晴,国土交通省,7 ,杉並あきる野線,40170 ,
7 ,杉並あきる野線,武蔵野市吉祥寺南町3-33-6,40190 ,623 ,"1,110 ",309 ,      －,      －,      －,      －,"9,457 ",698 ,"10,155 ",6.9 ,"1,064 ",10.5 ,1.32 ,1.33 ,40190 ,"10,688 ",0.95 ,17.1 ,25.7 ,10月14日(木),晴,国土交通省,7 ,杉並あきる野線,40190 ,
8 ,千代田練馬田無線,千代田区飯田橋1-10-2,40200 ,"37,328 ","2,673 ",921 ,      －,      －,      －,      －,"18,643 ","1,728 ","20,371 ",8.5 ,"1,840 ",9.0 ,1.41 ,1.05 ,40200 ,"26,854 ",0.76 ,12.9 ,9.8 ,10月21日(木),曇,国土交通省,8 ,千代田練馬田無線,40200 ,
8 ,千代田練馬田無線,新宿区水道町3-2,40210 ,"8,536 ","1,768 ","1,499 ",      －,      －,      －,      －,"28,636 ","2,424 ","31,060 ",7.8 ,"3,928 ",12.6 ,1.41 ,0.89 ,40210 ,"27,047 ",1.15 ,15.7 ,14.4 ,11月16日(火),曇,国土交通省,8 ,千代田練馬田無線,40210 ,
8 ,千代田練馬田無線,文京区関口1-41-2,40220 ,"1,765 ","1,497 ","1,344 ",      －,      －,      －,      －,"20,075 ","2,726 ","22,801 ",12.0 ,"2,518 ",11.0 ,1.37 ,1.30 ,40220 ,"20,596 ",1.11 ,20.4 ,24.6 ,11月16日(火),曇,国土交通省,8 ,千代田練馬田無線,40220 ,20
8 ,千代田練馬田無線,新宿区下落合1-2-15,40230 ,"3,132 ","2,534 ","1,702 ",      －,      －,      －,      －,"21,446 ","2,614 ","24,060 ",10.9 ,"2,203 ",9.2 ,1.41 ,0.95 ,40230 ,"26,431 ",0.91 ,21.1 ,24.6 ,9月7日(火),曇,国土交通省,8 ,千代田練馬田無線,40230 ,
8 ,千代田練馬田無線,新宿区西落合3-2-15,40250 ,"3,408 ","2,517 ","1,469 ",      －,      －,      －,      －,"20,347 ","3,180 ","23,527 ",13.5 ,"2,257 ",9.6 ,1.40 ,1.25 ,40250 ,"24,381 ",0.96 ,9.2 ,15.4 ,10月27日(水),曇,国土交通省,8 ,千代田練馬田無線,40250 ,21
8 ,千代田練馬田無線,新宿区西落合4-25-16,40260 ,"1,030 ","1,503 ","1,397 ",      －,      －,      －,      －,"19,552 ","2,899 ","22,451 ",12.9 ,"2,112 ",9.4 ,1.40 ,1.10 ,40260 ,"24,455 ",0.92 ,11.1 ,22.3 ,10月27日(水),曇,国土交通省,8 ,千代田練馬田無線,40260 ,
8 ,千代田練馬田無線,中野区江原町2-29-13,40270 ,"4,368 ","1,713 ","1,273 ",      －,      －,      －,      －,"19,602 ","2,475 ","22,077 ",11.2 ,"2,564 ",11.6 ,1.44 ,1.62 ,40270 ,"24,143 ",0.91 ,9.8 ,16.3 ,9月9日(木),曇,国土交通省,8 ,千代田練馬田無線,40270 ,
,,,,     －,     －,     －,      －,      －,      －,      －,"27,836 ","3,858 ","31,694 ",12.2 ,,,,,,"36,862 ",0.86 ,,,,,,,,,22
8 ,千代田練馬田無線,練馬区豊玉北4丁目29,40280 ,"1,944 ","2,104 ","1,755 ","15,246 ","8,060 ",271 ,"4,059 ","23,306 ","4,330 ","27,636 ",15.7 ,"2,493 ",9.0 ,1.41 ,1.08 ,40280 ,"27,379 ",1.01 ,12.4 ,16.3 ,10月7日(木),曇,東京都,8 ,千代田練馬田無線,40280 ,
8 ,千代田練馬田無線,練馬区関町北5-19-23,40290 ,776 ,"2,035 ",407 ,      －,      －,      －,      －,"7,378 ",668 ,"8,046 ",8.3 ,824 ,10.2 ,1.30 ,0.75 ,40290 ,"7,503 ",1.07 ,14.0 ,14.1 ,9月9日(木),曇,国土交通省,8 ,千代田練馬田無線,40290 ,
8 ,千代田練馬田無線,豊島区高田1-40-11,40300 ,"6,407 ","1,706 ",928 ,      －,      －,      －,      －,"13,776 ","1,388 ","15,164 ",9.2 ,"1,462 ",9.6 ,1.34 ,1.11 ,40300 ,"15,115 ",1.00 ,17.5 ,22.8 ,11月16日(火),曇,国土交通省,8 ,千代田練馬田無線,40300 ,
8 ,千代田練馬田無線,豊島区目白3-5-13,40310 ,"15,209 ","5,030 ",803 ,      －,      －,      －,      －,"11,536 ","1,257 ","12,793 ",9.8 ,"1,158 ",9.1 ,1.34 ,1.03 ,40310 ,"14,165 ",0.90 ,21.0 ,19.7 ,11月17日(水),晴,国土交通省,8 ,千代田練馬田無線,40310 ,
10 ,東京浦安線,江東区佐賀1-1-19,40360 ,"3,374 ","3,665 ","1,100 ",      －,      －,      －,      －,"21,127 ","3,920 ","25,047 ",15.7 ,"2,790 ",11.1 ,1.43 ,1.07 ,40360 ,"32,904 ",0.76 ,17.7 ,12.8 ,9月28日(火),曇,国土交通省,10 ,東京浦安線,40360 ,
10 ,東京浦安線,江東区南砂3-2,40370 ,"1,764 ","1,222 ",938 ,"7,563 ","4,674 ",523 ,"3,338 ","12,237 ","3,861 ","16,098 ",24.0 ,"1,490 ",9.3 ,1.35 ,1.21 ,40370 ,"16,660 ",0.97 ,10.9 ,15.2 ,12月8日(水),雨,東京都,10 ,東京浦安線,40370 ,
10 ,東京浦安線,江戸川区西葛西1-11-30,40380 ,499 ,"1,975 ","1,829 ",      －,      －,      －,      －,"15,643 ","2,270 ","17,913 ",12.7 ,"1,983 ",11.1 ,1.38 ,1.82 ,40380 ,"22,018 ",0.81 ,49.4 ,40.8 ,9月14日(火),曇,国土交通省,10 ,東京浦安線,40380 ,
10 ,東京浦安線,江戸川区東葛西3-17,40390 ,962 ,"3,131 ","1,503 ",      －,      －,      －,      －,"16,259 ","1,716 ","17,975 ",9.5 ,"2,038 ",11.3 ,1.39 ,1.05 ,40390 ,"21,066 ",0.85 ,30.4 ,42.1 ,9月14日(火),曇,国土交通省,10 ,東京浦安線,40390 ,23
,,,,     －,     －,     －,      －,      －,      －,      －,"22,547 ","2,351 ","24,898 ",9.4 ,,,,,,"30,547 ",0.82 ,,,,,,,,,
10 ,東京浦安線,江戸川区清新町1-5,40400 ,507 ,"1,826 ",938 ,      －,      －,      －,      －,"9,856 ","2,964 ","12,820 ",23.1 ,"1,366 ",10.7 ,1.34 ,1.38 ,40400 ,"16,053 ",0.80 ,25.2 ,44.6 ,9月14日(火),曇,国土交通省,10 ,東京浦安線,40400 ,24
10 ,東京浦安線,江東区東砂5-2,40420 ,"1,153 ",425 ,209 ,"2,698 ","1,232 ",216 ,589 ,"3,930 ",805 ,"4,735 ",17.0 ,481 ,10.2 ,1.27 ,0.55 ,40410 ,"5,269 ",0.90 ,19.3 ,22.9 ,12月8日(水),雨,東京都,10 ,東京浦安線,40420 ,
11 ,大田調布線,世田谷区玉堤1,40470 ,2 ,110 ,704 ,      －,      －,      －,      －,"8,394 ","1,086 ","9,480 ",11.5 ,839 ,8.9 ,1.31 ,0.99 ,40460 ,"8,724 ",1.09 ,28.7 ,25.0 ,11月30日(火),晴,国土交通省,11 ,大田調布線,40470 ,
11 ,大田調布線,世田谷区大蔵6-19,40490 ,436 ,872 ,426 ,"4,474 ","2,141 ",415 ,762 ,"6,615 ","1,177 ","7,792 ",15.1 ,731 ,9.4 ,1.30 ,1.12 ,40480 ,"7,808 ",1.00 ,10.5 ,9.9 ,11月17日(水),晴,東京都,11 ,大田調布線,40490 ,
11 ,大田調布線,狛江市岩戸南4-22,40530 ,382 ,855 ,327 ,      －,      －,      －,      －,"4,928 ",314 ,"5,242 ",6.0 ,535 ,10.2 ,1.28 ,1.00 ,40520 ,"5,409 ",0.97 ,17.9 ,15.1 ,10月28日(木),晴,国土交通省,11 ,大田調布線,40530 ,
14 ,新宿国立線,中野区弥生町3-24-3,40540 ,"2,562 ","3,398 ",698 ,      －,      －,      －,      －,"8,602 ","1,079 ","9,681 ",11.1 ,852 ,8.8 ,1.29 ,1.01 ,40530 ,"6,544 ",1.48 ,8.4 ,17.1 ,9月29日(水),晴,国土交通省,14 ,新宿国立線,40540 ,
14 ,新宿国立線,中野区南台5-24-13,40550 ,"2,612 ","2,722 ",807 ,      －,      －,      －,      －,"8,627 ","1,085 ","9,712 ",11.2 ,904 ,9.3 ,1.31 ,1.43 ,40540 ,"9,544 ",1.02 ,16.7 ,7.0 ,9月29日(水),晴,国土交通省,14 ,新宿国立線,40550 ,
14 ,新宿国立線,杉並区久我山3-7-22,40570 ,"1,008 ","1,445 ",367 ,      －,      －,      －,      －,"5,397 ",542 ,"5,939 ",9.1 ,660 ,11.1 ,1.30 ,1.65 ,40560 ,"7,802 ",0.76 ,10.0 ,13.9 ,10月14日(木),晴,国土交通省,14 ,新宿国立線,40570 ,
14 ,新宿国立線,杉並区久我山3-7-15,40590 ,744 ,"1,333 ",727 ,"10,932 ","4,495 ",82 ,"1,576 ","15,427 ","1,658 ","17,085 ",9.7 ,"1,552 ",9.1 ,1.36 ,0.51 ,40580 ,"19,326 ",0.88 ,      －,      －,12月14日(火),曇,東京都,14 ,新宿国立線,40590 ,
24 ,練馬所沢線,練馬区石神井町2丁目36,40600 ,503 ,"1,489 ",498 ,"3,214 ","1,259 ",161 ,510 ,"4,473 ",671 ,"5,144 ",13.0 ,474 ,9.2 ,1.28 ,1.16 ,40590 ,"5,624 ",0.91 ,15.5 ,16.9 ,10月7日(木),曇,東京都,24 ,練馬所沢線,40600 ,
24 ,練馬所沢線,西東京市北町4-6,40610 ,372 ,"1,084 ",434 ,      －,      －,      －,      －,"7,901 ",825 ,"8,726 ",9.5 ,929 ,10.6 ,1.30 ,1.20 ,40600 ,"7,740 ",1.13 ,18.1 ,15.9 ,10月13日(水),雨,国土交通省,24 ,練馬所沢線,40610 ,25
24 ,練馬所沢線,練馬区大泉町5丁目16,40620 ,"1,229 ","2,837 ",850 ,"10,142 ","4,912 ",42 ,"2,003 ","15,054 ","2,045 ","17,099 ",12.0 ,"1,563 ",9.1 ,1.35 ,1.33 ,40610 ,"17,003 ",1.01 ,24.8 ,7.0 ,10月7日(木),曇,東京都,24 ,練馬所沢線,40620 ,
25 ,飯田橋石神井新座線,中野区東中野5-23-15,40650 ,"4,123 ","3,478 ","1,017 ",      －,      －,      －,      －,"9,439 ","1,211 ","10,650 ",11.4 ,"1,002 ",9.4 ,1.33 ,1.15 ,40640 ,"12,806 ",0.83 ,14.3 ,15.8 ,11月17日(水),晴,国土交通省,25 ,飯田橋石神井新座線,40650 ,26
25 ,飯田橋石神井新座線,杉並区阿佐谷北5-46,40660 ,656 ,"1,895 ",875 ,      －,      －,      －,      －,"8,639 ","1,001 ","9,640 ",10.4 ,877 ,9.1 ,1.31 ,1.01 ,40650 ,"8,921 ",1.08 ,8.9 ,11.0 ,11月17日(水),晴,国土交通省,25 ,飯田橋石神井新座線,40660 ,
25 ,飯田橋石神井新座線,杉並区井草1-18,40670 ,"1,650 ","1,045 ",202 ,"1,339 ",777 ,118 ,179 ,"2,116 ",297 ,"2,413 ",12.3 ,224 ,9.3 ,1.23 ,0.62 ,40660 ,"3,023 ",0.80 ,12.4 ,12.7 ,12月1日(水),雨,東京都,25 ,飯田橋石神井新座線,40670 ,
