施設ID,施設名,施設紹介,区市町村コード,都道府県,区市町村,エリア,郵便番号,住所,アクセス,電話番号,URL,月曜日 営業開始時間,月曜日 営業終了時間,火曜日 営業開始時間,火曜日 営業終了時間,水曜日 営業開始時間,水曜日 営業終了時間,木曜日 営業開始時間,木曜日 営業終了時間,金曜日 営業開始時間,金曜日 営業終了時間,土曜日 営業開始時間,土曜日 営業終了時間,日曜日 営業開始時間,日曜日 営業終了時間,営業時間補足,定休日,最大利用規模,料金,施設種別,設備,事前の会員登録,事前の法人契約,入室方法,更新日,作成日
1247,H1T川崎,都心と横浜の中間点に位置し、両エリアから好アクセスな拠点です。商業施設が多く立ち並ぶ駅前にあり、仕事帰りのショッピングにも便利です。川崎のお近くに住む方のテレワークの拠点としてお役立ていただけるオープンスペースやブース席の他、最大10名収容可能な会議室もございます。,141305,神奈川県,川崎市,東京近郊,210-0007,神奈川県川崎市川崎区駅前本町26-4　ラウンドクロス川崎8階,"JR「川崎」駅　中央東口徒歩2分
京急電鉄線「京急川崎」駅　中央口徒歩5分",03-5657-0854,https://www.h1t-web.com/desk/desk_search8.html,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,19:00,電話受付時間：10：00～17：00（土日祝除く）,なし,59名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1246,H1T品川,H1T最大の拠点となり、12名用の会議室やバイクを漕ぎながら仕事ができる席など、さまざまなタイプの席をご用意しました。「社内の会議室が取れなくて困った！」という品川エリアの会社の方や、出張前後で品川駅を利用することが多い会社の方も、ぜひご利用ください。,131032,東京都,港区,千代田・中央・港,108-0075,東京都港区港南1-8-40　A-PLACE品川3階,"JR／東海道新幹線「品川」駅　港南口徒歩４分
京浜急行電鉄「品川」駅　高輪口徒歩8分",03-5657-0854,https://www.h1t-web.com/desk/desk_search5.html,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,07:00,20:00,,,,,電話受付時間：10：00～17：00（土日祝除く）,土日祝,132名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1245,H1T大宮,数多くの路線が乗り入れる埼玉県最大のターミナル駅・大宮の拠点は、国際会議室や展示場、市民ホール、都市型ホテルなどからなる総合コンベンション施設「ソニックシティ」内にあります。展示会帰りに気軽に利用できるオーンスペースをはじめ、さまざまなスタイルの席があり充実した拠点です。,111007,埼玉県,さいたま市,東京近郊,330-0854,埼玉県さいたま市大宮区桜木町1-7-5　ソニックシティビル2階,"JR「大宮」駅　西口徒歩5分　
東武野田線「大宮」駅　改札口徒歩8分　
埼玉新都市交通（ニューシャトル）「大宮」駅　ニューシャトル出口徒歩7分",03-5657-0854,https://www.h1t-web.com/desk/desk_search18.html,07:30,22:00,07:30,22:00,07:30,22:00,07:30,22:00,07:30,22:00,,,,,電話受付時間：10：00～17：00（土日祝除く）,土日祝,66名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1244,H1T青葉台,"急行の停車駅・青葉台駅徒歩1分! お近くにお住まいの方や、田園都市線ユーザーにもおすすめです。
ご自宅近くのテレワーク拠点として、都心に出ずに仕事が完結できます。集中して作業ができるブース席が12席と充実。気分を変えたい時は広々としたオープンスペースでリラックスして作業をしてみても。",141003,神奈川県,横浜市,東京近郊,227-0062,神奈川県横浜市青葉区青葉台1-6-14　EQUINIA青葉台4階,東急田園都市線「青葉台」駅　西口徒歩1分,03-5657-0854,https://www.h1t-web.com/desk/desk_search14.html,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,電話受付時間：10：00～17：00（土日祝除く）,なし,60名 名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1243,H1T町田,新宿や横浜へのアクセスが良く、多摩最大級の繁華街・町田。その駅前にある商業施設「町田モディ」6階にある拠点は、横浜線ユーザーや小田急線ユーザーにオススメです。コンパクトな空間に個人スペースが充実しており、スタートアップや集中して仕事をこなしたい方に最適な空間を提供します。,132098,東京都,町田市,多摩,194-0013,東京都町田市原町田6-2-6　町田モディ6階,"JR横浜線「町田」駅　北口徒歩2分
小田急小田原線「町田」駅　西口徒歩1分",03-5657-0854,https://www.h1t-web.com/desk/desk_search17.html,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,"電話受付:10:00-17:00
8:00～10:30は、町田モディの営業時間外のため、以下の点にご注意ください。
・ 町田モディ（建物）への入退館は、建物東側の1階エントランスをご利用ください
・ H1Tがある6階までの移動は、1階エントランスからそのまま階段で2階までお上がりいただき、北エレベーターをご利用ください
・H1Tへの入退室はサブエントランスをご利用ください
・ トイレは、6階のトイレをご利用ください（男性は、みんなのトイレをご利用ください）
・他フロアへアクセスはできません",なし,14名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1242,H1T渋谷宮益坂,流行発信地・渋谷駅 宮益坂側（B4出口）から徒歩3分！ スタイリッシュで開放的なオープンスペースにはプロジェクターとスクリーンもご用意しており、イベントやセミナーなどでもご利用可能です。個人ワークに集中できるブース席はもちろんのこと、2~6名用の会議室もあり充実した拠点になっています。,131130,東京都,渋谷区,新宿・渋谷・豊島,150-0002,東京都渋谷区渋谷2-19-19　ワコー宮益坂8階,"JR「渋谷」駅　宮益坂口徒歩4分
東京メトロ半蔵門線・副都心線／東急東横線・田園都市線「渋谷」駅　B4出口徒歩3分　
東京メトロ銀座線「渋谷」駅　明治通り方面改札口徒歩3分　
京王井の頭線「渋谷」駅　中央口徒歩7分",03-5657-0854,https://www.h1t-web.com/desk/desk_search12.html,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,07:30,20:00,,,電話受付時間：10：00～17：00（土日祝除く）,日曜,58名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1241,H1T神保町,"靖国通り沿い出てすぐの好アクセス!半蔵門線や都営新宿線、三田線をご利用の方で、営業中の空き時間や帰宅途中に仕事をまとめたい時などに便利です。ナチュラルテイストのオープンスペースが魅力。
会議室は2~8名をご用意しており、ファシリティも充実。周辺企業様とのミーティング利用にもどうぞ。",131016,東京都,千代田区,千代田・中央・港,101-0051,東京都千代田区神田神保町1-11-1　いちご神保町ビル5階,東京メトロ半蔵門線／都営新宿線・三田線「神保町」駅　A7出口徒歩1分,03-5657-0854,https://www.h1t-web.com/desk/desk_search13.html,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,07:30,21:00,,,,,電話受付時間：10：00～17：00（土日祝除く）,土日祝,34名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1240,H1T日本橋,"日本橋駅より徒歩2分、三越前駅からも徒歩3分の好アクセス。
2フロアにオープンスペースやブース席・会議室を展開。日本橋エリア営業中に立ち寄って作業をしたり、自社の会議室が埋まってしまった時など、お気軽にご利用ください。",131024,東京都,中央区,千代田・中央・港,103-0027,東京都中央区日本橋1-2-2　日本橋親和ビル2・3階,"東京メトロ東西線・銀座線/都営浅草線「日本橋」駅　A4出口徒歩2分
東京メトロ半蔵門線・銀座線「三越前」駅　B5出口徒歩3分
JR「東京」駅　日本橋口徒歩6分",03-5657-0854,https://www.h1t-web.com/desk/desk_search2.html,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,電話受付時間：10：00～17：00（土日祝除く）,なし,37名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1239,H1T新橋,"「サラリーマンの街」としても有名な新橋の拠点。
JRやメトロ、ゆりかもめなど様々な路線が通っており、都内の営業が多い方はもちろん、新幹線や飛行機での出張が多いビジネスパーソンのニーズにもお応えできる、アクセス抜群の立地が特徴です。",131032,東京都,港区,千代田・中央・港,105-0004,東京都港区新橋2-6-5 外堀通り上一ビル（旧：織田興産ビル）6階 ,"JR「新橋」駅　日比谷口徒歩2分
東京メトロ銀座線/都営浅草線「新橋」駅　8番出口徒歩1分
都営地下鉄浅草線「新橋」駅　銀座口方面階段徒歩3分
ゆりかもめ「新橋」駅　1A出口徒歩4分 ",03-5657-0854,https://www.h1t-web.com/desk/desk_search4.html,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,,,,,電話受付時間：10：00～17：00（土日祝除く）,土日祝,18名,初期費用不要、「15分154円」(税込み)からの使いやすい料金設定です。,共用サテライトオフィス,,要,要,システム予約,2022/3/15,2020/6/22
1227,Ueno Your 2nd,"JR御徒町駅南口より徒歩4分の1棟丸ごとレンタルオフィス Ueno Yourの2号店です。Ueno Yourから40m。
2階がコワーキングスペースとなってます。
コワーキングスペース(カフェ)にStudyRoom(私語禁止)が併設されてます。
B1には専用のデスクとロッカーが使えるBooth Zone(固定デスク)もあります。
月会員が主ですがOneDayの利用もできます。
コワーキングプラン月額会員は毎日7時～23時 利用可。
OneDayのご利用は10時～20時です。
・Wi-Fi完備・電源コンセント・有線LAN(一部)・無料ドリンク",131067,東京都,台東区,台東・荒川・足立,110-0005,東京都台東区上野3-14-2,"JR山手線 御徒町駅南口より徒歩４分
JR京浜東北線 御徒町駅南口より徒歩４分
都営大江戸線 上野御徒町駅A1口より徒歩３分
東京メトロ銀座線 上野広小路駅A1口より徒歩３分
東京メトロ千代田線 湯島駅６番口より徒歩３分
東京メトロ日比谷線 中御徒町駅２番口より４分",03-6803-0566,https://www.uenoyour.com/ueno-your-2nd,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,"月会員
コワーキングスペース(カフェ) 7:00～23:00
Study Room(自習室) 7:00～23:00
Booth Zone(固定デスク) 7:00～23:00 
レンタルオフィス(個室) 24H
OneDay
コワーキングスペース(カフェ) 10:00～20:00
Study Room(自習室) 10:00～20:00",無し,40名,"コワーキングプラン 15,000円/月(税込16,500円)・OneDay 1,500円/月(税込1,650円)
＊コワーキングスペース(カフェ)とStudyRoomの利用可
レンタルオフィス(個室) 40,000円～/月(税込44,000円～)",共用サテライトオフィス,,要、簡易利用の場合不要,-,-,2021/11/28,2020/5/12
1123,シェアオフィス6F（ロクエフ）,"「シェアオフィス6F（ロクエフ）」は、埼玉県さいたま市の大宮駅東口徒歩1分にあるシェアオフィス・レンタルオフィスです。1～3人まで利用できる個室を17部屋ご用意しています。
年中無休・朝7時から夜23時まで全時間帯スタッフ常駐で利用者をアテンド。全席に、デスク・機能性ワークチェア・鍵付きキャビネット・電源を完備。入居日からの作業が可能です。
048電話番号提供と、住所利用、登記が可能。郵送物はシェアオフィス6Fのスタッフが受取を代行し、都度ご連絡いたします。会社のWebサイトや名刺にもシェアオフィス6Fの住所をご記載いただけます。
打ち合わせやイベント開催に最適な「貸会議室6F」とオープン席の「コワーキングスペース7F」も同一ビル内に併設しています。",111007,埼玉県,さいたま市,東京近郊,330-0802,埼玉県さいたま市大宮区宮町1-5 銀座ビル6階,大宮駅東口 徒歩1分,048-729-5197,https://office6f.jp/,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,なし,22名,"月額49,500円（税別）～139,700円
※住所利用・登記利用は無料オプションとして付いてきます。
※共益費や水道光熱費は利用料に含まれています。
※シェアオフィスの利用者様には同ビル内の併設施設「貸会議室6F」の約3万円分/月の利用が無料オプションとして付いています。
※シェアオフィスの利用者様は同ビル内の併設施設「コワーキングスペース7F」も無料でご利用いただけます。
※料金はすべて税込",共用サテライトオフィス,,要,不要,会員証の提示,2021/11/28,2020/3/14
1122,コワーキングスペース7F（ナナエフ）,"埼玉県さいたま市の大宮駅東口徒歩１分の場所にあるコワーキングスペース「7F（ナナエフ）」です。約80席（うち個人席22席）で、貸会議室とシェアオフィスも併設しています。
年中無休で朝7時から夜23時まで、全時間帯スタッフ常駐で運営しており、一時利用から月額会員利用まで、様々なニーズに沿ったプランをご用意。一時利用は事前のご予約は必要ありません。
企業のテレワーク・リモートワークの作業スペース、フリーランスの方の作業スペース、資格試験の勉強の場として等、それぞれの用途に沿って、必要な期間のご利用・ご契約が可能です。1人での作業はもちろん、複数人でのお打ち合わせにもご利用いただけます。
多数のビジネス書籍やビジネス雑誌、モニターディスプレイ、様々なケーブルなど、無料の貸出備品も豊富にご用意しています。",111007,埼玉県,さいたま市,東京近郊,330-0802,埼玉県さいたま市大宮区宮町1-5 銀座ビル7階,大宮駅東口 徒歩1分,048-729-5197,https://office7f.com/,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,,なし,80名,"一時利用・2時間まで：500円
一時利用・1日：1,000円
月額会員（全時間帯利用）：9,900円
月額会員（土・日・祝のみ利用）：5,830円
月額会員向けに別途オプションとして、住所利用・郵便受付、048電話番号提供、インターネットFAX、ダイヤル式ロッカーをご用意しています。
※料金はすべて税込",共用サテライトオフィス,,簡易利用の場合不要,不要,-,2021/11/28,2020/3/14
1120,アクセアカフェ西新宿店,"新宿駅西口から徒歩5分圏内、青梅街道沿いにあるアクセアビル２F。駅近でありながら、24時間オープンなので出勤前のソロワークや帰宅前の読書など、充実したお時間を過ごしていただけます。
ソファ席とテーブル席をご用意しておりますので、ミーティングや勉強会など複数人でのご利用にも対応可能。集中して作業できるカウンターデスクもございます。
新宿駅近くとは思えない、静かでリラックスした空間をご提供いたします。 ",131041,東京都,新宿区,新宿・渋谷・豊島,160-0023,東京都新宿区西新宿7-12-3 西新宿佐藤ビル２F ,"●東京メトロ丸ノ内線｢西新宿駅｣E8番出口より徒歩１分
●都営大江戸線「新宿西口駅」D4出口より徒歩５分
●ＪＲ、京王線、小田急線、都営大江戸線「新宿駅」西口出口より徒歩５分 ",03-5348-5547,http://cafe.accea.co.jp/map/nishishinjuku.php,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,"2F カフェ 8:00～22:00
1F アクセア受付 24時間営業 
※緊急事態宣言中は8:00-20:00で営業しております",無し,34名,"30分  　  190円（税込209円）
3時間  　980円（税込1,078円）
5時間    1,600円（税込1,760円）
1day      2,000円（税込2,200円）",共用サテライトオフィス、カフェ等,,不要,不要,-,2021/11/28,2020/2/26
1119,アクセアカフェ神田店,"神田・秋葉原・大手町、主要駅に囲まれた神田須田町。ビジネスでも観光でもアクセス抜群です。
打ち合わせはソファ席でゆったりと。集中して作業をしたいときにはコックピット席で。フリーwi-fi・電源も完備しておりますので、資料作成のあとすぐに印刷も可能でございます。
ランチを持ってお昼にご来店頂いても構いません。お客様一人ひとりのニーズに応える、静かで落ち着いた空間をご用意しております。 ",131016,東京都,千代田区,千代田・中央・港,101-0041,東京都千代田区神田須田町1-16-5 ヒューリック神田ビル1F,"●東京メトロ 銀座線「神田駅」６番出口より徒歩１分
●東京メトロ丸の内線「淡路町駅」Ａ１出口より徒歩５分
●ＪＲ線「神田駅」北口より徒歩６分
●ＪＲ線「秋葉原駅」南口より徒歩７分",03-3258-0881,http://cafe.accea.co.jp/map/kanda.php,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,10:00,19:00,10:00,19:00,"平日 8:00～22:00
土日祝 10:00～19:00",無し,29名,"30分  　  190円（税込209円）
3時間  　980円（税込1,078円）
5時間    1,600円（税込1,760円）
1day      2,000円（税込2,200円）",共用サテライトオフィス、カフェ等,,不要,不要,-,2021/11/28,2020/2/26
1089,横浜アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、24名セミナールーム、6名商談室もあります。",141003,神奈川県,横浜市,東京近郊,220-0004,神奈川県横浜市西区北幸1丁目11番1号 水信ビル7階,JR線・東急電鉄・京急電鉄・相模鉄道・横浜市営地下鉄・横浜高速鉄道「横浜駅」徒歩４分,045-316-1366,https://entre-salon.com/salon/yokohama/,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,09:00,18:00,,,スタッフの常駐は平日9:00～18:00,日祝、年末年始,111名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/20
1088,池袋アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、6名商談室もあります。",131164,東京都,豊島区,新宿・渋谷・豊島,170-0013,東京都豊島区東池袋1丁目34番5号 いちご東池袋ビル 6階,"JR線「池袋駅」徒歩5分
東京メトロ丸ノ内線・有楽町線「池袋駅」徒歩6分",03-5956-0140,https://entre-salon.com/salon/ikebukuro/,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,09:00,18:00,,,スタッフの常駐は平日9:00～18:00,日祝、年末年始,78名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/20
1087,川崎アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、6名商談室もあります。",141305,神奈川県,川崎市,東京近郊,210-0007,神奈川県川崎市川崎区駅前本町11番地2 川崎フロンティアビル4階,"JR線「川崎駅」北口東 徒歩2分
京急本線「京急川崎駅」中央口 徒歩1分",044-244-7340,https://entre-salon.com/salon/kawasaki/,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,10:00,18:00,,,スタッフの常駐は平日9:00～18:00,日祝、年末年始,64名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/20
1086,桜木町アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、6名商談室もあります。",141003,神奈川県,横浜市,東京近郊,231-0062,神奈川県横浜市中区桜木町1丁目101番地1 クロスゲート7階,"JR線「桜木町駅」南改札・東口 徒歩1分
横浜市営地下鉄「桜木町駅」北1口 徒歩1分
みなとみらい線「馬車道駅」1b出口 徒歩3分",045-664-1455,https://entre-salon.com/salon/sakuragicho/,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,09:00,18:00,,,スタッフの常駐は平日9:00～18:00,日祝、年末年始,44名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/19
1085,渋谷アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、4名商談室もあります。",131130,東京都,渋谷区,新宿・渋谷・豊島,150-0044,東京都渋谷区円山町5番5号 Navi渋谷Ⅴ 3階,"マークシティ出口 徒歩2分
京王井の頭線 「神泉駅」徒歩2分
東急田園都市線・東京メトロ半蔵門線「渋谷駅」1番出口 徒歩5分
JR線「渋谷駅」ハチ公口 徒歩8分
東京メトロ銀座線「渋谷駅」中央改札口 徒歩8分",03-3461-3566,https://entre-salon.com/salon/shibuya/,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,09:00,18:00,,,スタッフの常駐は平日9:00～18:00,日祝、年末年始,44名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/19
1083,新宿アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、20名セミナールーム、8名商談室もあります。",131041,東京都,新宿区,新宿・渋谷・豊島,160-0022,東京都新宿区新宿2丁目12番13号 新宿アントレサロンビル 2F,"東京メトロ丸ノ内線・副都心線「新宿三丁目」C8出口 徒歩1分
JR線「新宿駅」徒歩8分
新宿伊勢丹 徒歩4分",03-3351-3022,https://entre-salon.com/salon/shinjuku/,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,18:00,,,スタッフの常駐は平日9:00～18:00,日祝、年末年始,96名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/19
1082,東京アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。",131024,東京都,中央区,千代田・中央・港,103-0027,東京都中央区日本橋3丁目2番14号 新槇町ビル別館第一 1階,"ＪＲ線「東京駅」徒歩３分
東京メトロ銀座線・東西線「日本橋駅」徒歩３分",03-3231-0422,https://entre-salon.com/salon/tokyo/,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,09:00,21:00,,,,,スタッフの常駐は平日9:00～18:00,土日祝、年末年始,73名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/19
1081,銀座アントレサロン,"アントレサロンは、１つ会員契約をすると全てのアントレサロンを利用できるのが特徴です。アントレサロンは、東京・神奈川・埼玉に9拠点13店舗あり、仕事用のフリーデスクと、商談用のオープンラウンジをご用意しています。（銀座アントレサロンは、東銀座に5店舗あります）
フリーデスクは、会員様同士の打ち合わせや電話をしながら仕事ができるエリアと、私語・電話を禁止しているエリアに分かれています。またデスクは、隣の人が気にならない高さの間仕切りがあるデスク、間仕切りのないデスク、カウンターデスクがあり、お好きな時間に、お好きなお席をご利用可能です。 常駐スタッフがいるので、防犯や施設環境維持の上でも安心です。
オープンラウンジは予約不要で無料です。商談や打合せ用のスペースとしての用途の他、飲食を持込み休憩スペースとしてもご利用いただけます。その他、20名セミナールーム、4名商談室もあります。",131024,東京都,中央区,千代田・中央・港,104-0061,東京都中央区銀座7丁目13番5号 NREG銀座ビル1階,"東京メトロ日比谷線、都営浅草線 「東銀座駅」徒歩２分
東京メトロ銀座線「銀座駅」徒歩５分
ＪＲ線、東京メトロ銀座線、都営浅草線「新橋駅」徒歩６分""""
",03-3545-1765,https://entre-salon.com/salon/ginza/,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,07:00,23:00,09:00,20:00,09:00,20:00,スタッフの常駐は平日9:00～21:00、土曜日9:00～18:00,年末年始,200名,"初期費用0円
フリーデスクプラン：お一人様あたり10,455円/月 (税抜9,505円)
個室プラン：1名部屋 55,000円/月 (税抜50,000円)
※法人登記可（プラン料金に含まれています）",共用サテライトオフィス,,要,要,会員証の提示,2021/11/28,2019/12/17
