産業分類階層,大分類,中分類,小分類,分類名,会社企業／総数／企業数（企業）,会社企業／総数／従業者数（人）,会社企業／単一事業所企業／企業数（企業）,会社企業／単一事業所企業／企業従業者数（人）,会社企業／複数事業所企業／企業数（企業）,会社企業／複数事業所企業／企業従業者数（人）,資本金階級／300万円未満／総数／企業数（企業）,資本金階級／300万円未満／総数／企業従業者数（人）,資本金階級／300万円未満／単一事業所企業／企業数（企業）,資本金階級／300万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万円未満／複数事業所企業／企業数（企業）,資本金階級／300万円未満／複数事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／総数／企業数（企業）,資本金階級／300万～500万円未満／総数／企業従業者数（人）,資本金階級／300万～500万円未満／単一事業所企業／企業数（企業）,資本金階級／300万～500万円未満／単一事業所企業／企業従業者数（人）,資本金階級／300万～500万円未満／複数事業所企業／企業数（企業）,資本金階級／300万～500万円未満／複数事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／総数／企業数（企業）,資本金階級／500万～1000万円未満／総数／企業従業者数（人）,資本金階級／500万～1000万円未満／単一事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／500万～1000万円未満／複数事業所企業／企業数（企業）,資本金階級／500万～1000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／総数／企業数（企業）,資本金階級／1000万～3000万円未満／総数／企業従業者数（人）,資本金階級／1000万～3000万円未満／単一事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／1000万～3000万円未満／複数事業所企業／企業数（企業）,資本金階級／1000万～3000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／総数／企業数（企業）,資本金階級／3000万～5000万円未満／総数／企業従業者数（人）,資本金階級／3000万～5000万円未満／単一事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／単一事業所企業／企業従業者数（人）,資本金階級／3000万～5000万円未満／複数事業所企業／企業数（企業）,資本金階級／3000万～5000万円未満／複数事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／総数／企業数（企業）,資本金階級／5000万～1億円未満／総数／企業従業者数（人）,資本金階級／5000万～1億円未満／単一事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／単一事業所企業／企業従業者数（人）,資本金階級／5000万～1億円未満／複数事業所企業／企業数（企業）,資本金階級／5000万～1億円未満／複数事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／総数／企業数（企業）,資本金階級／1億～3億円未満／総数／企業従業者数（人）,資本金階級／1億～3億円未満／単一事業所企業／企業数（企業）,資本金階級／1億～3億円未満／単一事業所企業／企業従業者数（人）,資本金階級／1億～3億円未満／複数事業所企業／企業数（企業）,資本金階級／1億～3億円未満／複数事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／総数／企業数（企業）,資本金階級／3億～10億円未満／総数／企業従業者数（人）,資本金階級／3億～10億円未満／単一事業所企業／企業数（企業）,資本金階級／3億～10億円未満／単一事業所企業／企業従業者数（人）,資本金階級／3億～10億円未満／複数事業所企業／企業数（企業）,資本金階級／3億～10億円未満／複数事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／総数／企業数（企業）,資本金階級／10億～50億円未満／総数／企業従業者数（人）,資本金階級／10億～50億円未満／単一事業所企業／企業数（企業）,資本金階級／10億～50億円未満／単一事業所企業／企業従業者数（人）,資本金階級／10億～50億円未満／複数事業所企業／企業数（企業）,資本金階級／10億～50億円未満／複数事業所企業／企業従業者数（人）,資本金階級／50億円以上／総数／企業数（企業）,資本金階級／50億円以上／総数／企業従業者数（人）,資本金階級／50億円以上／単一事業所企業／企業数（企業）,資本金階級／50億円以上／単一事業所企業／企業従業者数（人）,資本金階級／50億円以上／複数事業所企業／企業数（企業）,資本金階級／50億円以上／複数事業所企業／企業従業者数（人）
2,E,30,000,情報通信機械器具製造業,426,105227,271,3259,155,101968,12,65,11,59,1,6,56,207,52,176,4,31,24,141,22,129,2,12,164,2850,125,1534,39,1316,31,1144,14,336,17,808,54,3534,21,489,33,3045,37,5296,14,406,23,4890,13,3999,1,8,12,3991,7,5698,1,50,6,5648,17,82120,-,-,17,82120
3,E,30,301,通信機械器具・同関連機械器具製造業,151,61057,81,1090,70,59967,4,24,4,24,-,-,9,37,6,21,3,16,5,38,5,38,-,-,54,943,41,601,13,342,15,682,4,77,11,605,31,2597,13,225,18,2372,10,2135,2,51,8,2084,5,2220,1,8,4,2212,3,3138,-,-,3,3138,9,49097,-,-,9,49097
3,E,30,302,映像・音響機械器具製造業,135,4931,101,1333,34,3598,6,35,5,29,1,6,23,80,23,80,-,-,11,58,10,51,1,7,59,977,48,580,11,397,8,209,5,159,3,50,11,462,5,187,6,275,11,2144,3,234,8,1910,3,327,-,-,3,327,1,626,-,-,1,626,-,-,-,-,-,-
3,E,30,303,電子計算機・同附属装置製造業,140,39239,89,836,51,38403,2,6,2,6,-,-,24,90,23,75,1,15,8,45,7,40,1,5,51,930,36,353,15,577,8,253,5,100,3,153,12,475,3,77,9,398,16,1017,9,121,7,896,5,1452,-,-,5,1452,3,1934,1,50,2,1884,8,33023,-,-,8,33023
2,E,31,000,輸送用機械器具製造業,747,169882,499,4410,248,165472,18,150,17,102,1,48,213,1013,195,865,18,148,67,298,61,264,6,34,285,6859,187,2087,98,4772,57,3189,28,894,29,2295,32,3439,4,44,28,3395,19,3858,2,119,17,3739,15,6070,-,-,15,6070,19,13569,-,-,19,13569,16,131401,-,-,16,131401
3,E,31,311,自動車・同附属品製造業,483,148670,302,2695,181,145975,8,97,7,49,1,48,136,654,121,550,15,104,43,196,38,167,5,29,181,4405,115,1253,66,3152,41,2577,18,642,23,1935,23,2684,2,30,21,2654,10,2137,-,-,10,2137,15,6070,-,-,15,6070,10,9073,-,-,10,9073,14,120772,-,-,14,120772
3,E,31,312,鉄道車両・同部分品製造業,84,2760,67,629,17,2131,4,35,4,35,-,-,34,156,33,154,1,2,6,35,6,35,-,-,31,1190,21,342,10,848,4,174,2,52,2,122,1,11,1,11,-,-,3,742,-,-,3,742,-,-,-,-,-,-,1,417,-,-,1,417,-,-,-,-,-,-
3,E,31,313,船舶製造・修理業，舶用機関製造業,51,14249,33,224,18,14025,1,1,1,1,-,-,11,36,11,36,-,-,5,24,5,24,-,-,16,184,11,73,5,111,5,117,3,31,2,86,3,38,-,-,3,38,3,279,1,51,2,228,-,-,-,-,-,-,4,2933,-,-,4,2933,2,10629,-,-,2,10629
3,E,31,314,航空機・同附属品製造業,54,2753,37,483,17,2270,2,7,2,7,-,-,13,90,12,51,1,39,7,23,7,23,-,-,20,659,10,169,10,490,4,164,4,164,-,-,3,639,-,-,3,639,3,700,1,68,2,632,-,-,-,-,-,-,1,470,-,-,1,470,-,-,-,-,-,-
3,E,31,315,産業用運搬車両・同部分品・附属品製造業,20,766,15,92,5,674,-,-,-,-,-,-,9,38,9,38,-,-,2,8,2,8,-,-,6,89,4,46,2,43,2,152,-,-,2,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,479,-,-,1,479,-,-,-,-,-,-
3,E,31,319,その他の輸送用機械器具製造業,55,684,45,287,10,397,3,10,3,10,-,-,10,39,9,36,1,3,4,12,3,7,1,5,31,332,26,204,5,128,1,5,1,5,-,-,2,67,1,3,1,64,-,-,-,-,-,-,-,-,-,-,-,-,2,197,-,-,2,197,-,-,-,-,-,-
2,E,32,000,その他の製造業,2541,59088,2096,13385,445,45703,117,572,111,494,6,78,893,3811,840,3294,53,517,241,1271,219,1081,22,190,991,12745,789,6212,202,6533,84,3581,43,803,41,2778,81,7383,23,674,58,6709,31,4623,7,285,24,4338,15,5375,5,182,10,5193,15,8476,-,-,15,8476,6,10779,-,-,6,10779
3,E,32,321,貴金属・宝石製品製造業,346,5593,304,1548,42,4045,18,66,16,61,2,5,129,454,118,405,11,49,35,174,35,174,-,-,130,954,116,712,14,242,11,224,6,125,5,99,4,76,2,26,2,50,5,1239,1,8,4,1231,2,1415,-,-,2,1415,1,481,-,-,1,481,1,473,-,-,1,473
3,E,32,322,装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）,329,7585,278,1426,51,6159,10,43,10,43,-,-,145,613,139,578,6,35,37,252,32,188,5,64,109,1165,85,517,24,648,7,249,4,56,3,193,7,445,1,14,6,431,4,349,1,3,3,346,1,269,-,-,1,269,1,85,-,-,1,85,1,4085,-,-,1,4085
3,E,32,323,時計・同部分品製造業,33,4451,21,131,12,4320,1,4,1,4,-,-,9,34,9,34,-,-,1,7,1,7,-,-,13,358,8,79,5,279,1,145,-,-,1,145,5,591,1,4,4,587,-,-,-,-,-,-,-,-,-,-,-,-,1,169,-,-,1,169,1,3140,-,-,1,3140
3,E,32,324,楽器製造業,52,1387,36,219,16,1168,2,11,2,11,-,-,19,62,18,60,1,2,4,11,3,7,1,4,20,314,11,118,9,196,3,75,1,19,2,56,1,461,-,-,1,461,1,130,-,-,1,130,-,-,-,-,-,-,-,-,-,-,-,-,1,319,-,-,1,319
3,E,32,325,がん具・運動用具製造業,323,11429,249,1989,74,9440,19,100,18,95,1,5,81,517,75,357,6,160,31,175,26,142,5,33,140,2080,106,1000,34,1080,11,720,5,92,6,628,13,1277,3,34,10,1243,6,749,3,141,3,608,3,832,1,42,2,790,5,3350,-,-,5,3350,1,1542,-,-,1,1542
3,E,32,326,ペン・鉛筆・絵画用品・その他の事務用品製造業,152,7388,121,1147,31,6241,7,30,7,30,-,-,46,307,45,289,1,18,8,40,8,40,-,-,69,1142,55,601,14,541,5,228,3,42,2,186,9,1252,3,145,6,1107,3,834,-,-,3,834,1,868,-,-,1,868,4,2687,-,-,4,2687,-,-,-,-,-,-
3,E,32,327,漆器製造業,9,47,9,47,-,-,-,-,-,-,-,-,3,12,3,12,-,-,1,2,1,2,-,-,4,19,4,19,-,-,-,-,-,-,-,-,1,14,1,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,328,畳等生活雑貨製品製造業,150,1399,121,599,29,800,13,75,13,75,-,-,54,247,51,172,3,75,19,86,17,73,2,13,48,537,33,231,15,306,7,241,2,30,5,211,4,124,1,1,3,123,1,72,-,-,1,72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,E,32,329,他に分類されない製造業,1147,19809,957,6279,190,13530,47,243,44,175,3,68,407,1565,382,1387,25,178,105,524,96,448,9,76,458,6176,371,2935,87,3241,39,1699,22,439,17,1260,37,3143,11,436,26,2707,11,1250,2,133,9,1117,8,1991,4,140,4,1851,3,1704,-,-,3,1704,1,1220,-,-,1,1220
1,F,00,000,電気・ガス・熱供給・水道業,130,57941,66,989,64,56952,2,2,2,2,-,-,2,5,2,5,-,-,4,9,3,8,1,1,13,741,5,40,8,701,9,596,3,189,6,407,11,1070,6,39,5,1031,23,7101,12,177,11,6924,36,1412,19,329,17,1083,7,511,3,43,4,468,13,46358,1,21,12,46337
2,F,33,000,電気業,57,37209,28,447,29,36762,2,2,2,2,-,-,1,2,1,2,-,-,3,4,2,3,1,1,5,31,2,20,3,11,4,47,1,5,3,42,4,50,3,16,1,34,8,459,4,68,4,391,11,397,6,191,5,206,4,366,1,29,3,337,9,35740,-,-,9,35740
3,F,33,331,電気業,57,37209,28,447,29,36762,2,2,2,2,-,-,1,2,1,2,-,-,3,4,2,3,1,1,5,31,2,20,3,11,4,47,1,5,3,42,4,50,3,16,1,34,8,459,4,68,4,391,11,397,6,191,5,206,4,366,1,29,3,337,9,35740,-,-,9,35740
2,F,34,000,ガス業,9,10475,3,166,6,10309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,87,1,74,1,13,1,97,-,-,1,97,3,144,1,76,2,68,2,511,1,16,1,495,-,-,-,-,-,-,1,9636,-,-,1,9636
3,F,34,341,ガス業,9,10475,3,166,6,10309,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,87,1,74,1,13,1,97,-,-,1,97,3,144,1,76,2,68,2,511,1,16,1,495,-,-,-,-,-,-,1,9636,-,-,1,9636
2,F,35,000,熱供給業,35,1427,22,186,13,1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,7,36,6,28,1,8,22,497,12,122,10,375,3,145,2,14,1,131,2,748,1,21,1,727
3,F,35,351,熱供給業,35,1427,22,186,13,1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-,-,7,36,6,28,1,8,22,497,12,122,10,375,3,145,2,14,1,131,2,748,1,21,1,727
2,F,36,000,水道業,29,8830,13,190,16,8640,-,-,-,-,-,-,1,3,1,3,-,-,1,5,1,5,-,-,8,710,3,20,5,690,3,462,1,110,2,352,5,922,2,22,3,900,5,6462,1,5,4,6457,1,7,-,-,1,7,-,-,-,-,-,-,1,234,-,-,1,234
3,F,36,361,上水道業,8,3125,2,6,6,3119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,844,1,1,2,843,3,2040,1,5,2,2035,1,7,-,-,1,7,-,-,-,-,-,-,1,234,-,-,1,234
3,F,36,362,工業用水道業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,F,36,363,下水道業,21,5705,11,184,10,5521,-,-,-,-,-,-,1,3,1,3,-,-,1,5,1,5,-,-,8,710,3,20,5,690,3,462,1,110,2,352,2,78,1,21,1,57,2,4422,-,-,2,4422,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,G,00,000,情報通信業,17018,948666,14190,236218,2828,712448,1211,5664,1139,4877,72,787,2926,14814,2763,12941,163,1873,1220,9638,1115,8102,105,1536,6831,125329,5939,84097,892,41232,1101,55591,803,27451,298,28140,1128,91160,667,27568,461,63592,718,131212,389,30705,329,100507,462,132211,214,18823,248,113388,193,124515,60,6367,133,118148,91,247055,17,5495,74,241560
2,G,37,000,通信業,248,79397,178,4116,70,75281,11,46,11,46,-,-,26,97,23,76,3,21,18,188,14,72,4,116,66,928,55,617,11,311,13,306,10,243,3,63,23,968,18,493,5,475,26,10795,12,221,14,10574,19,1178,10,416,9,762,19,3245,9,1252,10,1993,12,61463,2,529,10,60934
3,G,37,371,固定電気通信業,153,24986,108,3015,45,21971,7,30,7,30,-,-,13,36,12,33,1,3,10,107,7,42,3,65,40,518,32,366,8,152,9,177,8,161,1,16,12,382,9,120,3,262,17,865,9,187,8,678,16,1107,8,386,8,721,14,2736,6,1092,8,1644,7,18959,2,529,5,18430
3,G,37,372,移動電気通信業,14,42638,7,82,7,42556,1,1,1,1,-,-,-,-,-,-,-,-,1,3,1,3,-,-,3,61,2,50,1,11,-,-,-,-,-,-,1,8,1,8,-,-,-,-,-,-,-,-,2,57,1,16,1,41,-,-,-,-,-,-,5,42504,-,-,5,42504
3,G,37,373,電気通信に附帯するサービス業,81,11773,63,1019,18,10754,3,15,3,15,-,-,13,61,11,43,2,18,7,78,6,27,1,51,23,349,21,201,2,148,4,129,2,82,2,47,10,578,8,365,2,213,9,9930,3,34,6,9896,1,14,1,14,-,-,5,509,3,160,2,349,-,-,-,-,-,-
2,G,38,000,放送業,109,24726,74,2307,35,22419,2,73,2,73,-,-,3,12,3,12,-,-,1,1,1,1,-,-,18,919,15,295,3,624,7,632,5,81,2,551,7,800,5,80,2,720,17,2040,12,391,5,1649,13,1760,9,343,4,1417,22,1739,16,877,6,862,17,16742,4,146,13,16596
3,G,38,381,公共放送業（有線放送業を除く）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,G,38,382,民間放送業（有線放送業を除く）,73,10088,49,1305,24,8783,1,3,1,3,-,-,1,1,1,1,-,-,1,1,1,1,-,-,12,851,10,235,2,616,3,109,2,19,1,90,4,49,4,49,-,-,15,1794,10,145,5,1649,10,1656,6,239,4,1417,13,1318,8,459,5,859,11,4298,4,146,7,4152
3,G,38,383,有線放送業,36,14638,25,1002,11,13636,1,70,1,70,-,-,2,11,2,11,-,-,-,-,-,-,-,-,6,68,5,60,1,8,4,523,3,62,1,461,3,751,1,31,2,720,2,246,2,246,-,-,3,104,3,104,-,-,9,421,8,418,1,3,6,12444,-,-,6,12444
2,G,39,000,情報サービス業,8407,603945,6750,137597,1657,466348,564,2812,532,2378,32,434,1155,5813,1099,5232,56,581,583,5173,528,4326,55,847,3453,74639,2949,50275,504,24364,687,37979,487,19185,200,18794,682,62036,385,17517,297,44519,433,85277,219,21708,214,63569,255,96371,84,9306,171,87065,89,87225,16,1856,73,85369,41,141462,4,1351,37,140111
3,G,39,391,ソフトウェア業,6905,538356,5456,113968,1449,424388,473,2451,445,2072,28,379,855,4293,805,3760,50,533,489,4656,442,3892,47,764,2846,60792,2409,42622,437,18170,580,28862,410,15689,170,13173,586,55823,319,15708,267,40115,342,72619,163,17202,179,55417,205,87275,52,6600,153,80675,77,77462,11,1240,66,76222,39,139603,4,1351,35,138252
3,G,39,392,情報処理・提供サービス業,1502,65589,1294,23629,208,41960,91,361,87,306,4,55,300,1520,294,1472,6,48,94,517,86,434,8,83,607,13847,540,7653,67,6194,107,9117,77,3496,30,5621,96,6213,66,1809,30,4404,91,12658,56,4506,35,8152,50,9096,32,2706,18,6390,12,9763,5,616,7,9147,2,1859,-,-,2,1859
2,G,40,000,インターネット附随サービス業,1990,91339,1675,28843,315,62496,216,873,204,798,12,75,294,1429,273,1203,21,226,176,1257,164,1106,12,151,466,9040,396,4569,70,4471,95,5067,72,1621,23,3446,135,6916,87,2407,48,4509,134,12976,82,3836,52,9140,110,14158,78,5507,32,8651,37,14651,13,1716,24,12935,11,21782,6,3432,5,18350
3,G,40,401,インターネット附随サービス業,1990,91339,1675,28843,315,62496,216,873,204,798,12,75,294,1429,273,1203,21,226,176,1257,164,1106,12,151,466,9040,396,4569,70,4471,95,5067,72,1621,23,3446,135,6916,87,2407,48,4509,134,12976,82,3836,52,9140,110,14158,78,5507,32,8651,37,14651,13,1716,24,12935,11,21782,6,3432,5,18350
2,G,41,000,映像・音声・文字情報制作業,6243,148173,5494,63007,749,85166,418,1860,390,1582,28,278,1443,7429,1360,6384,83,1045,439,3002,405,2580,34,422,2818,39747,2515,28292,303,11455,298,11507,228,6221,70,5286,279,19561,171,6923,108,12638,108,20124,64,4549,44,15575,65,18744,33,3251,32,15493,26,17655,6,666,20,16989,10,5606,1,37,9,5569
3,G,41,411,映像情報制作・配給業,1821,41476,1611,22246,210,19230,164,964,150,786,14,178,446,3295,414,2848,32,447,168,1647,150,1309,18,338,674,13004,611,9165,63,3839,68,2980,60,2261,8,719,73,4666,44,1523,29,3143,40,3635,27,2154,13,1481,24,4555,11,768,13,3787,12,3043,3,198,9,2845,6,2368,1,37,5,2331
3,G,41,412,音声情報制作業,348,4517,312,2217,36,2300,28,61,24,48,4,13,99,350,97,337,2,13,30,102,27,85,3,17,129,919,115,749,14,170,10,336,9,229,1,107,12,201,10,138,2,63,6,323,3,27,3,296,6,657,5,511,1,146,3,555,1,1,2,554,2,898,-,-,2,898
3,G,41,413,新聞業,264,25168,170,1670,94,23498,5,22,5,22,-,-,28,129,25,111,3,18,8,31,8,31,-,-,166,2564,113,981,53,1583,15,1143,3,41,12,1102,18,894,8,222,10,672,11,3047,3,174,8,2873,5,6138,1,79,4,6059,4,11191,-,-,4,11191,-,-,-,-,-,-
3,G,41,414,出版業,2110,49610,1869,23465,241,26145,80,289,77,260,3,29,374,1315,363,1235,11,80,108,579,106,563,2,16,1123,14232,1015,10754,108,3478,137,4399,107,2126,30,2273,138,10527,85,3653,53,6874,32,8229,21,1844,11,6385,25,5172,14,1843,11,3329,6,1582,2,467,4,1115,2,2340,-,-,2,2340
3,G,41,415,広告制作業,855,15554,775,5745,80,9809,65,216,63,185,2,31,226,725,212,677,14,48,58,313,54,297,4,16,402,5029,368,3522,34,1507,27,738,20,365,7,373,15,1493,7,124,8,1369,10,4283,4,176,6,4107,4,1119,2,50,2,1069,1,1284,-,-,1,1284,-,-,-,-,-,-
3,G,41,416,映像・音声・文字情報制作に附帯するサービス業,845,11848,757,7664,88,4184,76,308,71,281,5,27,270,1615,249,1176,21,439,67,330,60,295,7,35,324,3999,293,3121,31,878,41,1911,29,1199,12,712,23,1780,17,1263,6,517,9,607,6,174,3,433,1,1103,-,-,1,1103,-,-,-,-,-,-,-,-,-,-,-,-
1,H,00,000,運輸業，郵便業,5094,816874,3274,82784,1820,734090,104,815,98,775,6,40,864,9101,787,7086,77,2015,530,9512,449,6291,81,3221,2277,118319,1534,47184,743,71135,373,39796,162,10860,211,28936,409,100471,111,6049,298,94422,213,62437,29,2901,184,59536,113,49800,15,417,98,49383,67,54757,6,343,61,54414,40,369490,2,260,38,369230
2,H,42,000,鉄道業,19,99508,1,2,18,99506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,50,-,-,2,50,-,-,-,-,-,-,1,1,-,-,1,1,5,453,1,2,4,451,-,-,-,-,-,-,1,349,-,-,1,349,10,98655,-,-,10,98655
3,H,42,421,鉄道業,19,99508,1,2,18,99506,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,50,-,-,2,50,-,-,-,-,-,-,1,1,-,-,1,1,5,453,1,2,4,451,-,-,-,-,-,-,1,349,-,-,1,349,10,98655,-,-,10,98655
2,H,43,000,道路旅客運送業,545,87802,392,37558,153,50244,22,280,22,280,-,-,51,1161,45,749,6,412,43,2251,35,1432,8,819,267,39103,208,23524,59,15579,70,12550,47,7189,23,5361,55,13618,26,3933,29,9685,15,6069,2,259,13,5810,6,4776,2,118,4,4658,5,5404,1,58,4,5346,1,1332,-,-,1,1332
3,H,43,431,一般乗合旅客自動車運送業,32,15822,8,776,24,15046,-,-,-,-,-,-,2,4,2,4,-,-,1,242,-,-,1,242,3,185,1,79,2,106,3,860,1,393,2,467,9,1706,3,298,6,1408,5,2324,-,-,5,2324,4,3823,1,2,3,3821,4,5346,-,-,4,5346,1,1332,-,-,1,1332
3,H,43,432,一般乗用旅客自動車運送業,380,66824,288,35429,92,31395,20,271,20,271,-,-,34,1027,31,641,3,386,22,1806,17,1261,5,545,198,36735,157,22723,41,14012,54,11385,39,6672,15,4713,35,11204,19,3493,16,7711,6,2192,1,243,5,1949,2,953,1,116,1,837,-,-,-,-,-,-,-,-,-,-,-,-
3,H,43,433,一般貸切旅客自動車運送業,115,4314,79,1067,36,3247,1,7,1,7,-,-,14,129,11,103,3,26,15,157,13,125,2,32,56,1946,40,485,16,1461,13,305,7,124,6,181,11,708,4,142,7,566,3,997,1,16,2,981,-,-,-,-,-,-,1,58,1,58,-,-,-,-,-,-,-,-
3,H,43,439,その他の道路旅客運送業,18,842,17,286,1,556,1,2,1,2,-,-,1,1,1,1,-,-,5,46,5,46,-,-,10,237,10,237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,556,-,-,1,556,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,44,000,道路貨物運送業,3046,415931,2065,31997,981,383934,54,357,50,332,4,25,646,6595,597,5489,49,1106,402,6063,340,4201,62,1862,1445,53537,940,18061,505,35476,175,15794,54,2320,121,13474,162,34853,29,1007,133,33846,62,26943,7,128,55,26815,25,28943,-,-,25,28943,14,15438,-,-,14,15438,6,226685,-,-,6,226685
3,H,44,441,一般貨物自動車運送業,2655,387552,1754,28632,901,358920,30,201,26,176,4,25,499,5429,458,4436,41,993,355,5430,299,3921,56,1509,1337,50562,853,16566,484,33996,166,15332,49,2057,117,13275,143,29558,26,988,117,28570,48,21089,4,80,44,21009,19,23898,-,-,19,23898,7,9846,-,-,7,9846,5,225535,-,-,5,225535
3,H,44,442,特定貨物自動車運送業,126,10280,108,1806,18,8474,3,73,3,73,-,-,43,460,42,451,1,9,13,156,12,115,1,41,54,1511,45,1079,9,432,3,75,2,69,1,6,5,3900,2,2,3,3898,3,283,1,11,2,272,1,3816,-,-,1,3816,-,-,-,-,-,-,-,-,-,-,-,-
3,H,44,443,貨物軽自動車運送業,206,2701,182,1217,24,1484,21,83,21,83,-,-,98,662,92,560,6,102,29,254,25,118,4,136,42,1061,34,347,8,714,1,22,1,22,-,-,5,353,1,17,4,336,2,180,1,31,1,149,-,-,-,-,-,-,1,47,-,-,1,47,-,-,-,-,-,-
3,H,44,444,集配利用運送業,52,15166,14,110,38,15056,-,-,-,-,-,-,4,18,3,16,1,2,3,202,2,26,1,176,10,384,6,50,4,334,4,199,1,6,3,193,9,1042,-,-,9,1042,9,5391,1,6,8,5385,5,1229,-,-,5,1229,6,5545,-,-,6,5545,1,1150,-,-,1,1150
3,H,44,449,その他の道路貨物運送業,7,232,7,232,-,-,-,-,-,-,-,-,2,26,2,26,-,-,2,21,2,21,-,-,2,19,2,19,-,-,1,166,1,166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,45,000,水運業,227,11942,152,2585,75,9357,4,19,4,19,-,-,13,75,12,66,1,9,9,111,8,64,1,47,74,982,64,696,10,286,30,704,22,476,8,228,30,934,17,325,13,609,18,911,7,203,11,708,21,1679,6,215,15,1464,16,3379,4,209,12,3170,5,3091,1,255,4,2836
3,H,45,451,外航海運業,86,6012,51,1193,35,4819,-,-,-,-,-,-,1,4,1,4,-,-,2,11,2,11,-,-,28,364,22,199,6,165,8,122,5,37,3,85,16,592,7,204,9,388,6,466,3,173,3,293,9,494,4,81,5,413,9,848,4,209,5,639,5,3091,1,255,4,2836
3,H,45,452,沿海海運業,74,4670,40,600,34,4070,-,-,-,-,-,-,2,13,1,4,1,9,1,17,1,17,-,-,22,238,19,136,3,102,13,316,9,217,4,99,10,228,7,94,3,134,7,152,1,8,6,144,11,1165,1,114,10,1051,7,2531,-,-,7,2531,-,-,-,-,-,-
3,H,45,453,内陸水運業,34,617,31,315,3,302,3,17,3,17,-,-,8,53,8,53,-,-,6,83,5,36,1,47,11,140,11,140,-,-,2,59,2,59,-,-,1,87,-,-,1,87,1,168,-,-,1,168,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,H,45,454,船舶貸渡業,33,643,30,477,3,166,1,2,1,2,-,-,2,5,2,5,-,-,-,-,-,-,-,-,13,240,12,221,1,19,7,207,6,163,1,44,3,27,3,27,-,-,4,125,3,22,1,103,1,20,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,H,46,000,航空運輸業,31,38449,9,79,22,38370,-,-,-,-,-,-,-,-,-,-,-,-,2,44,1,9,1,35,4,339,2,17,2,322,3,27,3,27,-,-,6,1483,1,3,5,1480,6,1116,-,-,6,1116,2,693,1,19,1,674,3,2531,-,-,3,2531,3,32173,-,-,3,32173
3,H,46,461,航空運送業,24,37874,7,67,17,37807,-,-,-,-,-,-,-,-,-,-,-,-,2,44,1,9,1,35,4,339,2,17,2,322,1,15,1,15,-,-,4,1294,1,3,3,1291,3,742,-,-,3,742,2,693,1,19,1,674,3,2531,-,-,3,2531,3,32173,-,-,3,32173
