"市区町村コード","番号","都道府県名","市区町村名","営業所名称","営業の種類","業態","営業所所在地","営業所方書","営業所電話番号","許可番号","初回許可年月日","許可日","許可開始日","許可満了日","最終確認日","経度","緯度","分類"
"","","","","","ライフ中野新井店","⑪ 菓子製造業","新井三丁目８番１２号","","3386-3371","4中健衛食第436号","令和4年10月12日","令和4年10月12日","令和4年10月12日","令和11年10月31日","","139.664939418588","35.7153931580595","食品等営業許可_届出一覧"
"","","","","","ライフコーポレーション中野新井店","【～Ｒ３．５】喫茶店営業（自動販売機）","新井三丁目８番１２号","","03-3386-3371","2中健衛食第312号","平成22年6月2日","令和2年6月19日","令和2年7月1日","令和7年6月30日","","139.664939418588","35.7153931580595","食品等営業許可_届出一覧"
"","","","","","Ｌａ　Ｂｌａｎｃｈｅ　Ｈｅｒｍｉｎｅ","飲食店営業［一般飲食店］","新井三丁目１１番１号","","03-3387-7855","3中健衛食第911号","令和3年7月13日","令和3年7月13日","令和3年7月13日","令和9年7月31日","","139.664035467345","35.7142794417483","食品等営業許可_届出一覧"
"","","","","","Ｌａ　Ｂｌａｎｃｈｅ　Ｈｅｒｍｉｎｅ","⑪ 菓子製造業","新井三丁目１１番１号","","03-3387-7855","3中健衛食第912号","令和3年7月13日","令和3年7月13日","令和3年7月13日","令和9年7月31日","","139.664035467345","35.7142794417483","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野新井三丁目店","⑩ コンビニエンスストア","新井三丁目１７番１０号","","03-5318-3570","3中健衛食第428号","","","","","","139.663062793428","35.7137926062212","食品等営業許可_届出一覧"
"","","","","","ファミリーマート中野新井三丁目店","飲食店営業［一般飲食店］","新井三丁目１７番１０号","","03-5318-3570","3中健衛食第817号","令和3年7月13日","令和3年7月13日","令和3年7月13日","令和10年7月31日","","139.663062793428","35.7137926062212","食品等営業許可_届出一覧"
"","","","","","イワヲ・コーヒー","⑯ コーヒー製造・加工業（飲料の製造を除く。）","新井三丁目２３番５号","ルミエール中野２０１","","4中健衛食第834号","","","","","","139.661145675965","35.7138439931898","食品等営業許可_届出一覧"
"","","","","","中野区立平和の森小学校内給食室","【～Ｒ３．５】飲食店営業（集団給食・病院）","新井三丁目２９番１号","","03-3387-6670","3中健衛食第156号","令和3年5月13日","令和3年5月13日","令和3年5月13日","令和10年5月31日","","139.65978563979","35.7148932760754","食品等営業許可_届出一覧"
"","","","","","キッズフォレ平和の森","? 集団給食施設","新井三丁目３５番２０号","","03-6454-0771","3中健衛食第1229号","","","","","","139.660515468559","35.7157479663507","食品等営業許可_届出一覧"
"","","","","","モリノナカノカフェ","【～Ｒ３．５】飲食店営業（一般・その他）","新井三丁目３７番７８号","中野区立総合体育館","03-5860-0024","2中健衛食第654号","令和2年9月23日","令和2年9月23日","令和2年9月23日","令和9年9月30日","","139.662941481091","35.7157521445502","食品等営業許可_届出一覧"
"","","","","","モリノナカノカフェ","飲食店営業［一般飲食店］","新井三丁目３７番７８号","","","4中健衛食第157号","令和5年3月31日","令和5年3月31日","令和5年3月31日","令和12年3月31日","","139.662941481091","35.7157521445502","食品等営業許可_届出一覧"
"","","","","","ａｌｇｏｒｉｔｈｍ","⑪ 菓子製造業","新井四丁目１番３号","Ｒｙｏｃｏｈ　Ｒｅｓｉｄｅｎｃｅ　１Ｆ","","5中健衛食第22号","令和5年6月6日","令和5年6月6日","令和5年6月6日","令和12年6月30日","","139.666027444463","35.7146395654329","食品等営業許可_届出一覧"
"","","","","","ポーコ　ァ　ポーコ","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","新井四丁目３番５号","嘉夢井　１階","3386-2670","2中健衛食第909号","平成11年12月3日","令和2年12月7日","令和3年1月1日","令和9年12月31日","","139.664811896595","35.7161196696667","食品等営業許可_届出一覧"
"","","","","","東京飲料株式会社","【～Ｒ３．５】清涼飲料水製造業","新井四丁目８番７号","","3386-4819","2中健衛食第119号","平成11年6月1日","令和2年5月12日","令和2年6月1日","令和9年5月31日","","139.666107472345","35.7168112386705","食品等営業許可_届出一覧"
"","","","","","有限会社　鴻巣酢店","⑱ 調味料製造・加工業","新井四丁目９番１号","","3386-6883","3中健衛食第325号","","","","","","139.667059514294","35.7166133623137","食品等営業許可_届出一覧"
"","","","","","大沢青果店","⑦ 野菜果物販売業","新井四丁目９番５号","","03-3386-4531","3中健衛食第1031号","","","","","","139.666754286595","35.7166980148829","食品等営業許可_届出一覧"
"","","","","","ラジュール東京","【～Ｒ３．５】そうざい製造業","新井四丁目９番６号","第２さかえビル１Ｆ","03-6913-9239","2中健衛食第826号","令和2年11月13日","令和2年11月13日","令和2年11月13日","令和9年11月30日","","139.666755760977","35.716786592438","食品等営業許可_届出一覧"
"","","","","","ラジュール東京","飲食店営業［一般飲食店］","新井四丁目９番６号","第２さかえビル１Ｆ","03-6913-9239","3中健衛食第1405号","令和3年11月1日","令和3年11月1日","令和3年11月1日","令和10年10月31日","","139.666755760977","35.716786592438","食品等営業許可_届出一覧"
"","","","","","ラジュール東京バーベナズキッチン","⑥ 弁当販売業","新井四丁目９番６号","102","03-6913-9239","3中健衛食第969号","","","","","","139.666755760977","35.716786592438","食品等営業許可_届出一覧"
"","","","","","ミールケア　中野りとるぱんぷきんず　事業所","飲食店営業［集団給食］","新井四丁目１０番１０号","","","3中健衛食第1987号","令和4年3月22日","令和4年3月22日","令和4年3月22日","令和11年3月31日","","139.667081415076","35.7164451825439","食品等営業許可_届出一覧"
"","","","","","新井　文化庵","【～Ｒ３．５】飲食店営業（そば）","新井四丁目１７番４号","１階","3386-5215","28中環生食第951号","平成15年3月28日","平成29年3月9日","平成29年4月1日","令和6年3月31日","","139.667383333252","35.7166242912286","食品等営業許可_届出一覧"
"","","","","","どもあもく","【～Ｒ３．５】飲食店営業（一般・その他）","新井四丁目１８番１１号","ガーデンアイランド　１階","03-3387-0233","30中環生食第557号","平成23年10月19日","平成30年10月19日","平成30年11月1日","令和7年10月31日","","139.668174797355","35.716577157585","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００中野新井四丁目店","【～Ｒ３．５】飲食店営業（一般・ファーストフード）","新井四丁目１８番１６号","ナカムラビル１階","03-5345-7199","29中環生食第1175号","平成30年3月14日","平成30年3月14日","平成30年3月14日","令和7年3月31日","","139.668269213449","35.7163490108756","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００中野新井四丁目店","⑩ コンビニエンスストア","新井四丁目１８番１６号","ナカムラビル１階","03-5345-7199","3中健衛食第472号","","","","","","139.668269213449","35.7163490108756","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００　中野新井四丁目店","⑩ コンビニエンスストア","新井四丁目１８番１６号","ナカムラビル１階","03-5345-7199","4中健衛食第773号","","","","","","139.668269213449","35.7163490108756","食品等営業許可_届出一覧"
"","","","","","ローソンストア１００　中野新井四丁目店","飲食店営業［一般飲食店］","新井四丁目１８番１６号","ナカムラビル１階","03-5345-7199","4中健衛食第815号","令和5年3月27日","令和5年3月27日","令和5年3月27日","令和12年3月31日","","139.668269213449","35.7163490108756","食品等営業許可_届出一覧"
"","","","","","３６７１中野","飲食店営業［集団給食］","新井四丁目１９番２６号","中野区立令和小学校内","03-3389-1461","3中健衛食第2034号","令和4年4月6日","令和4年4月6日","令和4年4月6日","令和11年4月30日","","139.66839058403","35.7175254855848","食品等営業許可_届出一覧"
"","","","","","寿屋豆腐店","【～Ｒ３．５】豆腐製造業","新井四丁目２０番２号","","3386-7896","29中環生食第832号","昭和40年11月9日","平成29年11月16日","平成29年12月1日","令和5年11月30日","","139.66744831197","35.7170041719508","食品等営業許可_届出一覧"
"","","","","","バーティゴ　Ｖｅｒｔｉｇｏ","【～Ｒ３．５】飲食店営業（バー・キャバレー）","新井四丁目２１番３号","一番館マンション　１０１","3389-0347","31中健衛食第330号","平成17年8月24日","令和1年8月23日","令和1年9月1日","令和8年8月31日","","139.666767484633","35.7169959214895","食品等営業許可_届出一覧"
"","","","","","子ごころ園沼袋","? 集団給食施設","新井四丁目３２番２２号","コスモフルール１階","03-6454-0137","4中健衛食第536号","","","","","","139.664057675907","35.7181621610248","食品等営業許可_届出一覧"
"","","","","","じゅん天","【～Ｒ３．５】飲食店営業（弁当）","新井五丁目１番１号","","03-6326-8194","29中環生食第1180号","平成30年2月27日","平成30年2月27日","平成30年2月27日","令和6年2月29日","","139.668485883281","35.7136373461939","食品等営業許可_届出一覧"
"","","","","","ドミノ・ピザ新井薬師店","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目１番２号","","","30中環生食第927号","平成31年2月22日","平成31年2月22日","平成31年2月22日","令和8年2月28日","","139.668410946382","35.7135312841631","食品等営業許可_届出一覧"
"","","","","","ドミノ・ピザ新井薬師店","【～Ｒ３．５】菓子製造業（その他・その他）","新井五丁目１番２号","","","30中環生食第937号","平成31年2月22日","平成31年2月22日","平成31年2月22日","令和8年2月28日","","139.668410946382","35.7135312841631","食品等営業許可_届出一覧"
"","","","","","ｃｈａｒｃｏａｌｋｉｔｃｈｅｎ　町の洋食屋さん【正幸】","飲食店営業［一般飲食店］","新井五丁目１番２号","ｃｈａｒｃｏａｌｈｏｕｓｅ２階","03-5318-9797","4中健衛食第456号","令和4年10月19日","令和4年10月19日","令和4年10月19日","令和11年10月31日","","139.668410946382","35.7135312841631","食品等営業許可_届出一覧"
"","","","","","スギドラッグ　新井薬師店","⑪ 百貨店、総合スーパー","新井五丁目１番３号","パステル中野　１階","353457011","3中健衛食第859号","","","","","","139.668020879959","35.7134945291206","食品等営業許可_届出一覧"
"","","","","","よろづ　高ばやし","【～Ｒ３．５】飲食店営業（一般・日本料理）","新井五丁目１番７号","","03-3386-1010","30中環生食第244号","平成30年6月19日","平成30年6月19日","平成30年6月19日","令和6年6月30日","","139.667949406734","35.713585182601","食品等営業許可_届出一覧"
"","","","","","じょっぱり卓味","飲食店営業［一般飲食店］","新井五丁目２番３号","１階","3389-5144","4中健衛食第366号","令和4年9月14日","令和4年9月14日","令和4年9月14日","令和10年9月30日","","139.667996980718","35.7132926375957","食品等営業許可_届出一覧"
"","","","","","ＦＡＮ１ＦＯＯＤ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目２番３号","","","2中健衛食第1021号","令和3年1月8日","令和3年1月8日","令和3年1月8日","令和10年1月31日","","139.667996980718","35.7132926375957","食品等営業許可_届出一覧"
"","","","","","パティスリー　レザネフォール","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目５番１０号","","03-3386-8633","31中健衛食第792号","令和2年1月30日","令和2年1月30日","令和2年1月30日","令和9年1月31日","","139.667947687987","35.7154932514083","食品等営業許可_届出一覧"
"","","","","","パティスリー　レザネフォール","【～Ｒ３．５】菓子製造業（生菓子・洋生）","新井五丁目５番１０号","","03-3386-8633","31中健衛食第793号","令和2年1月30日","令和2年1月30日","令和2年1月30日","令和9年1月31日","","139.667947687987","35.7154932514083","食品等営業許可_届出一覧"
"","","","","","パティスリー　レザネフォール","【～Ｒ３．５】アイスクリーム類製造業","新井五丁目５番１０号","","03-3386-8633","31中健衛食第794号","令和2年1月30日","令和2年1月30日","令和2年1月30日","令和9年1月31日","","139.667947687987","35.7154932514083","食品等営業許可_届出一覧"
"","","","","","カタリナ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目５番１３号","光マンション　１０２","03-5318-5622","2中健衛食第310号","平成25年5月1日","令和2年6月12日","令和2年5月1日","令和9年4月30日","","139.668137895829","35.7157105787942","食品等営業許可_届出一覧"
"","","","","","梅たん","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目５番１５号","パレドール中野　１階　店舗３号","03-5942-8154","31中健衛食第992号","平成25年4月1日","令和2年3月30日","令和2年4月1日","令和9年3月31日","","139.668377993304","35.7158538990491","食品等営業許可_届出一覧"
"","","","","","奄美ふくらしゃ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目５番１５号","パレ・ドール中野１Ｆ","03-5942-7155","28中環生食第681号","平成28年12月22日","平成28年12月22日","平成28年12月22日","令和5年12月31日","","139.668377993304","35.7158538990491","食品等営業許可_届出一覧"
"","","","","","奄美ふくらしゃ","【～Ｒ３．５】菓子製造業（その他・その他）","新井五丁目５番１５号","パレ・ドール中野１Ｆ","03-5942-7155","31中健衛食第466号","令和1年10月1日","令和1年10月1日","令和1年10月1日","令和8年9月30日","","139.668377993304","35.7158538990491","食品等営業許可_届出一覧"
"","","","","","鳥源","【～Ｒ３．５】飲食店営業（食肉そうざい）","新井五丁目８番２号","","03-3386-2725","31中健衛食第911号","令和2年3月24日","令和2年3月24日","令和2年3月24日","令和8年3月31日","","139.668790603347","35.7137939719286","食品等営業許可_届出一覧"
"","","","","","鳥源","【～Ｒ３．５】食肉販売業（一般・畜肉）","新井五丁目８番２号","","03-3386-2725","31中健衛食第912号","令和2年3月24日","令和2年3月24日","令和2年3月24日","令和8年3月31日","","139.668790603347","35.7137939719286","食品等営業許可_届出一覧"
"","","","","","アプランドル","【～Ｒ３．５】菓子製造業（パン製造業）","新井五丁目８番１１号","グレースアイビー　地下１階","03-5942-6179","29中環生食第581号","平成29年8月25日","平成29年8月25日","平成29年8月25日","令和6年8月31日","","139.668999191418","35.7139401024809","食品等営業許可_届出一覧"
"","","","","","アプランドル","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目８番１１号","グレースアイビー　地下１階","03-5942-6179","31中健衛食第692号","平成24年12月5日","令和1年12月18日","令和2年1月1日","令和8年12月31日","","139.668999191418","35.7139401024809","食品等営業許可_届出一覧"
"","","","","","フランスおでん　フラ屋","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目９番１号","","03-5942-7087","31中健衛食第744号","令和2年1月7日","令和2年1月7日","令和2年1月7日","令和8年1月31日","","139.669271270308","35.7141158146869","食品等営業許可_届出一覧"
"","","","","","倉敷らーめん　升家　新井薬師前店","【～Ｒ３．５】飲食店営業（一般・中華料理）","新井五丁目９番８号","","3387-3003","29中環生食第912号","平成29年12月12日","平成29年12月12日","平成29年12月12日","令和5年12月31日","","139.669335817115","35.714169086178","食品等営業許可_届出一覧"
"","","","","","蒼星の天馬","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目１０番１号","第２富士ビル　２階","03-5343-6363","2中健衛食第135号","平成25年5月27日","令和2年5月26日","令和2年6月1日","令和9年5月31日","","139.669783898013","35.7144840982472","食品等営業許可_届出一覧"
"","","","","","プラム","【～Ｒ３．５】飲食店営業（バー・キャバレー）","新井五丁目１０番１号","第２富士ビル１Ｆ","","28中環生食第526号","平成28年11月4日","平成28年11月4日","平成28年11月4日","令和5年11月30日","","139.669783898013","35.7144840982472","食品等営業許可_届出一覧"
"","","","","","ＮＯＡ　ＲＵＫＡ","【～Ｒ３．５】飲食店営業（一般・スナック）","新井五丁目１０番１号","第二富士ビル３Ｆ","","2中健衛食第1069号","令和3年1月21日","令和3年1月21日","令和3年1月21日","令和10年1月31日","","139.669783898013","35.7144840982472","食品等営業許可_届出一覧"
"","","","","","ＢＡＲ　ＺＡＴＴＡ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目１０番２号","第３富士ビル　地下１階","3387-4300","2中健衛食第1302号","平成19年3月3日","令和3年3月31日","令和3年4月1日","令和10年3月31日","","139.669683437174","35.7144275245488","食品等営業許可_届出一覧"
"","","","","","ジャイヴ","【～Ｒ３．５】飲食店営業（一般・スナック）","新井五丁目１０番２号","第三富士ビル　地下１階Ｂ","03-3388-5014","29中環生食第1303号","平成23年3月3日","平成30年3月30日","平成30年4月1日","令和7年3月31日","","139.669683437174","35.7144275245488","食品等営業許可_届出一覧"
"","","","","","梦幻","飲食店営業［一般飲食店］","新井五丁目１０番２号","第３富士ビル２階Ｂ","","3中健衛食第1900号","令和4年2月24日","令和4年2月24日","令和4年2月24日","令和11年2月28日","","139.669683437174","35.7144275245488","食品等営業許可_届出一覧"
"","","","","","岩ちゃん","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目１０番２号","柴田ビル１Ｆ","","28中環生食第307号","平成28年7月28日","平成28年7月28日","平成28年7月28日","令和5年7月31日","","139.669683437174","35.7144275245488","食品等営業許可_届出一覧"
"","","","","","ショコラ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目１０番２号","第三富士ビル２階２Ａ階号室","","28中環生食第1023号","平成29年3月28日","平成29年3月28日","平成29年3月28日","令和6年3月31日","","139.669683437174","35.7144275245488","食品等営業許可_届出一覧"
"","","","","","アニメバー　ノヴァ　新井薬師前店","飲食店営業［一般飲食店］","新井五丁目１０番２号","第三富士ビルＢ１階Ｂ号","","4中健衛食第336号","令和4年8月22日","令和4年8月22日","令和4年8月22日","令和11年8月31日","","139.669683437174","35.7144275245488","食品等営業許可_届出一覧"
"","","","","","ＫＡＺＡＭＩＤＯＲＩ","【～Ｒ３．５】飲食店営業（調理パン）","新井五丁目１２番１号","","3319-0141","30中環生食第332号","平成5年7月19日","平成30年7月9日","平成30年8月1日","令和7年7月31日","","139.669823627432","35.7147845020755","食品等営業許可_届出一覧"
"","","","","","ＫＡＺＡＭＩＤＯＲＩ","【～Ｒ３．５】菓子製造業（パン製造業）","新井五丁目１２番１号","","3319-0141","30中環生食第333号","平成5年7月19日","平成30年7月9日","平成30年8月1日","令和7年7月31日","","139.669823627432","35.7147845020755","食品等営業許可_届出一覧"
"","","","","","ＫＡＺＡＭＩＤＯＲＩ","③ 乳類販売業","新井五丁目１２番１号","","3319-0141","3中健衛食第860号","","","","","","139.669823627432","35.7147845020755","食品等営業許可_届出一覧"
"","","","","","ＢＡＲ　Ｅｃｌａｔ","飲食店営業［一般飲食店］","新井五丁目１６番１号","北島ビル２Ｆ","03-5942-7224","4中健衛食第230号","令和4年7月4日","令和4年7月4日","令和4年7月4日","令和11年7月31日","","139.67009797772","35.7149325143351","食品等営業許可_届出一覧"
"","","","","","株式会社　西島畜産本店","【～Ｒ３．５】飲食店営業（食肉そうざい）","新井五丁目１６番２号","","3385-0298","29中環生食第38号","平成3年4月16日","平成29年4月14日","平成29年5月1日","令和6年4月30日","","139.670022958366","35.7148652288602","食品等営業許可_届出一覧"
"","","","","","株式会社　西島畜産本店","【～Ｒ３．５】食肉販売業（一般・畜肉）","新井五丁目１６番２号","","3385-0298","29中環生食第39号","平成3年4月16日","平成29年4月14日","平成29年5月1日","令和6年4月30日","","139.670022958366","35.7148652288602","食品等営業許可_届出一覧"
"","","","","","株式会社　西島畜産本店","⑬ その他の食料・飲料販売業","新井五丁目１６番２号","","3385-0298","3中健衛食第861号","","","","","","139.670022958366","35.7148652288602","食品等営業許可_届出一覧"
"","","","","","新越泉","③ 乳類販売業","新井五丁目１７番２号","","3386-4917","3中健衛食第862号","","","","","","139.670099422958","35.7153090783405","食品等営業許可_届出一覧"
"","","","","","小学館アカデミー　あらいやくし保育園","? 集団給食施設","新井五丁目１７番２号","新越泉ビル　２階","03-5318-0385","3中健衛食第1111号","","","","","","139.670099422958","35.7153090783405","食品等営業許可_届出一覧"
"","","","","","スギドラッグ新井薬師駅前店","⑪ 百貨店、総合スーパー","新井五丁目１７番１２号","新井薬師ビル１階","03-5942-8320","3中健衛食第863号","","","","","","139.670509437967","35.7153239514862","食品等営業許可_届出一覧"
"","","","","","エニタイムフィットネス　新井薬師店","【～Ｒ３．５】喫茶店営業（自動販売機）","新井五丁目１７番１２号","新井薬師ビル２Ｆ","03-5860-0361","2中健衛食第562号","令和2年8月20日","令和2年8月20日","令和2年8月20日","令和7年8月31日","","139.670509437967","35.7153239514862","食品等営業許可_届出一覧"
"","","","","","Ｇｒｅｅｎ　Ｇｒｅｅｎ","【～Ｒ３．５】飲食店営業（一般・日本料理）","新井五丁目２０番６号","セントラル新井薬師１０１","03-3388-8700","2中健衛食第861号","令和2年11月18日","令和2年11月18日","令和2年11月18日","令和9年11月30日","","139.66864645105","35.7161808428597","食品等営業許可_届出一覧"
"","","","","","なんでも酒やカクヤス新井薬師店","⑬ その他の食料・飲料販売業","新井五丁目２０番８号","","5345-7581","3中健衛食第1053号","","","","","","139.6688023428","35.716425844989","食品等営業許可_届出一覧"
"","","","","","鳥テル","飲食店営業［一般飲食店］","新井五丁目２３番６号","富士ビル１０１","","4中健衛食第570号","令和4年12月12日","令和4年12月12日","令和4年12月12日","令和11年12月31日","","139.670493781192","35.7159596056484","食品等営業許可_届出一覧"
"","","","","","有限会社　亀屋商店","【～Ｒ３．５】菓子製造業（生菓子・和生）","新井五丁目２５番５号","","3386-2229","2中健衛食第696号","平成14年10月15日","令和2年10月12日","令和2年11月1日","令和8年10月31日","","139.670726726703","35.715543407857","食品等営業許可_届出一覧"
"","","","","","エートライブ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目２６番１号","天野ビル　２階２０１号","","29中環生食第670号","平成22年9月30日","平成29年9月28日","平成29年10月1日","令和6年9月30日","","139.67081534956","35.7157161550254","食品等営業許可_届出一覧"
"","","","","","リコス　新井５丁目店","⑪ 百貨店、総合スーパー","新井五丁目２６番１号","","3387-5299","3中健衛食第812号","","","","","","139.67081534956","35.7157161550254","食品等営業許可_届出一覧"
"","","","","","江戸や鮨八","【～Ｒ３．５】飲食店営業（すし屋）","新井五丁目２６番７号","","3386-8777","28中環生食第439号","平成14年9月25日","平成28年9月26日","平成28年10月1日","令和5年9月30日","","139.670917528115","35.7157443058509","食品等営業許可_届出一覧"
"","","","","","福しん　新井薬師店","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目２６番７号","","03-3389-0741","31中健衛食第970号","令和2年4月3日","令和2年4月3日","令和2年4月3日","令和9年4月30日","","139.670917528115","35.7157443058509","食品等営業許可_届出一覧"
"","","","","","福しん　新井薬師店","② 食肉販売業（包装済みの食肉のみの販売）","新井五丁目２６番７号","","03-3389-0741","3中健衛食第864号","","","","","","139.670917528115","35.7157443058509","食品等営業許可_届出一覧"
"","","","","","九州亭","【～Ｒ３．５】飲食店営業（一般・大衆酒場）","新井五丁目２７番１号","アールウェイ　１階","5380-1099","29中環生食第871号","平成15年12月8日","平成29年12月7日","平成30年1月1日","令和5年12月31日","","139.671174036272","35.7159732552818","食品等営業許可_届出一覧"
"","","","","","珈琲専門店　蜜蜂","【～Ｒ３．５】飲食店営業（一般・軽食喫茶）","新井五丁目２７番２号","","3387-9950","29中環生食第1247号","昭和56年3月30日","平成30年3月22日","平成30年4月1日","令和7年3月31日","","139.671063986101","35.7160116880022","食品等営業許可_届出一覧"
"","","","","","ＣＯＦＦＥＥ　ＳＨＯＰ　ＭＯＮ","【～Ｒ３．５】飲食店営業（一般・その他）","新井五丁目２７番５号","","03-5380-0871","30中環生食第939号","平成31年3月4日","平成31年3月4日","平成31年3月4日","令和8年3月31日","","139.671063986101","35.7160116880022","食品等営業許可_届出一覧"
"","","","","","オフィスグリコ冷凍冷蔵庫１０３２７２","⑬ その他の食料・飲料販売業","新井五丁目２９番１号","","","3中健衛食第1368号","","","","","","139.671289778412","35.7161266582454","食品等営業許可_届出一覧"
"","","","","","菓子屋　ＫＩＣＨＯ","【～Ｒ３．５】菓子製造業（その他・その他）","新井五丁目３２番１６号","","","29中環生食第587号","平成29年9月1日","平成29年9月1日","平成29年9月1日","令和6年8月31日","","139.669705119869","35.7165334822935","食品等営業許可_届出一覧"
"","","","","","ＦＡＳＴＧＹＭ２４　沼袋","⑫ 自動販売機による販売業（コップ式自動販売機（自動洗浄・屋内設置）及び営業許可の対象となる自動販売機を除く）","沼袋一丁目７番７号","１～３階","03-5318-5331","3中健衛食第1184号","","","","","","139.663632371119","35.7190997804125","食品等営業許可_届出一覧"
"","","","","","浅野寿司","飲食店営業［一般飲食店］","沼袋一丁目８番２１号","","3386-0378","3中健衛食第956号","令和3年7月15日","令和3年7月15日","令和3年7月15日","令和9年7月31日","","139.664056123929","35.7191605631506","食品等営業許可_届出一覧"
"","","","","","韓国料理ディポリ","【～Ｒ３．５】飲食店営業（一般・その他）","沼袋一丁目８番２２号","ヤマニビル２Ｆ","","29中環生食第369号","平成29年7月5日","平成29年7月5日","平成29年7月5日","令和6年7月31日","","139.663767470074","35.7192417608352","食品等営業許可_届出一覧"
"","","","","","株式会社　阿波屋","⑬ その他の食料・飲料販売業","沼袋一丁目９番５号","","3387-7376","3中健衛食第1706号","","","","","","139.665443797855","35.7186441913994","食品等営業許可_届出一覧"
"","","","","","チャームスイート新井薬師　さくらの森","③ 乳類販売業","沼袋一丁目１５番１１号","","03-5318-5220","3中健衛食第752号","","","","","","139.668183345057","35.718602138095","食品等営業許可_届出一覧"
"","","","","","チャームスイート新井薬師　さくらの森","【～Ｒ３．５】飲食店営業（集団給食・病院）","沼袋一丁目１５番１１号","","03-5318-5220","31中健衛食第770号","令和2年1月23日","令和2年1月23日","令和2年1月23日","令和9年1月31日","","139.668183345057","35.718602138095","食品等営業許可_届出一覧"
"","","","","","チキン・フジ","食肉処理業［一般］","沼袋一丁目１９番１９号","２階","5380-6369","4中健衛食第542号","令和4年12月15日","令和4年12月15日","令和4年12月15日","令和11年12月31日","","139.668982815813","35.7197827997726","食品等営業許可_届出一覧"
"","","","","","和処　とも江","【～Ｒ３．５】飲食店営業（すし屋）","沼袋一丁目２１番８号","","3228-1031","29中環生食第305号","平成10年6月11日","平成29年6月29日","平成29年7月1日","令和6年6月30日","","139.668030716896","35.7210660120948","食品等営業許可_届出一覧"
"","","","","","川口精米店","⑳ 精穀・製粉業","沼袋一丁目２８番１４号","","03-3386-5560","3中健衛食第1635号","","","","","","139.66792898003","35.7205523551394","食品等営業許可_届出一覧"
"","","","","","チャームスイート新井薬師　さくらの森　弐番館","【～Ｒ３．５】飲食店営業（集団給食・病院）","沼袋一丁目３０番２１号","","03-5318-7077","31中健衛食第771号","令和2年1月23日","令和2年1月23日","令和2年1月23日","令和9年1月31日","","139.667728518179","35.71913814774","食品等営業許可_届出一覧"
"","","","","","大陸","【～Ｒ３．５】飲食店営業（一般・中華料理）","沼袋一丁目３１番９号","","03-3388-2080","30中環生食第789号","平成23年12月6日","平成30年12月20日","平成31年1月1日","令和7年12月31日","","139.665761777463","35.7193387349616","食品等営業許可_届出一覧"
"","","","","","とびみけ堂","【～Ｒ３．５】飲食店営業（一般・その他）","沼袋一丁目３１番９号","","","29中環生食第537号","平成29年9月5日","平成29年9月5日","平成29年9月5日","令和5年9月30日","","139.665761777463","35.7193387349616","食品等営業許可_届出一覧"
"","","","","","とびみけ堂","【～Ｒ３．５】菓子製造業（その他・その他）","沼袋一丁目３１番９号","","","31中健衛食第727号","令和1年12月27日","令和1年12月27日","令和1年12月27日","令和7年12月31日","","139.665761777463","35.7193387349616","食品等営業許可_届出一覧"
"","","","","","キッチン　ｆｉｅｌｄｆｏｌｋ　大地","【～Ｒ３．５】飲食店営業（一般・その他）","沼袋一丁目３１番１１号","","03-5380-1319","29中環生食第403号","平成17年6月13日","平成29年7月5日","平成29年7月1日","令和5年6月30日","","139.665610094965","35.7194615589217","食品等営業許可_届出一覧"
"","","","","","キッチン　ｆｉｅｌｄｆｏｌｋ　大地","飲食店営業［一般飲食店］","沼袋一丁目３１番１１号","","03-5380-1319","5中健衛食第159号","令和5年6月22日","令和5年6月22日","令和5年6月22日","令和11年6月30日","","139.665610094965","35.7194615589217","食品等営業許可_届出一覧"
"","","","","","Ｍａｒｖｅｌｏｕｓ！５００","【～Ｒ３．５】飲食店営業（一般・その他）","沼袋一丁目３４番１号","東側","","28中環生食第650号","平成28年11月18日","平成28年11月18日","平成28年11月18日","令和5年11月30日","","139.663838512919","35.7196214070635","食品等営業許可_届出一覧"
