施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業の種類,施設電話番号,届出日,営業者電話番号,代表者氏名
株式会社ヤギヤ,東京都立川市曙町２丁目３２番１４号,,株式会社ヤギヤ,東京都立川市曙町２丁目３２番１４号,乳類販売業(ショーケース売り),042-522-2400,2001/6/1,042-522-2400,平野　善則
ローソン立川曙町店,東京都立川市曙町２丁目３４番１３号,,有限会社　ふじや,東京都昭島市昭和町２丁目３番７号クレスト近江ビル６０２号室,コンビニエンスストア,042-527-3856,2021/11/24,042-545-2976,藤川　晃
東京都認証保育園すくすくワールド,東京都立川市曙町２丁目３４番６号,小杉ビル５階,株式会社ジーエフ,東京都立川市曙町２丁目３４番６号,集団給食施設(児童福祉施設Ⅰ),,2021/11/22,,
セブンイレブン立川曙町店,東京都立川市曙町２丁目３４番７号,,,,コンビニエンスストア,042-521-3219,2024/4/17,,
?pice　舞,東京都立川市曙町２丁目３４番７号,,,,弁当販売業(自動車以外),042-506-0234,2024/7/26,,
2022年度　まち・こころ・花めかそう！秋ステージ,東京都立川市曙町２丁目３８番５号,立川ビジネスセンタービル,株式会社Sthank,東京都中野区野方６丁目１０番８号,弁当販売業(自動車以外),,2022/11/1,,
株式会社パソナ,東京都立川市曙町２丁目３８番５号,立川ビジネスセンタービル3F,日清食品株式会社,大阪府大阪市淀川区西中島四丁目１番１号,その他の食料・飲料販売業(電子申請（未区分）),,2024/6/10,,
カフェ・ド・クリエ　立川?島屋店,東京都立川市曙町２丁目３９番３号,立川?島屋6F,C－Uｎｉｔｅｄ株式会社,東京都港区芝大門二丁目１０番１２号,その他の食料・飲料販売業(電子申請（未区分）),,2021/6/21,,
オーケー立川?島屋Ｓ．Ｃ．店,東京都立川市曙町２丁目３９番３号,Ｂ１Ｆ,オーケー株式会社,神奈川県横浜市西区みなとみらい６丁目３番６号,百貨店、総合スーパー,042-518-9056,2023/11/8,045-263-6062,二宮　涼太郎
ＡＫＯＭＥＹＡ　ＴＯＫＹＯ,東京都立川市曙町２丁目３９番３号,立川?島屋S.C.２階,株式会社ＡＫＯＭＥＹＡ　ＴＯＫＹＯ,東京都渋谷区千駄ヶ谷二丁目１１番１号,米穀類販売業,0425193335,2021/10/22,,
ゴールドジム立川東京,東京都立川市曙町２丁目３９番３号,立川高島屋７階,株式会社THINKフィットネス,東京都江東区南砂３丁目３番６号,弁当販売業(自動車以外),,2021/9/27,,
立川・鼎泰豊,東京都立川市曙町２丁目３９番３号,立川?島屋９階ガーデンテーブルズ,株式会社アール・ティー・コーポレーション,東京都中央区日本橋２丁目４番１号,その他の食料・飲料販売業(電子申請（未区分）),0425481610,2021/11/30,,
はま寿司立川?島屋Ｓ．Ｃ．店,東京都立川市曙町２丁目３９番３号,立川?島屋Ｓ．Ｃ．１階,株式会社はま寿司,東京都港区港南２丁目１８番１号,その他の食料・飲料販売業(店舗),042-540-6856,2023/12/14,03-6833-8032,町野　岳
宗家 源 吉兆庵　立川高島屋店,東京都立川市曙町２丁目３９番３号,高島屋立川店　B１F,株式会社宗家源吉兆庵,東京都中央区銀座六丁目９番８号,その他の食料・飲料販売業(店舗),042-526-9693,2021/11/11,,
中華旬彩料理　東方紅,東京都立川市曙町２丁目３９番３号,立川?島屋S．C　B１,株式会社東方紅,神奈川県川崎市中原区小杉町二丁目２７６番地１ザガーデンイーストタワー１階,その他の食料・飲料販売業(店舗),,2023/11/7,,梁　楽耀
Ｈｏｍｅ　Ｋｉｔｃｈｅｎ　ちょいす,東京都立川市曙町２丁目３９番３号,?島屋前道路上,合同会社ＯｎｅＳｅｌＦ,東京都三鷹市下連雀３丁目３３番８号,弁当販売業(自動車以外),,2023/3/1,,佐藤　祐輔
シャトレーゼ立川高島屋ショッピングセンターセンター店,東京都立川市曙町２丁目３９番３号,,有限会社Ｓｍｉｌｅ　Ｍａｋｅｒ,東京都あきる野市雨間６９８番,その他の食料・飲料販売業(店舗),,2023/11/7,042-518-7353,渡邊　成吾
肉のハナマサ　立川店,東京都立川市曙町２丁目３番２号,高柳ビル1階,株式会社花正,東京都港区芝浦三丁目15番9号ジャパンミート芝浦ビル3階,百貨店、総合スーパー,042-523-8703,2021/11/4,03-6453-6880,冨澤　夏樹
損保ジャパン立川ビル売店,東京都立川市曙町２丁目４１番１９号,損保ジャパン立川ビル７階,ユニバース開発株式会社,東京都文京区本郷２丁目１０番９号,その他の食料・飲料販売業(電子申請（未区分）),,2021/11/30,,
メガロス立川店　北館９F,東京都立川市曙町２丁目４２番１号,パークアベニュー９F,サントリービバレッジソリューション株式会社,東京都新宿区西新宿８丁目１７番１号,その他の食料・飲料販売業(店舗),042-540-3535,2024/5/2,042-560-8881,及川　剛
ジョナサン 立川北口店,東京都立川市曙町２丁目４２番１号,パークアベニュー１Ｆ,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(店舗),042-540-7275,2021/11/5,,
バーミヤン 立川駅北口店,東京都立川市曙町２丁目４２番２３号,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-521-7308,2021/10/26,,
MITA　COFFEE,東京都立川市曙町２丁目４２番２３号,1009,,,コーヒー製造・加工業（飲料の製造を除く。）,,2022/2/22,,
セブンイレブン　立川曙町２丁目店,東京都立川市曙町２丁目４２番２３号,ＵＲアーバンライフ１Ｆ,,,コンビニエンスストア,042-521-2253,2021/6/4,,
KJ FOODS MARKET,東京都立川市曙町２丁目４番,多摩都市モノレール立川北駅構内,株式会社KJネクストグループ,埼玉県入間市東藤沢２丁目１５番５号,その他の食料・飲料販売業(電子申請（未区分）),05055270327,2024/7/1,,
セブンイレブン立川北駅店,東京都立川市曙町２丁目４番,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-526-5177,2021/6/1,,
セブンイレブン立川北駅店,東京都立川市曙町２丁目４番,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-526-5177,2021/6/1,,
セブンイレブン立川北駅店,東京都立川市曙町２丁目４番,,,,乳類販売業(ショーケース売り),042-526-5177,2021/6/1,,
セブン－イレブン　立川北駅改札前,東京都立川市曙町２丁目４番,,,,コンビニエンスストア,,2021/7/14,,
サイゼリヤ立川駅北口店,東京都立川市曙町２丁目４番５号,ＮＩＳ立川駅前ビル5Ｆ,株式会社サイゼリヤ,埼玉県吉川市旭2番地5,その他の食料・飲料販売業(包装),042-528-8772,2022/4/26,,
株式会社　ＮＡＴＴＹ,東京都立川市曙町２丁目５番１７号,イノタケビル９０３,株式会社　ＮＡＴＴＹ,東京都立川市砂川町８丁目４２番地の７,その他の食料品製造・加工業(食料品製造・加工),,2023/1/25,042-521-6588,名島　浩子
エクセルシオール カフェ,東京都立川市曙町２丁目５番１７号,イノタケビル ３，４F,株式会社ドトールコーヒー,東京都渋谷区神南１丁目１０番１号,その他の食料・飲料販売業(店舗),042-540-9150,2021/11/26,03-5459-9008,星野　正則
ファミリーマート立川曙町店,東京都立川市曙町２丁目５番１７号,,,,コンビニエンスストア,,2022/9/9,,
８Ｆ　仙台牛たん　みやぎ,東京都立川市曙町２丁目５番１号,伊勢丹立川店　８Ｆ,株式会社三越伊勢丹,東京都新宿区新宿３丁目１４番１号,食肉販売業（包装済みの食肉のみの販売）(一般),042-525-1111,2001/6/1,03-3352-1111,細谷　敏幸
株式会社　ＪＴＢ　トラベルゲート立川,東京都立川市曙町２丁目５番１号,,株式会社　ＪＴＢ,東京都品川区東品川,野菜果物販売業(自動車以外),,2021/6/4,,山北　栄二郎
伊勢丹立川店,東京都立川市曙町２丁目５番１号,,株式会社三越伊勢丹,東京都新宿区新宿３丁目１４番１号,百貨店、総合スーパー,042-525-1111,2021/7/9,03-3352-1111,細谷　敏幸
クリムト,東京都立川市曙町２丁目５番１号,２階,株式会社美和ギャラリー,東京都立川市曙町２丁目５番１号,その他の食料・飲料販売業(店舗),042-526-3030,2022/4/27,042-526-3030,岩崎 泰英
WABIO　サンプリング,東京都立川市曙町２丁目６番,,有限会社ツーボックス,東京都中央区入船3丁目1番5号SKM GINZAEAST Bldg.3F,その他の食料・飲料販売業(包装),,2023/12/25,,
セブン―イレブン　立川ピタゴラス通り店,東京都立川市曙町２丁目６番８号,,,,コンビニエンスストア,042-524-5871,2022/1/5,,
レストラン サヴィニ,東京都立川市曙町２丁目７番１０号,井上ビル２Ｆ３Ｆ,有限会社　サヴィニ,東京都立川市曙町２丁目７番１０号,調味料製造・加工業,042-525-1662,2023/9/11,042-525-5595,関沢　邦雄
ウェルパーク立川北口大通り店,東京都立川市曙町２丁目７番１７号,,株式会社ウェルパーク,東京都立川市栄町6丁目1番地の1,その他の食料・飲料販売業(店舗),042-508-3037,2021/8/2,,
勝手にサワー　白木屋　立川北口駅前店,東京都立川市曙町２丁目７番２０号,MAビルディング　2階,株式会社モンテローザフーズ,東京都新宿区歌舞伎町１丁目２１番１号,その他の食料・飲料販売業(店舗),042-525-7688,2022/2/25,0422-36-8888,大神　輝博
ファミリーマート立川北口大通り店,東京都立川市曙町２丁目７番２０号,,,,コンビニエンスストア,042-506-1742,2024/2/29,,
TukTukNTTデータサテライトオフィス立川店,東京都立川市曙町２丁目８番１８号,TukTukNTTデータサテライトオフィス立川 オフィス内,株式会社Relic,東京都渋谷区恵比寿４丁目２０番３号恵比寿ガーデンプレイスタワー１９階,弁当販売業(自動車以外),03-6455-0735,2023/3/30,,
ｍｅ：ｒｉｓｅ　ＴＡＣＨＩＫＡＷＡ,東京都立川市曙町２丁目８番２８号,,株式会社キープ・ウィルダイニング,東京都町田市原町田６丁目９番８号４Ｆ,弁当販売業(自動車以外),042-512-5502,2023/6/20,042-851-8461,保志　真人
有限会社　三上鰹節店,東京都立川市曙町２丁目８番３０号,,有限会社三上鰹節店,東京都立川市曙町２丁目８番３０号,その他の食料・飲料販売業(店舗),042-522-3259,2022/1/11,042-522-3259,三上　康子
叙々苑　立川シネマシティ店,東京都立川市曙町２丁目８番５号,シネマシティビル１０階,株式会社叙々苑,東京都港区西麻布３丁目２４番１８号,その他の食料・飲料販売業(店舗),042-540-3389,2021/6/8,03-3423-2646,新井　昌平
乃が美　はなれ　立川店,東京都立川市曙町２丁目９番４号,野口ビル１F,株式会社Grand　bois,大阪府大阪市中央区北浜1丁目1番28号9階,その他の食料・飲料販売業(店舗),042-512-5135,2021/7/19,06-7777-1323,佐々木　亮
TOKYO OKUTAMA FACTORY,東京都立川市曙町２丁目付近,サンサンロード,,,その他の食料・飲料販売業(電子申請（未区分）),,2024/3/13,,
あからはじまる洋菓子店,東京都立川市曙町２丁目付近,サンサンロード,,,その他の食料・飲料販売業(電子申請（未区分）),,2024/3/15,,
シュガープラネット,東京都立川市曙町2付近　サンサンロード,,株式会社シュガープラネット,東京都立川市若葉町1-17-1,その他の食料・飲料販売業(電子申請（未区分）),0425054398,2024/3/14,,
愛光あけぼの保育園,東京都立川市曙町３丁目１７番２２号,,社会福祉法人　愛光学舎,東京都立川市曙町３丁目２４番２２号,集団給食施設(児童福祉施設Ⅱ),042-548-8721,2021/6/3,042-522-4947,佐野　吉伸
ａｌａｔａ,東京都立川市曙町３丁目２２番５号,グリーンライフ曙１０１,Ｕｎｏ合同会社,東京都練馬区春日町１丁目７番２０号,その他の食料・飲料販売業(店舗),,2024/7/8,,宇野　林之
社会福祉法人　愛光学舎　愛光保育園,東京都立川市曙町３丁目２４番２２号,,社会福祉法人　愛光学舎,東京都立川市曙町３丁目２４番２２号,集団給食施設(児童福祉施設Ⅱ),042-522-4947,2021/10/4,042-522-4947,佐野　猛生
ＳＵＮＦＩＯＲＩ,東京都立川市曙町３丁目４７番１９号,,,,その他の食料品製造・加工業(食料品製造・加工),,2022/3/4,,
株式会社　渡辺製麺,東京都立川市曙町３丁目４番１９号,,株式会社渡辺製麺,東京都立川市曙町３丁目４番１９号,精穀・製粉業,042-525-5523,2021/10/27,042-525-5523,渡辺　謙一
セブンイレブン立川曙町３丁目店,東京都立川市曙町３丁目７番１５号,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-523-0721,2021/6/1,,
セブンイレブン立川曙町３丁目店,東京都立川市曙町３丁目７番１５号,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-523-0721,2021/6/1,,
セブンイレブン立川曙町３丁目店,東京都立川市曙町３丁目７番１５号,,,,乳類販売業(ショーケース売り),042-523-0721,2021/6/1,,
てんや　立川店,東京都立川市曙町二丁目5番18号,東財ビル１，２階,ロイヤルフードサービス株式会社,東京都世田谷区桜新町１丁目３４番６号,その他の食料・飲料販売業(店舗),0425401741,2021/11/29,,
立川市立上砂保育園,東京都立川市上砂町１丁目１３番地の１,,立川市,東京都立川市泉町１１５６番地９,集団給食施設(児童福祉施設Ⅱ),042-536-2670,2021/10/28,042-523-2111,酒井　大史
特別養護老人ホーム敬愛ホーム,東京都立川市上砂町２丁目１４番地の１,,社会福祉法人敬愛会,東京都立川市幸町４丁目５２番地の１,集団給食施設(社会福祉施設Ⅰ),,2023/4/25,042-537-5637,青木　澄雄
あおば第二保育園,東京都立川市上砂町２丁目４０番地の５,,社会福祉法人　敬愛会,東京都立川市幸町４丁目５２番地の１,集団給食施設(児童福祉施設Ⅱ),0425373325,2021/11/30,,
ガスト 砂川三番店,東京都立川市上砂町２丁目４５番地の４,,株式会社すかいらーくレストランツ,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-538-7161,2021/11/16,,
有限会社 梅田酒店,東京都立川市上砂町３丁目１１番地の９,,有限会社梅田酒店,東京都立川市上砂町３丁目１１番地の９,その他の食料・飲料販売業(店舗),042-536-2321,2023/5/11,042-536-2321,梅田　安勇
良旭中華物産,東京都立川市上砂町３丁目２番地の１,,株式会社良旭,東京都八王子市小宮町３４３番地１,その他の食料・飲料販売業(店舗),,2022/9/21,,カクケンホウ
カフェ　しきさい屋,東京都立川市上砂町３丁目２番地の３,,,,コーヒー製造・加工業（飲料の製造を除く。）,,2024/1/19,,
ジャム工房　和,東京都立川市上砂町３丁目３８番地の３,メゾン中島１０１,,,調味料製造・加工業,.090-7017-7875,2023/10/12,,
セブン－イレブン　立川上砂町３丁目店,東京都立川市上砂町３丁目５３番地の２２,,,,コンビニエンスストア,042-537-2208,2021/6/4,,
ファミリーマート立川上砂町店,東京都立川市上砂町３丁目５８番地の４,,株式会社ファミリーマート,東京都港区芝浦三丁目１番２１号,コンビニエンスストア,042-538-0058,2022/1/18,03-6436-7600,細見　研介
柏木商事株式会社  立川営業所,東京都立川市上砂町４丁目３６番地の１,,柏木商事株式会社,東京都豊島区千早４丁目２４番１号,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-535-5491,2001/6/1,03-5970-0008,下平　正美
柏木商事株式会社  立川営業所,東京都立川市上砂町４丁目３６番地の１,,柏木商事株式会社,東京都豊島区千早４丁目２４番１号,食肉販売業（包装済みの食肉のみの販売）(一般),042-535-5491,2001/6/1,03-5970-0008,下平　正美
柏木商事株式会社  立川営業所,東京都立川市上砂町４丁目３６番地の１,,柏木商事株式会社,東京都豊島区千早４丁目２４番１号,乳類販売業(ショーケース売り),042-535-5491,2001/6/1,03-5970-0008,下平　正美
いしかわファーム立川加工所,東京都立川市上砂町４丁目３７番地の８,,,,その他の食料品製造・加工業(食料品製造・加工),,2023/11/1,,
Ｙショップ 上砂町店,東京都立川市上砂町４丁目４０番地の１,,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-536-2824,2021/6/1,,
Ｙショップ 上砂町店,東京都立川市上砂町４丁目４０番地の１,,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-536-2824,2021/6/1,,
Ｙショップ 上砂町店,東京都立川市上砂町４丁目４０番地の１,,,,乳類販売業(ショーケース売り),042-536-2824,2021/6/1,,
保育室スマイルエッグス,東京都立川市上砂町４丁目５２番地の１,,学校法人みんなのひろば,東京都立川市上砂町２丁目７番地の１,集団給食施設(学校・幼稚園Ⅱ),042-538-7666,2021/6/22,042-536-4413,加藤　積一
ファミリーマート　立川上砂町五丁目店,東京都立川市上砂町５丁目１番地の８,,,,コンビニエンスストア,042-538-7452,2021/10/15,,
株式会社　マルエツ武蔵砂川店,東京都立川市上砂町５丁目４３番地の１,,株式会社マルエツ,東京都豊島区東池袋５丁目５１番１２号,百貨店、総合スーパー,042-535-6781,2021/11/4,,
セブンイレブン立川武蔵砂川駅前店,東京都立川市上砂町５丁目４８番地の２,,,,コンビニエンスストア,042-536-7002,2022/2/14,,
ＢＢＱ太郎　東京多摩店,東京都立川市上砂町５丁目７１番地の１１,レインボー上砂Ａ　1階,,,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-537-9145,2021/6/1,,
ＢＢＱ太郎　東京多摩店,東京都立川市上砂町５丁目７１番地の１１,レインボー上砂Ａ　1階,,,食肉販売業（包装済みの食肉のみの販売）(一般),042-537-9145,2021/6/1,,
特別養護老人ホーム砂川園,東京都立川市上砂町５丁目７６番地の４,,社会福祉法人桜栄会,東京都立川市上砂町５丁目７６番地の４,集団給食施設(社会福祉施設Ⅱ),042-537-3351,2021/11/19,042-537-3351,加藤　美代子
サニーライフ立川,東京都立川市上砂町５丁目７９番地の２３,,株式会社川島コーポレーション,千葉県君津市東猪原２４８番地２,集団給食施設(社会福祉施設Ⅱ),042-537-3600,2023/3/22,0439-37-3600,川島　輝雄
エクラシア立川上砂,東京都立川市上砂町５丁目７９番地の４,,株式会社ウェルオフ西部,埼玉県さいたま市南区根岸１丁目３番９号ツネビル１階,集団給食施設(社会福祉施設Ⅱ),05068616857,2023/3/8,,
ファミリーマート西武立川駅南口店,東京都立川市西砂町１丁目２２番地の３１,,MIC株式会社,東京都新宿区西新宿５丁目１４番３号,コンビニエンスストア,042-520-2660,2021/10/13,03-3372-2431,河合　克也
伊藤養鶏場,東京都立川市西砂町１丁目６７番地の７,,,,卵選別包装業,042-531-6587,2021/11/16,,
業餃業立川西砂町店,東京都立川市西砂町１丁目８０番地の８,プレミール１階,株式会社バントウ,大阪府東大阪市小若江３丁目２１番６号,その他の食料・飲料販売業(電子申請（未区分）),06-4307-5688,2023/4/18,,
ローソン立川西砂町二丁目店,東京都立川市西砂町２丁目４８番地の２,,有限会社ほていや商店,東京都立川市西砂町２丁目４８番地の２,コンビニエンスストア,042-560-0641,2021/11/24,042-560-0641,指田　喜典
セブン‐イレブン　立川西砂町2丁目店,東京都立川市西砂町２丁目６０番地の３,,,,コンビニエンスストア,042-531-8411,2021/6/4,,
社会福祉法人　高峰福祉会　西砂保育園,東京都立川市西砂町２丁目６３番地の２,,社会福祉法人　高峰福祉会,東京都福生市加美平３丁目３７番地１３,集団給食施設(児童福祉施設Ⅱ),042-531-0514,2021/9/10,042-552-1036,津島　知津子
Unwind　Cafe,東京都立川市西砂町３丁目１５番地の２３,,合同会社サンライツ,東京都立川市西砂町３丁目１５番地の２３,コーヒー製造・加工業（飲料の製造を除く。）,042-531-6636,2023/12/21,042-531-6636,畦　達也
Yショップ　西砂食品店,東京都立川市西砂町４丁目２番地の２,,,,コンビニエンスストア,042-531-2558,2022/1/17,,
４　ｃｏｌｏｒｓ　ｃｏｆｆｅｅ,東京都立川市西砂町５丁目２６番地の４１,,,,コーヒー製造・加工業（飲料の製造を除く。）,,2021/8/13,,
ファミリーマート　立川西砂町店,東京都立川市西砂町５丁目３４番地の１０,,株式会社東京ロジテック,東京都西多摩郡瑞穂町大字箱根ケ崎字武蔵野８５８番１,コンビニエンスストア,042-520-7035,2021/11/2,042-556-6671,反町　仲道
平井農縁,東京都立川市西砂町５丁目４番地の１,,,,その他の食料品製造・加工業(食料品製造・加工),0425313930,2021/12/7,,
株式会社　名給 立川営業所,東京都立川市西砂町５丁目４番地の３,,株式会社名給,愛知県名古屋市熱田区新尾頭２丁目２番６１号,乳類販売業(ショーケース売り),042-520-2321,2001/6/1,052-681-7137,青木 基博
株式会社名給 立川営業所,東京都立川市西砂町５丁目４番地の３,,株式会社名給,愛知県名古屋市熱田区新尾頭２丁目２番６１号,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-520-2321,2001/6/1,052-681-7137,青木 基博
株式会社名給 立川営業所,東京都立川市西砂町５丁目４番地の３,,株式会社名給,愛知県名古屋市熱田区新尾頭２丁目２番６１号,食肉販売業（包装済みの食肉のみの販売）(一般),042-520-2321,2001/6/1,052-681-7137,青木 基博
わんわん保育園,東京都立川市西砂町６丁目１２番地の４,,有限会社エーワン,東京都立川市西砂町６丁目１２番地４,集団給食施設(児童福祉施設Ⅱ),0425200041,2021/11/30,,
ケアパートナー　立川,東京都立川市西砂町６丁目１７番地の１４,,ケアパートナー株式会社,東京都港区港南２丁目１６番１号品川イーストワンタワー２１階,集団給食施設(社会福祉施設Ⅰ),042-520-7071,2022/9/6,,?山　尚弥
永泰通商合同会社,東京都立川市西砂町６丁目５６番地の１,,永泰通商合同会社,東京都立川市西砂町六丁目５６番地の１,その他の食料・飲料販売業(店舗),042-506-8569,2022/7/19,042-506-8569,矢野　晴征
KJ FOODS MARKET,東京都立川市泉町１０７８番地の９２,桜街道駅構内,株式会社KJネクストグループ,埼玉県入間市東藤沢２丁目１５番５号,その他の食料・飲料販売業(電子申請（未区分）),05055270327,2023/12/12,,
多摩モノレール　上北台駅,東京都立川市泉町１０７８番地の９２,,京王観光株式会社,東京都多摩市関戸２丁目７３番地３さくらゲート3階,その他の食料・飲料販売業(包装),042-526-7819,2023/11/8,042-375-7211,竹内　健
エームサービス立川拘置所売店,東京都立川市泉町１１５６番地の１１,,エームサービス株式会社,東京都港区赤坂二丁目２３番１号,その他の食料・飲料販売業(店舗),,2021/8/20,03-3502-2136,小谷　周
立川拘置所,東京都立川市泉町１１５６番地の１１,,立川拘置所,東京都立川市泉町１１５６番地の１１,集団給食施設(その他の給食Ⅲ),042-540-4441,2021/11/9,042-540-4441,緒方　栄策
ハローランチ立川市役所店,東京都立川市泉町１１５６番地の９,,有限会社レグホン,東京都武蔵村山市伊奈平２丁目２３番地の１,弁当販売業(自動車以外),,2021/9/30,042-520-2200,松井　伴寛
セブン‐イレブン　立川市役所店,東京都立川市泉町１１５６番地の９,,,,コンビニエンスストア,042-527-2279,2022/1/11,,
アリーナ立川立飛,東京都立川市泉町５００番４,アリーナ立川立飛,株式会社多摩スポーツクラブ,東京都立川市泉町５００番４アリーナ立川立飛,その他の食料・飲料販売業(店舗),042-512-8177,2023/4/3,042-512-8177,原　宏樹
ドミノピザアリーナ立川立飛店,東京都立川市泉町500番地４,アリーナ立川立飛,株式会社jin-6,埼玉県越谷市蒲生茜町11-5　スカーラ101,その他の食料・飲料販売業(電子申請（未区分）),042-538-1311,2024/2/28,,
アリーナ立川立飛　TANPAC筋肉食堂,東京都立川市泉町５００番地の４,,ＴＡＮＰＡＣ株式会社,東京都港区六本木７丁目８番５号,弁当販売業(自動車以外),042-512-8177,2023/8/9,,
アースフレンズＢＭ,東京都立川市泉町５００番地の４,アリーナ立川立飛,株式会社ＧＷＣ,東京都大田区南蒲田２丁目４番１４号,その他の食料・飲料販売業(店舗),042-512-8177,2022/7/8,03-6892-4343,山野勝行
アリーナ立川立飛,東京都立川市泉町５００番地の４,,株式会社いなげや,東京都立川市栄町６丁目１番地の１,弁当販売業(自動車以外),042-548-1215,2022/10/27,,
アリーナ立川立飛内　株式会社　京王百貨店,東京都立川市泉町５００番地の４,アリーナ立川立飛,株式会社グレートベアーズ,東京都渋谷区広尾一丁目１番３９号恵比寿プライムスクエアタワー１１F,弁当販売業(自動車以外),042-512-8177,2024/2/1,03-5774-8893,久保田　健司
ピザーラ,東京都立川市泉町５００番地の４,アリーナ立川立飛,株式会社フォーシーズ,東京都港区南青山５丁目１２番４号,その他の食料・飲料販売業(電子申請（未区分）),,2023/9/6,,
丸政,東京都立川市泉町５００番地の４,,株式会社丸政,山梨県北杜市小淵沢町９９６番地,弁当販売業(自動車以外),0551-36-2521,2024/7/30,0551-36-2521,名取　政義
アリーナ立川立飛,東京都立川市泉町５００番地の４,,合同会社ProCureD.,東京都中央区八丁堀３丁目２８－１３篠原ビル２０１号,その他の食料・飲料販売業(店舗),,2024/8/30,03-4531-6685,中島　喜弘
さしみ居酒屋　海進丸,東京都立川市泉町５００番地の４,アリーナ立川立飛１F,,,その他の食料・飲料販売業(店舗),042-523-2335,2024/5/13,,
西通りプリン（立飛）,東京都立川市泉町935,多摩都市モノレール立飛駅,株式会社西原商会,鹿児島県鹿児島市与次郎１丁目１０番２１号,その他の食料・飲料販売業(包装),,2024/3/27,,
和泉家吉之助,東京都立川市泉町935-1,ららぽーと立川立飛,株式会社イーモーション,東京都江東区有明１丁目４番１１－１３３２号,弁当販売業(自動車以外),0120-141-238,2022/1/28,,
TACHIHI BEACH,東京都立川市泉町９３５番地,,ソトイク株式会社,東京都千代田区神田駿河台３丁目１番地８,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-512-8719,2001/6/1,03-5577-7181,清水　國明
TACHIHI BEACH,東京都立川市泉町９３５番地,,ソトイク株式会社,東京都千代田区神田駿河台３丁目１番地８,食肉販売業（包装済みの食肉のみの販売）(一般),042-512-8719,2001/6/1,03-5577-7181,清水　國明
ＴＡＣＨＩＨＩ　ＢＥＡＣＨ,東京都立川市泉町９３５番地,,有限会社義栄フーズ,東京都東村山市栄町３丁目６番地２３,弁当販売業(自動車以外),042-512-8719,2024/4/23,042-397-3262,及川　貴志
株式会社　ヒューテックノオリン　,東京都立川市泉町９３５番地の１,２２１―Ａ,株式会社　ヒューテックノオリン,東京都新宿区若松町３３番８号,その他(冷凍冷蔵倉庫業),042-527-5337,2001/6/1,03-5291-8100,安喰　徹
株式会社日本アクセス東京西支店,東京都立川市泉町９３５番地の１,２３２号棟,株式会社日本アクセス,東京都品川区西品川一丁目1番1号,魚介類販売業（包装済みの魚介類のみの販売）(一般),042-529-5510,2001/6/1,03-5435-5800,服部　真也
株式会社日本アクセス東京西支店,東京都立川市泉町９３５番地の１,２３２号棟,株式会社日本アクセス,東京都品川区西品川一丁目1番1号,食肉販売業（包装済みの食肉のみの販売）(一般),042-529-5510,2001/6/1,03-5435-5800,服部　真也
株式会社日本アクセス東京西支店,東京都立川市泉町９３５番地の１,２３２号棟,株式会社日本アクセス,東京都品川区西品川一丁目1番1号,乳類販売業(専業),042-529-5510,2001/6/1,03-5435-5800,服部　真也
ゴディバららぽーと立川立飛店,東京都立川市泉町９３５番地の１,ららぽーと立川立飛　２F　24600,ゴディバジャパン株式会社,東京都港区六本木３丁目２番１号,その他の食料・飲料販売業(店舗),0425215466,2021/11/22,,
スターバックスコーヒーららぽーと立川立飛店,東京都立川市泉町９３５番地の１,ららぽーと立川立飛2階,スターバックスコーヒージャパン株式会社,東京都品川区上大崎2丁目25番2号,その他の食料・飲料販売業(店舗),042-540-6263,2021/7/15,,
ザ　ブッフェダイナー 立川立飛店,東京都立川市泉町９３５番地の１,ららぽーと立川立飛１Ｆ,ニラックス株式会社,東京都武蔵野市西久保１丁目２５番８号,その他の食料・飲料販売業(電子申請（未区分）),042-540-7175,2021/11/16,,
ミスタードーナツ　ららぽーと立川立飛,東京都立川市泉町９３５番地の１,ららぽーと立川立飛１階,株式会社　東京多摩フードサービス,東京都八王子市明神町4丁目6番1号,その他の食料・飲料販売業(電子申請（未区分）),042-521-5446,2021/12/6,,
ブルーミングブルーミーららぽーと立川立飛店,東京都立川市泉町９３５番地の１,,株式会社いなげや,東京都立川市栄町６丁目１番地の１,百貨店、総合スーパー,042-548-1215,2022/10/27,,
カルディコーヒーファーム,東京都立川市泉町９３５番地の１,ららぽーと立川立飛  1F,株式会社キャメル珈琲,東京都世田谷区代田２丁目３１番８号,その他の食料・飲料販売業(電子申請（未区分）),042-540-7231,2021/11/15,,
