"施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"青山Ｆｕｓｉｏｎ　Ｃｌｉｎｉｃ","東京都港区南青山二丁目12番12号","ユニマット青山ビル新館5階","03-6721-1554","2024/1/29","内科、皮膚科、美容皮膚科、美容外科、アレルギー科","35.671146","139.720140"
"一般社団法人南風会　南の風ＭＣ","東京都港区南青山二丁目12番15号","南青山2丁目ビル9階","03-6804-2110","2023/4/1","心療内科、精神科、老人内科","35.671275","139.720594"
"青山アレルギークリニック","東京都港区南青山二丁目13番2号","サンライズ青山 201号室","03-6271-5083","2022/12/1","アレルギー科、小児科、アレルギー疾患内科","35.670818","139.720860"
"ラジュボークリニック","東京都港区南青山二丁目13番7号","マトリス2階","03-5775-4344","2016/4/1","美容皮膚科、内科、形成外科","35.670659","139.720406"
"青山耳鼻咽喉科","東京都港区南青山二丁目13番11号","マストライフ南青山ビル301号","03-3478-8741","2014/11/1","耳鼻いんこう科、アレルギー科、気管食道外科","35.670712","139.720062"
"青山整形外科クリニック","東京都港区南青山二丁目13番11号","マストライフ南青山ビル2階","03-5413-7300","2015/9/1","整形外科、外科、皮膚科、リハビリテーション科","35.670712","139.720062"
"そらクリニック外苑前","東京都港区南青山二丁目14番14号","南青山KFKビル4階","03-5772-2442","2012/10/1","心療内科、精神科","35.670137","139.720280"
"南青山コスメクリニック","東京都港区南青山二丁目22番2号","KS南青山1階",,"2022/11/25","美容皮膚科、皮膚科、内科","35.670721","139.719611"
"外苑前いちょう並木クリニック","東京都港区南青山二丁目22番17号","川上ビル3階","03-5770-5611","2017/7/6","皮膚科、形成外科、アレルギー科、内科、小児皮膚科","35.670757","139.719322"
"医療法人社団松柏会　藤田クリニック","東京都港区南青山二丁目22番19号","アドバンテック南青山ビル7階","03-5772-7381","2003/7/1","内科、胃腸科、肛門科、小児科","35.670814","139.719580"
"ＨＡＡＢエッグクリニック","東京都港区南青山二丁目22番19号","アドバンテック南青山ビル5階10階","03-5412-0125","2020/5/1","美容内科、美容皮膚科、美容外科、婦人科","35.670814","139.719580"
"ＨＣＵ　ＣＬＩＮＩＣ","東京都港区南青山二丁目22番19号","アドバンテック南青山ビル9階","03-5843-1663","2023/12/13","内科、皮膚科","35.670814","139.719580"
"南青山　ＨＡＡＢ　ＢＥＡＵＴＹ　ＣＬＩＮＩＣ　本院","東京都港区南青山二丁目23番8号","外苑ビル2階、3階","03-6721-0957","2022/11/10","美容皮膚科、美容外科","35.670448","139.718649"
"外苑前メディカルクリニック","東京都港区南青山二丁目24番10号","ヒロビル1階","03-5413-7580","2005/1/24","内科、消化器科、外科、皮膚科","35.670054","139.718027"
"医療法人社団行基会　川村総合診療院","東京都港区南青山二丁目26番35号","青山KKビル7階","03-3478-1146","2013/5/11","心療内科、精神科、脳神経内科、内科","35.669932","139.717088"
"青山・まだらめクリニック","東京都港区南青山二丁目26番35号","青山KKビル6階","03-3405-4976","2011/9/28","内科、漢方内科","35.669932","139.717088"
"医療法人社団幹葉会　青山美容クリニック","東京都港区南青山二丁目27番27号","丸八青山ビル3階","03-6271-5555","2021/10/1","美容皮膚科","35.669569","139.716811"
"Ｓｔａｙ　Ｆｉｔ　Ｃｌｉｎｉｃ","東京都港区南青山三丁目1番5号","THE BATON Minami Aoyama 5階",,"2023/3/6","内科、心療内科、精神科","35.668485","139.716536"
"南青山ひだまりクリニック","東京都港区南青山三丁目1番30号","PASONA SQUARE 1階","03-6447-0518","2022/4/1","内科、皮膚科","35.667740","139.715798"
"ＳＥＮＳＨＩＮ　ＣＬＩＮＩＣ","東京都港区南青山三丁目1番30号","PASONA SQUARE 3階","03-6384-5435","2022/10/1","婦人科、美容皮膚科、乳腺外科、内科、腫瘍内科、整形外科","35.667740","139.715798"
"ＢＭＣ　ＣＬＩＮＩＣ　南青山","東京都港区南青山三丁目3番3号","リビエラ南青山ビルB館4階","03-6450-3904","2022/10/1","皮膚科、美容皮膚科、美容外科、形成外科","35.668107","139.716682"
"Ｋｙｕ　ｅｎ　Ｃｌｉｎｉｃ","東京都港区南青山三丁目3番3号","リビエラ南青山ビルA館2階‐A‐2","03-6434-0431","2022/6/8","美容皮膚科","35.668107","139.716682"
"肌管理クリニック","東京都港区南青山三丁目3番14号","チェリーズガーデン南青山2階","03-6438-9227","2023/8/17","皮膚科、美容皮膚科、内科、アレルギー科、歯科","35.667515","139.716828"
"医療法人社団青翔会　南青山みみのクリニック","東京都港区南青山三丁目3番16号","ハレアカラ南青山1階","03-5772-6450","2021/1/1","耳鼻いんこう科","35.667355","139.716666"
"表参道レジュバメディカルクリニック","東京都港区南青山三丁目7番19号","南青山3丁目ビル","03-6434-7323","2021/4/1","美容皮膚科、美容外科、婦人科","35.666026","139.715907"
"みちとせクリニック","東京都港区南青山三丁目8番13号","FS南青山1F-S","03-6434-9320","2020/11/24","漢方内科、漢方小児科","35.667092","139.715731"
"一般社団法人青麗会青山メディカルクリニック","東京都港区南青山三丁目10番21号","T’S BRIGHTIA 南青山EAST 1階","03-6434-7118","2023/11/1","内科、皮膚科、美容皮膚科","35.665614","139.716047"
"アマラクリニック表参道","東京都港区南青山三丁目10番38号","岩田ハウス101号室","03-6438-9869","2015/4/1","精神科、心療内科","35.666321","139.714569"
"セラピイ青山クリニック","東京都港区南青山三丁目12番12号","南青山312ビル803号室","03-3403-7873","2010/1/1","精神科","35.666126","139.713823"
"青山スキンクリニック","東京都港区南青山三丁目13番1号","小林ビル6階","03-6384-5866","2023/10/20","美容皮膚科","35.665974","139.713638"
"医療法人社団青山通り皮フ科","東京都港区南青山三丁目13番22号","善光堂ビル5階","03-5770-4112","2012/9/7","皮膚科、美容皮膚科","35.665741","139.713440"
"中山医院","東京都港区南青山三丁目14番19号",,"03-6434-5122","1974/4/30","内科、糖尿病内科、代謝内科、内分泌内科、リウマチ科、眼科","35.664943","139.714541"
"青山明石クリニック","東京都港区南青山三丁目14番24号","104","03-6447-4525","2021/4/1","内科、消化器外科、心臓血管外科、循環器内科、消化器内科","35.665289","139.714561"
"医療法人社団おおきなへいわ　南青山ＴＯＫＵＮＡＫＡクリニック","東京都港区南青山三丁目16番1号","南青山巴ビル3階4階","03-6812-9480","2021/4/1","皮膚科、形成外科、美容外科、眼科、外科","35.664552","139.714719"
"ＡｉＺ　ＣＬＩＮＩＣ","東京都港区南青山三丁目18番1号","マミーワールドビル3階","03-6812-9227","2021/10/1","美容外科、美容皮膚科、皮膚科、形成外科","35.665350","139.713177"
"医療法人社団美高会タカミクリニックモンテプラザ","東京都港区南青山三丁目18番5号","モンテプラザ南青山2階・3階・4階","03-5414-6000","2015/2/1","皮膚科、美容皮膚科","35.664880","139.713616"
"どすこい膝クリニック","東京都港区南青山三丁目18番11号","ヴァンセットビル2階202","03-6630-6239","2023/2/15","整形外科","35.664675","139.713596"
"青山メンタルクリニック","東京都港区南青山三丁目18番15号","サンコーノビル4階","03-5772-9200","2007/10/1","神経科、精神科、心療内科","35.664919","139.713177"
"アヴェニュー表参道クリニック","東京都港区南青山三丁目18番16号","ル・ボワビル4階","03-3796-3434","2007/9/1","皮膚科、形成外科","35.665049","139.713277"
"アヴェニューセルクリニック","東京都港区南青山三丁目18番16号","ル・ボワビル3階","03-3796-5511","2016/4/1","形成外科、内科、整形外科、皮膚科、血管外科","35.665049","139.713277"
"工藤眼科クリニック","東京都港区南青山三丁目18番17号","青山エイジービル2階","03-3470-5761","2007/6/1","眼科","35.665084","139.712866"
"東京美容クリニック表参道本院","東京都港区南青山三丁目18番17号","エイジービル6階","03-6434-7447","2022/3/12","美容皮膚科、美容外科、美容婦人科","35.665084","139.712866"
"プレママクリニック表参道","東京都港区南青山三丁目18番17号","エイジービル5階","03-5413-5116","2022/5/20","婦人科、産婦人科","35.665084","139.712866"
"医療法人社団紡潤会　トキノクリニックｂｙウィルＡＧＡ","東京都港区南青山三丁目18番19号","南青山キミジマビル4階、5階","03-5413-4884","2019/10/17","皮膚科、内科","35.665264","139.712988"
"医療法人社団美高会　タカミクリニック南青山","東京都港区南青山三丁目18番20号","南青山松本ビル3階・4階・5階","03-5414-6000","2010/6/15","皮膚科、美容皮膚科","35.665409","139.713058"
"表参道福澤クリニック","東京都港区南青山三丁目18番20号","ワークス南青山4階","03-5775-4480","2021/5/3","内科","35.665298","139.713028"
"医療法人社団　スリープクリニック　スリープクリニック青山","東京都港区南青山四丁目2番4号","シャトー青山第三101号室","03-5786-9700","2009/12/28","精神科、心療内科、内科、耳鼻いんこう科","35.666107","139.720379"
"南青山おおつかクリニック","東京都港区南青山四丁目9番17号",,"03-5786-3288","2005/10/20","内科、小児科、消化器科","35.666468","139.718056"
"青木医院","東京都港区南青山四丁目9番22号","アウラビル地下1階","03-3401-1770","2009/12/1","精神科、内科","35.666714","139.717432"
"吉本メディカルクリニック","東京都港区南青山四丁目9番29号","サタール南青山2階","03-4455-7091","2013/9/1","心療内科、精神科","35.667292","139.717926"
"関谷クリニック南青山","東京都港区南青山四丁目20番14号","南青山アパートメンツ101号室","03-3405-1315","2011/8/20","形成外科、美容外科","35.664340","139.715578"
"医療法人財団花椿会　南青山皮膚科スキンナビクリニック","東京都港区南青山四丁目21番26号","RUELLE青山C-wing2階","03-5770-6240","2005/8/29","皮膚科、美容皮膚科","35.663793","139.715531"
"医療法人社団青友会　岡林医院","東京都港区南青山五丁目1番18号","ボヌール青山1階","03-3498-5322","1994/10/12","内科、皮膚科","35.663934","139.712419"
"医療法人社団青南会　青山内科医院","東京都港区南青山五丁目1番22号","3階","03-3499-6500","2003/4/14","内科、消化器内科、外科、肛門科、糖尿病内科、循環器内科","35.664146","139.71223"
"青山・表参道睡眠ストレスクリニック","東京都港区南青山五丁目1番22号","青山ライズスクエア305号室","03-6427-6062","2017/5/1","精神科、心療内科","35.664146","139.71223"
"ＫＡＵＮＩＳ　ＣＬＩＮＩＣ","東京都港区南青山五丁目2番12号","Gビル南青山03A-3区画1階、2階","03-6427-2350","2022/5/1","美容外科、美容皮膚科","35.663555","139.714147"
"Ｍｅｎ’ｓ　Ｃｌａｒａ　Ｃｌｉｎｉｃ","東京都港区南青山五丁目3番25号","オウビルB1階・1階・2階","03-6427-3791","2022/9/1","内科、皮膚科、美容皮膚科","35.663472","139.714581"
"泉ウィメンズクリニック","東京都港区南青山五丁目4番3号","南青山泉ビル3階","03-3400-1213","2012/3/14","婦人科","35.663186","139.714664"
"東京ハートクリニック","東京都港区南青山五丁目4番19号","ジ・アッパーレジデンシィーズ・ミナミアオヤマ1階","03-5766-3660","2009/12/12","婦人科","35.661912","139.715037"
"医療法人晃和会ウェルエイジングクリニック南青山","東京都港区南青山五丁目4番27号","Barbizon104　5階501号室","03-6805-1920","2023/4/25","美容皮膚科、皮膚科、内科","35.661330","139.714554"
"青山ビジョンクリニック","東京都港区南青山五丁目4番29号","南青山信和ビル7階","03-6712-6753","2016/4/1","眼科","35.661416","139.714270"
"医療法人社団清洋会　八木クリニック","東京都港区南青山五丁目4番35号","たつむら青山マンション606号","03-5469-8848","2002/9/1","内科、皮膚科","35.661957","139.713437"
"レカルカクリニック表参道","東京都港区南青山五丁目6番24号","Barbizon23　2階","03-6427-4190","2023/4/1","美容皮膚科","35.663553","139.712078"
"じぶんクリニック表参道院","東京都港区南青山五丁目6番24号","南青山ステラハウス3階",,"2022/6/3","美容皮膚科","35.663853","139.711861"
"ＳＢＣイテウォンビューティークリニック南青山院","東京都港区南青山五丁目6番26号","青山246ビル8階","050-5576-1620","2012/9/27","美容皮膚科、美容外科","35.663998","139.711929"
"医療法人社団祐優会　ＯｋｕｎｏＣｌｉｎｉｃ．東京表参道","東京都港区南青山五丁目6番26号","青山246ビル3階","03-6712-6836","2022/6/1","整形外科、放射線科、血管外科、肛門外科","35.663998","139.711929"
"港区児童相談所　診察室","東京都港区南青山五丁目7番11号","3階","03-5962-6500","2021/4/1","小児科、小児精神科","35.662593","139.713010"
"美容皮膚科エルムクリニック　表参道院","東京都港区南青山五丁目8番1号","2F","03-5692-6095","2021/7/10","美容皮膚科","35.662739","139.712120"
"表参道ヘレネクリニック","東京都港区南青山五丁目9番15号","青山OHMOTOビル3階","03-3400-2277","2018/11/14","内科、放射線科、麻酔科、形成外科、血管外科、皮膚科、歯科、歯科口腔外科","35.663016","139.711342"
"医療法人社団青真会　青山エルクリニック","東京都港区南青山五丁目10番6号","テラアシオス表参道5階","03-5766-1213","2002/4/1","皮膚科、形成外科","35.662432","139.711625"
"青山天野クリニック","東京都港区南青山五丁目10番19号","青山真洋ビル6階","03-5485-1114","1991/9/20","消化器科、内科、外科","35.662878","139.71072"
"医療法人社団南青会　やべ耳鼻咽喉科表参道","東京都港区南青山五丁目10番19号","真洋ビル5階","03-3409-3387","2017/10/1","耳鼻いんこう科、アレルギー科","35.662878","139.71072"
"医療法人星敬会　ＲＥＮＡＴＡ　ＣＬＩＮＩＣ　表参道院","東京都港区南青山五丁目11番2号","SANWA南青山Bidg.8階","03-6433-5300","2023/7/1","美容外科、美容皮膚科","35.669439","139.716711"
"医療法人社団天翔会　ＭＥＴ　ＢＥＡＵＴＹ　ＣＬＩＮＩＣ","東京都港区南青山五丁目11番9号","2階","03-6419-7261","2020/7/28","美容皮膚科、美容外科、内科、婦人科、形成外科","35.661697","139.712354"
"医療法人社団ＳＭＩＬＥＬＡＮＤ　ＢＩＡＮＣＡ　ＣＬＩＮＩＣ　表参道","東京都港区南青山五丁目11番10号","南青山511ビル 2階","03-6433-5994","2019/10/1","皮膚科、形成外科、美容外科、美容皮膚科","35.661687","139.712403"
"南青山往診クリニック","東京都港区南青山五丁目11番14号","H&M南青山 E303号室","03-6419-7352","2011/12/5","内科、小児科","35.661462","139.711844"
"東京青山クリニック","東京都港区南青山五丁目12番6号","青山第2和田ビル3階","03-5467-0307","2013/7/11","美容外科、形成外科、皮膚科","35.661369","139.713534"
"ＣＬＩＮＩＣ．","東京都港区南青山五丁目13番2号","菊家ビル7階",,"2022/4/1","美容皮膚科","35.661268","139.713886"
"南青山マイコ形成外科・皮フ科","東京都港区南青山五丁目13番2号","菊家ビル2階","03-3409-5505","2023/12/18","形成外科、皮膚科","35.661268","139.713886"
"医療法人社団真貴志会　南青山アンティーク通りクリニック","東京都港区南青山五丁目14番1号","グリーンビル302号","03-3400-0611","2005/4/1","精神科、心療内科、神経科","35.660772","139.713297"
"南青山スキンケアクリニック","東京都港区南青山五丁目14番7号","アヴァン南青山地下1階","03-5464-1656","2023/7/1","皮膚科、形成外科、美容皮膚科","35.660355","139.713197"
"平田肛門科医院","東京都港区南青山五丁目15番1号",,"03-3400-3685","1996/8/26","肛門科","35.660583","139.713713"
"ウィメンズクリニック南青山","東京都港区南青山六丁目1番3号","コレッツィオーネ2-3","03-5464-0693","2005/7/1","婦人科","35.662549","139.716429"
"ストレスケア南青山","東京都港区南青山六丁目2番9号","NYKビル8階","03-3409-4038","2016/8/29","精神科、心療内科","35.660861","139.715613"
"ミニマルクリニック表参道","東京都港区南青山六丁目2番10号","バックボーンハウス7階","03-3400-3206","2015/10/1","美容皮膚科","35.660934","139.715496"
"東京ＴＭＳマインドフルネスクリニック","東京都港区南青山六丁目2番10号","バックボーンハウス3F","03-6421-0983","2023/5/30","心療内科、精神科","35.660934","139.715496"
"斎藤クリニック","東京都港区南青山六丁目6番21号","グロービル青山6階","03-6427-7714","2022/6/10","美容内科、美容皮膚科、婦人科、内科","35.660039","139.717726"
"東京英語いのちの電話診療所","東京都港区南青山六丁目10番11号","ウェスレーセンター2階","03-4550-1146","2010/7/12","精神科、心療内科","35.659626","139.715619"
"南青山さとう内科","東京都港区南青山六丁目12番11号","ヴィレッジアヤ南青山1階","03-3409-7150","2001/6/1","内科、消化器科、外科","35.660373","139.715252"
"南青山内科クリニック","東京都港区南青山七丁目8番8号","南青山ロイヤルハイツ1階","03-6805-1836","2011/6/2","内科、腎臓内科、人工透析内科","35.658995","139.717447"
"ガーデンクリニック広尾","東京都港区南青山七丁目14番7号","南青NSビル2階","03-6427-9198","2009/7/29","皮膚科、アレルギー科","35.656633","139.717900"
"Ｔｏｋｙｏ　Ｒｅ：Ｂｏｒｎ　Ｃｌｉｎｉｃ　麻布院","東京都港区南麻布一丁目3番2号","Espace TeTe1階","03-6722-6972","2022/7/25","皮膚科、内科、循環器内科、整形外科","35.651717","139.733314"
"南麻布医院","東京都港区南麻布一丁目12番1号",,"03-3452-3211","1999/4/15","外科、胃腸科、内科、（皮膚科）","35.650257","139.734467"
"劉内科整形外科","東京都港区南麻布二丁目2番13号","麻布ハイプラザ205","03-5476-5489","2010/11/30","内科、整形外科、リハビリテーション科","35.649980","139.736508"
"はやし耳鼻咽喉科","東京都港区南麻布二丁目5番21号","イデア南麻布ビル2階","03-5443-1895","1996/10/20","耳鼻いんこう科、気管食道科","35.650020","139.737024"
"ビークリニック","東京都港区南麻布二丁目10番2号","シェラン南麻布3階・4階・5階","03-6722-6217","2022/10/1","美容皮膚科、美容外科、小児皮膚科、皮膚科、アレルギー科、形成外科、婦人科","35.648209","139.735305"
"吉田整形外科","東京都港区南麻布二丁目14番19号","オキノビル1階","03-3441-1178","2001/10/22","整形外科、リウマチ科、リハビリテーション科","35.647561","139.733152"
"ＦＯＲＥＶＥＲ　ＳＫＩＮ　ＣＬＩＮＩＣ","東京都港区南麻布四丁目2番42号","クオリア南麻布002","03-6277-3432","2020/5/1","美容皮膚科、皮膚科","35.648077","139.723173"
"Ｍ’ｓクリニック南麻布","東京都港区南麻布四丁目2番49号","麻布サンパレス202","03-5475-6770","2012/1/23","内科、皮膚科、美容皮膚科","35.649057","139.722933"
"特別養護老人ホーム　洛和ヴィラ南麻布","東京都港区南麻布四丁目6番1号","3階","03-6408-8677","2010/3/30","内科","35.650536","139.726674"
"特別養護老人ホーム　ありすの杜きのこ南麻布","東京都港区南麻布四丁目6番1号","南棟2階","03-5739-0585","2010/3/30","内科、神経内科","35.650536","139.726674"
"港区立障害者支援ホーム南麻布診療所","東京都港区南麻布四丁目6番13号",,"03-6455-7797","2020/3/1","内科","35.650591","139.727203"
"港区立児童発達支援センター診療所","東京都港区南麻布四丁目6番13号",,"03-6277-3106","2020/6/8","小児科","35.650591","139.727203"
"特別養護老人ホーム南麻布シニアガーデンアリス内診療所","東京都港区南麻布四丁目6番13号",,"03-5843-0975","2020/3/1","内科、消化器内科","35.650591","139.727203"
"内科　外科・優里医院","東京都港区南麻布四丁目11番30号","南麻布渋谷ビル7階","03-6450-3500","2017/10/1","内科、外科、呼吸器内科、循環器内科、乳腺外科、リウマチ科、漢方内科、消化器内科","35.647023","139.727163"
"南麻布結び皮ふ科形成外科","東京都港区南麻布四丁目11番30号","南麻布渋谷ビル6階","03-6277-2113","2023/8/4","皮膚科、小児皮膚科、美容皮膚科、形成外科、小児科、アレルギー科、精神科","35.647023","139.727163"
"高橋医院","東京都港区南麻布四丁目13番3号",,"03-3442-6342","1997/2/10","内科、精神科、神経科、心療内科","35.647155","139.723528"
"やくも診療所","東京都港区南麻布四丁目13番7号","南麻布アコルトビル4階","03-3440-4822","2015/11/4","内科、泌尿器科、皮膚科、精神科、心療内科","35.646822","139.724001"
"医療法人社団功翼会　広尾インターナショナルクリニック","東京都港区南麻布四丁目14番6号","7階","03-5789-8861","2009/5/14","内科","35.646480","139.725542"
"医療法人社団紘朗会麻布皮フ科クリニック","東京都港区南麻布四丁目14番6号","プレシャス18 6階","03-5798-4861","2022/7/16","皮膚科","35.646480","139.725542"
"社会福祉法人恩賜財団　慶福育児会麻布診療所","東京都港区南麻布五丁目1番20号",,"03-3446-5361","1988/6/28","小児科","35.653619","139.721931"
"社会福祉法人恩賜財団慶福育児会　特別養護老人ホーム　麻布慶福苑医務室","東京都港区南麻布五丁目1番20号",,"03-3446-5501","1992/5/6","内科","35.653619","139.721931"
"社会福祉法人恩賜財団母子愛育会　総合母子保健センター　愛育クリニック","東京都港区南麻布五丁目6番8号","地下1階、1階、2階、3階","03-3473-8310","2015/2/1","産婦人科、小児科、児童精神科、皮膚科、女性内科、内科、歯科","35.653466","139.726904"
"喜島クリニック","東京都港区南麻布五丁目10番24号","第二佐野ビル403","03-5791-3424","2004/8/1","内科、胃腸科、外科、肛門科","35.652589","139.722395"
"おくつ整形外科クリニック","東京都港区南麻布五丁目10番24号","第二佐野ビル3階","03-5420-0920","2003/5/23","整形外科","35.652589","139.722395"
"広尾かなもりクリニック","東京都港区南麻布五丁目10番24号","第二佐野ビル401","03-6408-0652","2010/4/1","内科、産婦人科","35.652589","139.722395"
"医療法人社団フローイースト　フローイーストクリニック","東京都港区南麻布五丁目10番24号","第二佐野ビル7階702号室","03-6277-3555","2014/10/1","小児科、アレルギー科","35.652589","139.722395"
"広尾ストレスクリニック","東京都港区南麻布五丁目10番24号","第二佐野ビル501号室","03-6450-4486","2017/1/4","心療内科、精神科","35.652589","139.722395"
"医療法人社団リハブ土田　リハビリテーションクリニック　リハブ土田","東京都港区南麻布五丁目10番24号","第二佐野ビル701号室","03-6432-5220","2024/2/2","リハビリテーション科","35.652589","139.722395"
"ウイメンズクリニック南麻布","東京都港区南麻布五丁目10番26号","ORE広尾ビル3階","03-5798-7774","2018/4/1","婦人科","35.652820","139.722435"
"医療法人再生未来サイエンスクリニック","東京都港区南麻布五丁目10番26号","ORE広尾ビル6階","03-5422-8275","2014/12/19","内科、皮膚科、美容皮膚科","35.652820","139.722435"
"医療法人社団康梓会ＳＡＷＡＫＯ　ＣＬＩＮＩＣ　×　ＹＳ","東京都港区南麻布五丁目10番26号","4階","03-6409-6371","2023/10/12","内科、皮膚科、美容皮膚科","35.652820","139.722435"
"広尾クリニック　内科・消化器","東京都港区南麻布五丁目10番26号","ORE広尾ビル7階","03-3473-1199","2023/8/1","内科、消化器内科","35.652820","139.722435"
"有栖川整形外科","東京都港区南麻布五丁目13番6号","有栖川パークマンション地下1階","03-5475-1070","2010/6/1","整形外科、リハビリテーション科、内科","35.652029","139.723815"
"えがおクリニック","東京都港区南麻布五丁目14番13号","1階","03-6433-5310","2023/11/16","ペインクリニック内科、ペインクリニック外科、内科、美容内科","35.651785","139.723432"
"さやかウイメンズヘルスクリニック広尾","東京都港区南麻布五丁目15番16号","ナガツビル3階","03-3473-2200","2021/10/1","婦人科、内科、精神科","35.650912","139.722484"
"東京ロイヤルクリニック","東京都港区南麻布五丁目15番20号","フラワーマンション804","03-5420-3779","2008/7/15","内科","35.651303","139.722455"
"Ｓｋｉｎｆｉｎｉｔｙ　Ｃｌｉｎｉｃ","東京都港区南麻布五丁目15番27号","広尾リープレックス・ビズ3階9階","03-5488-6388","2021/8/1","美容皮膚科、皮膚科、美容外科","35.652073","139.722446"
"広尾　峰岸産婦人科","東京都港区南麻布五丁目15番27号","広尾リープレックス・ビズ8階","03-5791-4875","2015/11/2","産婦人科","35.652073","139.722446"
"医療法人社団康梓会Ｙ’ｓサイエンスクリニック広尾","東京都港区南麻布五丁目15番27号","広尾リープレックスビズ6階","03-6447-7605","2017/11/1","内科、心療内科、皮膚科、美容皮膚科、眼科","35.652073","139.722446"
"ナショナル　メディカル　クリニック　（ＮＡＴＩＯＮＡＬ　ＭＥＤＩＣＡＬ　ＣＬＩＮＩＣ）","東京都港区南麻布五丁目16番11号","202","03-3473-2057","2017/8/1","内科、小児科、形成外科、歯科、美容外科、精神科","35.651349","139.723456"
"クリニックモリ","東京都港区元赤坂一丁目1番5号","富士陰ビル5階","03-5772-1192","2005/6/4","形成外科、皮膚科","35.678195","139.734072"
"赤坂見附宮崎産婦人科","東京都港区元赤坂一丁目1番5号","富士陰ビル8階","03-3478-6443","2001/8/3","小児科、産婦人科","35.678195","139.734072"
"医療法人社団友仁会　元赤坂胃腸科クリニック","東京都港区元赤坂一丁目1番5号","富士陰ビル8階","03-3408-5575","2001/7/3","胃腸科","35.678195","139.734072"
"鹿島建設株式会社診療所","東京都港区元赤坂一丁目3番1号","4階","03-5544-1111","2007/7/30","内科、消化器科、循環器科、泌尿器科、精神科、放射線科","35.677311","139.734376"
"住友電気工業東京本社健康管理センター","東京都港区元赤坂一丁目3番13号","赤坂センタービルディング4階","03-6406-2610","2013/1/22","内科","35.676928","139.733669"
"綜合警備保障健康保険組合　健康管理室","東京都港区元赤坂一丁目5番7号","ラ・ベリテAKASAKA2階","03-3470-3421","1989/1/17","内科、整形外科、放射線科","35.677683","139.733809"
"医療法人Ｍｅｄｉｃａｌ　Ｉｎｎｏｖａｔｉｏｎ　グローバルビューティークリニック東京院","東京都港区元麻布一丁目2番2号","Hill Point Motoazabu 1階","03-6435-1871","2022/8/1","美容外科、美容皮膚科、形成外科","35.654798","139.73242"
"イークリニック麻布","東京都港区元麻布一丁目2番13号","元麻布ガーデン2階","03-6722-6222","2023/1/15","美容皮膚科、美容外科","35.655087","139.734028"
"元麻布ヒルズメディカルクリニック","東京都港区元麻布一丁目3番3号","元麻布ヒルズフォレストテラスウエスト地下1階","03-3798-2525","2021/11/1","内科、形成外科、皮膚科、ペインクリニック内科","35.653775","139.731474"
"赤枝六本木診療所","東京都港区元麻布三丁目1番30号",,"03-3405-1388","2002/4/15","産婦人科","35.657746","139.727896"
"東京オンライン診療クリニック","東京都港区元麻布三丁目1番35号","VORT元麻布5階","03-6869-1600","2023/11/1","内科、美容皮膚科","35.658019","139.727525"
"医療法人美来会　Ｃｌｉｎｉｃ　Ｎｉｎｅ　Ｆｉｅｌｄｓ","東京都港区元麻布三丁目2番13号","Style元麻布2階","03-6388-0202","2021/9/13","美容皮膚科、美容外科、形成外科、内科","35.657194","139.728098"
"アザブ循環器・内科クリニック","東京都港区元麻布三丁目4番8号","348MOTOAZABU34","03-5411-0405","1992/3/25","内科、循環器科、脳神経外科","35.656462","139.727802"
"自動車振興会健康保険組合　健康管理センター","東京都港区元麻布三丁目4番32号","健保会館3階","03-3442-7491","1986/6/17","内科、放射線科","35.655852","139.726665"
"元麻布スキンクリニック","東京都港区元麻布三丁目10番5号","カドル元麻布2階","03-3401-6600","2021/4/9","美容皮膚科、皮膚科","35.656840","139.732286"
"水島広子こころの健康クリニック","東京都港区元麻布三丁目12番38号",,"03-3470-5355","2009/7/1","精神科、心療内科","35.656161","139.731364"
"医療法人社団清陵会　丸茂レディースクリニック","東京都港区六本木一丁目6番1号","泉ガーデンタワー4階","03-5575-5778","2018/5/1","婦人科、産婦人科","35.664823","139.739503"
"医療法人社団東京桜十字　泉ガーデン桜十字クリニック","東京都港区六本木一丁目6番3号","泉ガーデンウイング地下1階","03-5575-3888","2003/5/1","内科、整形外科、皮膚科、呼吸器科、放射線科","35.664205","139.739063"
"六本木ファーストクリニック","東京都港区六本木一丁目7番27号","全特六本木ビルEAST1階","03-5574-7788","2003/5/20","内科、消化器科、肛門科、アレルギー科、皮膚科","35.663834","139.739137"
"六本木　柴眼科","東京都港区六本木一丁目7番28号","落合麻布台ビル201号室","03-3588-4800","2022/10/1","眼科","35.663999","139.738898"
"東京スキンクリニック","東京都港区六本木二丁目4番9号","2階","03-3585-0272","2011/7/26","皮膚科、形成外科、内科、婦人科、眼科、心療内科、アレルギー科","35.665727","139.736454"
"六本木ＨＡＴクリニック","東京都港区六本木三丁目1番1号","六本木ティーキューブ2階","03-3584-1132","2016/1/4","内科、循環器内科、整形外科","35.665431","139.738132"
"テレビ東京医務室","東京都港区六本木三丁目2番1号","六本木グランドタワー12階","03-3587-3036","2016/8/29","内科","35.664718","139.737760"
"集中クリニック","東京都港区六本木三丁目3番15号","麻布台TSタワー102","03-6277-8344","2021/3/1","整形外科、皮膚科、ペインクリニック外科","35.663259","139.738135"
"六本木境クリニック","東京都港区六本木三丁目7番1号","TheRoppongiTokyoPlaza207","03-6441-0691","2014/4/1","形成外科、美容外科","35.663913","139.734812"
