"ごみの品目","インデックス","種別","説明","GIS搭載用住所","経度","緯度","分類"
"パチンコ台、パチスロ台","ぱちんこだい、ぱちすろだい","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"パック（卵・豆腐・果物等）","ぱっく（たまご・とうふ・くだものるい）","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"パネルヒーター
※暖房器具","ぱねるひーたー
※だんぼうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"パラソル","ぱらそる","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"パンフレット類","ぱんふれっとるい","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"パン焼き機","ぱんやきき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"髭剃り","ひげそり","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"火鉢","ひばち","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"百科事典","ひゃっかじてん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"漂白剤の容器（紙製）","ひょうはくざいのようき（かみせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"漂白剤の容器（プラスチック製）","ひょうはくざいのようき（ぷらすちっくせい）","資源プラスチック","中身を空にして、水で軽くすすいでからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"肥料","ひりょう","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビデオカメラ","びでおかめら","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビデオカメラ（ポータブル）","びでおかめら（ぽーたぶる）","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビデオテープ","びでおてーぷ","燃やすごみ","ケースは資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビデオデッキ","びでおでっき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビニール傘","びにーるがさ","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビニールコーティング紙","びにーるこーてぃんぐし","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビニールひも","びにーるひも","燃やすごみ","リサイクルの過程で機械に絡まる恐れがあるため、資源プラスチックには出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"便箋","びんせん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"びんのふた（金属製）","びんのふた（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"びんのふた（プラスチック製）","びんのふた（ぷらすちっくせい）","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"びん（医薬品・化粧品等、飲食用以外のもの","びん（いやくひん・けしょうひんとう、いんしょくよういがいのもの）","陶器・ガラス・金属ごみ","栄養ドリンクのびんはびん・缶・ペットボトルに出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"びん（飲食用）","びん（いんしょくよう）","びん・缶・ペットボトル","水で軽くすすいで汚れを落としてからお出しください。
※割れたびんは、紙や布に包んで他のごみとは別の袋に入れ、中身が何かを表記して陶器・ガラス・金属ごみへお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビーズクッション","びーずくっしょん","粗大ごみ","一辺が30cm以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビー玉","びーだま","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビーチサンダル","びーちさんだる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビーチパラソル","びーちぱらそる","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビールケース","びーるけーす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビールの缶","びーるのかん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ビールびん","びーるびん","びん・缶・ペットボトル","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ピアノ","ぴあの","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ピザの箱","ぴざのはこ","燃やすごみ","汚れやにおいのついた紙は集団回収には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ピンセット","ぴんせっと","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ＰＨＳ","ぴーえいちえす","使用済小型家電（拠点回収）","区立施設に設置してある「小型家電回収ボックス」へ入れてください。回収ボックスを利用できない場合は、陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ファイル（紙製）","ふぁいる（かみせい）","燃やすごみ","留め具を外せるものは古紙（集団回収）へ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ファイル（プラスチック製）","ふぁいる（ぷらすちっくせい）","資源プラスチック","金属の留め具は外してお出しください。
プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ファックス電話機","ふぁっくすでんわき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ファックス用紙","ふぁっくすようし","古紙（集団回収）","感熱紙は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ファンヒーター","ふぁんひーたー","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"封筒","ふうとう","古紙（集団回収）","セロハンの部分は取り外して燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"フォーク（金属製）","ふぉーく（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"フォーク（プラスチック製）","ふぉーく（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"服","ふく","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"複写伝票","ふくしゃでんぴょう","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ふすま
※建具","ふすま
※たてぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"布団","ふとん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"布団カバー","ふとんかばー","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は粗大ごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"布団乾燥機
※乾燥機","ふとんかんそうき
※かんそうき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"布団干しハンガー","ふとんほしはんがー","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"腐葉土","ふようど","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"フライパン","ふらいぱん","陶器・ガラス・金属ごみ","柄を除いた部分が30cmを超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"古本","ふるほん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"フロアマット
※敷物","ふろあまっと
※しきもの","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"風呂釜","ふろがま","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"フロッピーディスク","ふろっぴーでぃすく","燃やすごみ","ケースは資源プラスチックへお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"風呂のふた","ふろのふた","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"仏壇","ぶつだん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ブラインド","ぶらいんど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ぶら下がり健康器
※健康器具","ぶらさがりけんこうき
※けんこうきぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ブラシ","ぶらし","燃やすごみ","プラスチックのみでできている物は資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ブランコ（幼児用）
※子供用遊具","ぶらんこ（ようじよう）
※こどもようゆうぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ブルーシート","ぶるーしーと","粗大ごみ","一辺が30㎝以下の場合は資源プラスチックです。金具は取り除いてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ブロック","ぶろっく","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"文鎮","ぶんちん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ブーツ","ぶーつ","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プチプチ（緩衝材）","ぷちぷち（かんしょうざい）","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プラスチック棚","ぷらすちっくだな","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プラモデル","ぷらもでる","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プランター（陶器製）","ぷらんたー（とうきせい）","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プランター（プラスチック製）","ぷらんたー（ぷらすちっくせい）","粗大ごみ","一辺が30㎝以下の場合は資源プラスチックです。汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プリペイドカード","ぷりぺいどかーど","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プリンター","ぷりんたー","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プリンの容器","ぷりんのようき","資源プラスチック","軽くすすいでから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プルトップ","ぷるとっぷ","陶器・ガラス・金属ごみ","缶についているものはそのままびん・缶・ペットボトルへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プロジェクター
※映写機","ぷろじぇくたー
※えいしゃき","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"プロパンガスボンベ","ぷろぱんがすぼんべ","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヘアアイロン","へああいろん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヘアブラシ","へあぶらし","燃やすごみ","プラスチックのみでできている物は資源プラスチックにお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヘアーワックスの缶","へあーわっくすのかん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヘアーワックスの容器（プラスチック製）","へあーわっくすのようき（ぷらすちっくせい）","燃やすごみ","水ですすいできれいになる場合は資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヘッドホン","へっどほん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ヘルメット","へるめっと","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。
フルフェイスタイプのものは粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベッド","べっど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベッドパッド","べっどぱっど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベッドマット","べっどまっと","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベビーカー
※乳児用具","べびーかー
※にゅうじようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベビーチェア
※乳児用具","べびーちぇあ
※にゅうじようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベビーバス
※乳児用具","べびーばす
※にゅうじようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベビーベッド
※乳児用具","べびーべっど
※にゅうじようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベルト","べると","燃やすごみ","金属部分は取り外し可能であれば陶器・ガラス・金属ごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"便器","べんき","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"便座","べんざ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベンジン","べんじん","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ベンチ","べんち","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"弁当の容器（紙製）","べんとうのようき（かみせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"弁当の容器（プラスチック製）","べんとうのようき（ぷらすちっくせい）","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ペット小屋","ぺっとごや","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ペットのトイレシート","ぺっとのといれしーと","燃やすごみ","汚物は取り除いてください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ペットボトル","ぺっとぼとる","びん・缶・ペットボトル","ラベルとキャップは外して資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ペットボトルのキャップ","ぺっとぼとるのきゃっぷ","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ペットボトルのラベル","ぺっとぼとるのらべる","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ペンキ","ぺんき","区では収集しないもの","販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ほうき","ほうき","粗大ごみ","一辺が30cm以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"包装紙","ほうそうし","古紙（集団回収）","汚れている場合、汚れが落ちない場合は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"包帯","ほうたい","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"包丁","ほうちょう","陶器・ガラス・金属ごみ","危険のないよう紙などで包み、他のごみとは別の袋に入れ、中身が何か分かるように表記して出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"包丁研ぎ器","ほうちょうとぎき","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"歩行器（幼児用）
※乳児用具","ほこうき（ようじよう）
※にゅうじようぐ","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ホッチキス","ほっちきす","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ホッチキスの芯","ほっちきすのしん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ホットカーペット","ほっとかーぺっと","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ホットプレート","ほっとぷれーと","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"哺乳瓶（ガラス製）","ほにゅうびん（がらすせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"哺乳瓶（プラスチック製）","ほにゅうびん（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"保冷剤","ほれいざい","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"本","ほん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"本棚","ほんだな","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ホース","ほーす","燃やすごみ","30cm以下に切って出してください。ホース付きホースリールは粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ホースリール","ほーすりーる","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"防具（剣道・アメフト等）","ぼうぐ（けんどう・あめふととう）","粗大ごみ","道具1セットで回収します。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"帽子","ぼうし","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"防水加工紙","ぼうすいかこうし","燃やすごみ","古紙再生の妨げとなるため古紙（集団回収）には出せません。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"防虫剤","ぼうちゅうざい","燃やすごみ","液体のものは区では収集できません。販売店やメーカー、専門業者に相談してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボウリングの球","ぼうりんぐのたま","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボウル（金属製）","ぼうる（きんぞくせい）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボウル（プラスチック製）","ぼうる（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。
一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボウル（木製）","ぼうる（もくせい）","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボタン（金属製）","ぼたん（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボタン（プラスチック製）","ぼたん（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボタン（木製）","ぼたん（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボディボード","ぼでぃぼーど","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボール","ぼーる","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボールペン（金属製）","ぼーるぺん（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ボールペン（プラスチック製）","ぼーるぺん（ぷらすちっくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ポスター","ぽすたー","古紙（集団回収）","ビニールコーティングしてあるものは燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ポット（電気ポット・魔法瓶）","ぽっと（でんきぽっと・まほうびん）","陶器・ガラス・金属ごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ポリタンク","ぽりたんく","粗大ごみ","一辺が30㎝以下の場合は資源プラスチックです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ポリバケツ
※バケツ","ぽりばけつ
※ばけつ","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ポリ袋","ぽりぶくろ","資源プラスチック","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マイク","まいく","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マウス（パソコン用）","まうす（ぱそこんよう）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マガジンラック","まがじんらっく","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"まくら","まくら","粗大ごみ","一辺が30㎝以下の場合は燃やすごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マッサージ機","まっさーじき","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マッチ","まっち","燃やすごみ","使用済みのものに限ります。水で濡らしてから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マットレス","まっとれす","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"窓付き封筒","まどつきふうとう","古紙（集団回収）","セロハンの部分は取り外して燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"まな板（木製・プラスチック製）","まないた（もくせい・ぷらすちっくせい）","燃やすごみ","手で曲げられる薄いプラスチック製の物は資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マニキュアのびん","まにきゅあのびん","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マネキン","まねきん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マフラー（衣類）","まふらー（いるい）","古着・古布（集団回収）","多くの地域で集団回収をしています。集団回収に出せない場合や汚れている場合は燃やすごみへ。
※「リサイクル展示室」でも回収しています。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マフラー（自動車用）
※自動車部品","まふらー（じどうしゃよう）
※じどうしゃぶひん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"豆炭","まめたん","燃やすごみ","水で湿らせてから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"豆電球","まめでんきゅう","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マヨネーズの容器","まよねーずのようき","燃やすごみ","水ですすいできれいになる場合は資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マンガ本","まんがほん","古紙（集団回収）","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マーガリンの容器（紙製）","まーがりんのようき（かみせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"マーガリンの容器（プラスチック製）","まーがりんのようき（ぷらすちっくせい）","燃やすごみ","水ですすいできれいになる場合は資源プラスチックへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"麻雀卓","まーじゃんたく","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"麻雀パイ","まーじゃんぱい","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ミキサー","みきさー","粗大ごみ","一辺が30㎝以下の場合は陶器・ガラス・金属ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ミシン","みしん","粗大ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"水枕","みずまくら","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"味噌の容器","みそのようき","資源プラスチック","水で軽くすすいで汚れを落としてからお出しください。
汚れが落ちない場合は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"耳かき（金属製）","みみかき（きんぞくせい）","陶器・ガラス・金属ごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"耳かき（プラスチック製）","みみかき（ぷらすちっくせい）","資源プラスチック","プラスチック以外の素材が含まれる物は燃やすごみへ。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"耳かき（木製）","みみかき（もくせい）","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"未利用食品","みりようしょくひん","燃やすごみ","可能ならフードドライブへ
https://www.city.tokyo-nakano.lg.jp/dept/473000/d028587.html","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"ミルク缶","みるくかん","びん・缶・ペットボトル","軽くすすいでから出してください。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"麦わら帽子","むぎわらぼうし","燃やすごみ","","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
"虫かご","むしかご","燃やすごみ","一辺が30㎝を超える場合は粗大ごみです。","中野区中野4-11-19","139.662904755454","35.7096225942072","ごみ分別一覧"
