産業分類階層,大分類,中分類,小分類,分類名,東京都／総数（民営＋国、地方公共団体）／事業所数（事業所）,東京都／総数（民営＋国、地方公共団体）／従業者数（人）,区部／経営組織／民営／事業所数（事業所）,区部／経営組織／民営／従業者数（人）,千代田区／経営組織／民営／事業所数（事業所）,千代田区／経営組織／民営／従業者数（人）,中央区／経営組織／民営／事業所数（事業所）,中央区／経営組織／民営／従業者数（人）,港区／経営組織／民営／事業所数（事業所）,港区／経営組織／民営／従業者数（人）,新宿区／経営組織／民営／事業所数（事業所）,新宿区／経営組織／民営／従業者数（人）,文京区／経営組織／民営／事業所数（事業所）,文京区／経営組織／民営／従業者数（人）,台東区／経営組織／民営／事業所数（事業所）,台東区／経営組織／民営／従業者数（人）,墨田区／経営組織／民営／事業所数（事業所）,墨田区／経営組織／民営／従業者数（人）,江東区／経営組織／民営／事業所数（事業所）,江東区／経営組織／民営／従業者数（人）,品川区／経営組織／民営／事業所数（事業所）,品川区／経営組織／民営／従業者数（人）,目黒区／経営組織／民営／事業所数（事業所）,目黒区／経営組織／民営／従業者数（人）,大田区／経営組織／民営／事業所数（事業所）,大田区／経営組織／民営／従業者数（人）,世田谷区／経営組織／民営／事業所数（事業所）,世田谷区／経営組織／民営／従業者数（人）,渋谷区／経営組織／民営／事業所数（事業所）,渋谷区／経営組織／民営／従業者数（人）,中野区／経営組織／民営／事業所数（事業所）,中野区／経営組織／民営／従業者数（人）,杉並区／経営組織／民営／事業所数（事業所）,杉並区／経営組織／民営／従業者数（人）,豊島区／経営組織／民営／事業所数（事業所）,豊島区／経営組織／民営／従業者数（人）,北区／経営組織／民営／事業所数（事業所）,北区／経営組織／民営／従業者数（人）,荒川区／経営組織／民営／事業所数（事業所）,荒川区／経営組織／民営／従業者数（人）,板橋区／経営組織／民営／事業所数（事業所）,板橋区／経営組織／民営／従業者数（人）,練馬区／経営組織／民営／事業所数（事業所）,練馬区／経営組織／民営／従業者数（人）,足立区／経営組織／民営／事業所数（事業所）,足立区／経営組織／民営／従業者数（人）,葛飾区／経営組織／民営／事業所数（事業所）,葛飾区／経営組織／民営／従業者数（人）,江戸川区／経営組織／民営／事業所数（事業所）,江戸川区／経営組織／民営／従業者数（人）,境界未定地域／経営組織／民営／事業所数（事業所）,境界未定地域／経営組織／民営／従業者数（人）,市部／経営組織／民営／事業所数（事業所）,市部／経営組織／民営／従業者数（人）,八王子市／経営組織／民営／事業所数（事業所）,八王子市／経営組織／民営／従業者数（人）,立川市／経営組織／民営／事業所数（事業所）,立川市／経営組織／民営／従業者数（人）,武蔵野市／経営組織／民営／事業所数（事業所）,武蔵野市／経営組織／民営／従業者数（人）,三鷹市／経営組織／民営／事業所数（事業所）,三鷹市／経営組織／民営／従業者数（人）,青梅市／経営組織／民営／事業所数（事業所）,青梅市／経営組織／民営／従業者数（人）,府中市／経営組織／民営／事業所数（事業所）,府中市／経営組織／民営／従業者数（人）,昭島市／経営組織／民営／事業所数（事業所）,昭島市／経営組織／民営／従業者数（人）,調布市／経営組織／民営／事業所数（事業所）,調布市／経営組織／民営／従業者数（人）,町田市／経営組織／民営／事業所数（事業所）,町田市／経営組織／民営／従業者数（人）,小金井市／経営組織／民営／事業所数（事業所）,小金井市／経営組織／民営／従業者数（人）,小平市／経営組織／民営／事業所数（事業所）,小平市／経営組織／民営／従業者数（人）,日野市／経営組織／民営／事業所数（事業所）,日野市／経営組織／民営／従業者数（人）,東村山市／経営組織／民営／事業所数（事業所）,東村山市／経営組織／民営／従業者数（人）,国分寺市／経営組織／民営／事業所数（事業所）,国分寺市／経営組織／民営／従業者数（人）,国立市／経営組織／民営／事業所数（事業所）,国立市／経営組織／民営／従業者数（人）,福生市／経営組織／民営／事業所数（事業所）,福生市／経営組織／民営／従業者数（人）,狛江市／経営組織／民営／事業所数（事業所）,狛江市／経営組織／民営／従業者数（人）,東大和市／経営組織／民営／事業所数（事業所）,東大和市／経営組織／民営／従業者数（人）,清瀬市／経営組織／民営／事業所数（事業所）,清瀬市／経営組織／民営／従業者数（人）,東久留米市／経営組織／民営／事業所数（事業所）,東久留米市／経営組織／民営／従業者数（人）,武蔵村山市／経営組織／民営／事業所数（事業所）,武蔵村山市／経営組織／民営／従業者数（人）,多摩市／経営組織／民営／事業所数（事業所）,多摩市／経営組織／民営／従業者数（人）,稲城市／経営組織／民営／事業所数（事業所）,稲城市／経営組織／民営／従業者数（人）,羽村市／経営組織／民営／事業所数（事業所）,羽村市／経営組織／民営／従業者数（人）,あきる野市／経営組織／民営／事業所数（事業所）,あきる野市／経営組織／民営／従業者数（人）,西東京市／経営組織／民営／事業所数（事業所）,西東京市／経営組織／民営／従業者数（人）,町村部／経営組織／民営／事業所数（事業所）,町村部／経営組織／民営／従業者数（人）,西多摩郡／経営組織／民営／事業所数（事業所）,西多摩郡／経営組織／民営／従業者数（人）,瑞穂町／経営組織／民営／事業所数（事業所）,瑞穂町／経営組織／民営／従業者数（人）,日の出町／経営組織／民営／事業所数（事業所）,日の出町／経営組織／民営／従業者数（人）,檜原村／経営組織／民営／事業所数（事業所）,檜原村／経営組織／民営／従業者数（人）,奥多摩町／経営組織／民営／事業所数（事業所）,奥多摩町／経営組織／民営／従業者数（人）,島部／経営組織／民営／事業所数（事業所）,島部／経営組織／民営／従業者数（人）,大島支庁／経営組織／民営／事業所数（事業所）,大島支庁／経営組織／民営／従業者数（人）,大島町／経営組織／民営／事業所数（事業所）,大島町／経営組織／民営／従業者数（人）,利島村／経営組織／民営／事業所数（事業所）,利島村／経営組織／民営／従業者数（人）,新島村／経営組織／民営／事業所数（事業所）,新島村／経営組織／民営／従業者数（人）,神津島村／経営組織／民営／事業所数（事業所）,神津島村／経営組織／民営／従業者数（人）,三宅支庁／経営組織／民営／事業所数（事業所）,三宅支庁／経営組織／民営／従業者数（人）,三宅村／経営組織／民営／事業所数（事業所）,三宅村／経営組織／民営／従業者数（人）,御蔵島村／経営組織／民営／事業所数（事業所）,御蔵島村／経営組織／民営／従業者数（人）,八丈支庁／経営組織／民営／事業所数（事業所）,八丈支庁／経営組織／民営／従業者数（人）,八丈町／経営組織／民営／事業所数（事業所）,八丈町／経営組織／民営／従業者数（人）,青ヶ島村／経営組織／民営／事業所数（事業所）,青ヶ島村／経営組織／民営／従業者数（人）,小笠原支庁／経営組織／民営／事業所数（事業所）,小笠原支庁／経営組織／民営／従業者数（人）,小笠原村／経営組織／民営／事業所数（事業所）,小笠原村／経営組織／民営／従業者数（人）
4,N,79,79B,結婚式場業,149,6312,133,5771,11,120,17,322,39,2768,10,330,2,9,-,-,-,-,5,425,6,347,5,92,1,2,1,4,27,675,1,14,1,1,4,464,-,-,-,-,-,-,-,-,2,67,-,-,1,131,-,-,16,541,3,87,4,253,1,4,-,-,1,6,-,-,-,-,-,-,3,168,1,3,-,-,1,1,1,16,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,79,79C,冠婚葬祭互助会,94,1377,69,1047,-,-,1,20,-,-,1,11,-,-,-,-,3,22,7,159,3,15,-,-,7,130,4,39,2,9,1,11,8,139,7,138,2,45,1,22,3,8,1,12,8,131,6,45,4,91,-,-,25,330,1,30,5,95,-,-,-,-,-,-,6,50,1,10,3,27,3,58,-,-,1,21,-,-,1,7,-,-,-,-,-,-,-,-,-,-,-,-,2,28,-,-,-,-,-,-,-,-,-,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,79,799,他に分類されない生活関連サービス業,2601,26869,1985,22916,114,8935,135,1879,148,1440,188,2110,55,262,74,398,47,541,64,314,69,770,58,255,117,522,144,691,113,1829,65,501,70,280,78,502,58,208,34,96,65,260,86,307,77,314,53,185,67,297,6,20,560,3605,81,966,32,264,36,204,23,187,19,50,32,106,18,73,36,478,66,256,16,75,23,113,14,55,16,69,16,92,9,19,11,63,9,21,14,45,12,67,14,56,6,55,15,103,6,11,3,10,8,22,25,145,30,94,6,27,1,6,4,17,-,-,1,4,24,67,6,10,3,4,1,1,1,4,1,1,6,9,3,4,3,5,3,12,3,12,-,-,9,36,9,36
4,N,79,79D,写真プリント，現像・焼付業,514,3489,411,2233,18,109,29,345,20,135,22,263,18,62,16,103,10,37,19,69,15,55,13,62,30,96,35,117,14,80,15,193,16,79,15,60,17,60,9,21,14,50,18,77,16,43,14,68,15,36,3,13,100,1253,14,589,2,15,6,17,6,73,4,13,4,18,3,14,8,330,7,32,4,11,5,14,2,7,2,5,5,17,3,5,1,5,1,1,1,2,2,5,5,25,1,8,4,8,-,-,1,4,1,4,8,31,3,3,-,-,-,-,-,-,-,-,-,-,3,3,2,2,1,1,-,-,-,-,1,1,-,-,-,-,-,-,1,1,1,1,-,-,-,-,-,-
4,N,79,79E,他に分類されないその他の生活関連サービス業,2087,23380,1574,20683,96,8826,106,1534,128,1305,166,1847,37,200,58,295,37,504,45,245,54,715,45,193,87,426,109,574,99,1749,50,308,54,201,63,442,41,148,25,75,51,210,68,230,61,271,39,117,52,261,3,7,460,2352,67,377,30,249,30,187,17,114,15,37,28,88,15,59,28,148,59,224,12,64,18,99,12,48,14,64,11,75,6,14,10,58,8,20,13,43,10,62,9,31,5,47,11,95,6,11,2,6,7,18,17,114,27,91,6,27,1,6,4,17,-,-,1,4,21,64,4,8,2,3,1,1,1,4,-,-,6,9,3,4,3,5,2,11,2,11,-,-,9,36,9,36
2,N,80,000,娯楽業,7878,130188,6146,102339,307,4428,312,4149,639,9704,526,8174,73,3988,209,5032,134,3416,203,4661,258,7683,177,2675,287,3603,418,4176,540,10115,197,2438,246,2836,322,6130,137,2116,82,1273,234,3168,250,3953,226,2951,167,2393,195,2983,7,294,1518,25256,218,3240,82,1611,122,1735,36,541,53,1146,90,2740,40,541,85,1222,165,2311,40,445,45,683,49,622,47,737,46,579,28,320,27,331,19,134,27,528,28,384,21,265,25,394,65,1942,25,545,24,242,35,1041,76,977,114,862,25,597,12,389,5,103,1,6,7,99,89,265,38,127,15,58,2,4,6,14,15,51,17,27,15,22,2,5,24,76,24,76,-,-,10,35,10,35
3,N,80,800,管理，補助的経済活動を行う事業所,94,1529,82,1373,3,19,13,160,16,192,6,31,1,4,1,65,1,1,2,13,2,10,1,12,2,4,3,52,5,218,1,2,2,20,2,71,-,-,3,17,2,19,1,7,7,57,2,16,5,125,1,258,10,148,2,17,2,43,1,1,1,7,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,55,-,-,-,-,1,10,2,8,-,-,-,-,-,-,-,-,-,-,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,1,5,-,-,1,3,1,3
3,N,80,801,映画館,87,2815,77,2406,12,375,5,127,6,303,15,404,-,-,1,18,2,104,2,123,2,22,-,-,1,4,3,15,13,322,1,15,1,16,6,199,-,-,-,-,1,99,2,125,2,68,1,64,-,-,1,3,9,360,1,39,1,16,1,18,-,-,-,-,1,53,1,62,-,-,1,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,87,2,56,-,-,-,-,-,-,-,-,1,49,1,49,-,-,1,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,80,802,興行場（別掲を除く），興行団,1512,19246,1363,18014,66,968,48,456,255,2678,131,1500,18,3002,30,291,23,1245,19,254,31,280,65,692,33,158,148,762,241,2984,53,661,60,571,38,319,17,112,8,104,18,88,34,802,14,59,9,18,4,10,-,-,148,1214,19,120,5,36,28,405,7,16,1,8,12,71,-,-,7,88,16,78,6,19,10,134,2,3,1,13,2,12,2,9,2,14,6,29,3,5,1,3,-,-,1,2,5,45,3,37,1,1,-,-,8,66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,80,803,競輪・競馬等の競走場，競技団,71,3989,58,1786,2,159,-,-,9,762,-,-,-,-,1,3,-,-,1,36,34,455,-,-,3,264,2,30,1,7,2,27,1,1,-,-,-,-,-,-,1,33,-,-,-,-,-,-,1,9,-,-,5,1381,-,-,-,-,-,-,-,-,-,-,2,1311,-,-,3,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,80,804,スポーツ施設提供業,1524,32748,1062,24027,34,648,46,837,92,1755,66,1434,14,268,25,2313,31,822,53,1173,40,1194,45,1174,61,840,71,1176,82,2109,29,594,45,886,48,1204,39,1000,8,159,42,841,75,1119,36,767,35,732,41,952,4,30,422,8447,66,1223,17,216,26,554,14,363,14,466,24,485,6,124,21,292,56,959,8,123,13,316,16,280,9,251,12,274,11,196,9,122,2,18,3,188,9,160,8,127,5,99,21,585,11,255,6,36,9,457,26,278,3,20,1,8,1,8,-,-,-,-,-,-,2,12,1,9,1,9,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-
4,N,80,80A,スポーツ施設提供業（別掲を除く）,271,6417,179,5033,5,27,6,136,15,103,14,413,5,195,6,2081,4,20,20,135,1,6,8,127,6,16,4,32,17,251,6,144,9,194,3,150,15,429,-,-,6,20,7,100,8,122,2,66,11,250,1,16,80,1328,8,138,3,14,5,95,1,14,-,-,2,19,1,3,6,54,17,311,-,-,1,4,4,146,1,2,3,127,2,76,-,-,1,5,-,-,4,51,2,71,1,3,3,59,1,5,-,-,4,78,10,53,1,3,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,-,-,-,-
4,N,80,80B,体育館,88,1748,48,1257,1,21,-,-,-,-,1,85,-,-,-,-,2,64,3,28,4,82,7,168,1,19,2,84,5,120,-,-,4,87,3,43,4,38,-,-,6,223,2,35,-,-,3,160,-,-,-,-,18,311,-,-,-,-,-,-,-,-,-,-,8,102,-,-,1,10,1,17,-,-,-,-,2,16,-,-,-,-,1,42,2,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,63,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80C,ゴルフ場,117,4134,99,2580,10,159,16,290,26,705,7,188,3,7,1,4,2,113,1,90,1,5,4,87,1,2,1,17,9,613,-,-,-,-,4,117,1,68,-,-,-,-,12,115,-,-,-,-,-,-,-,-,17,1545,3,334,-,-,-,-,1,139,2,252,-,-,1,48,-,-,1,32,-,-,1,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,204,4,118,-,-,2,313,-,-,1,9,-,-,-,-,-,-,-,-,-,-,1,9,1,9,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80D,ゴルフ練習場,180,2655,115,1715,2,13,3,15,6,33,2,22,3,10,5,39,3,43,2,64,2,2,4,80,11,126,15,192,2,7,1,7,5,79,6,97,2,163,1,3,6,97,13,250,7,148,7,82,6,142,1,1,64,932,10,121,1,18,3,81,4,63,5,96,1,17,-,-,3,78,12,120,-,-,5,59,4,38,1,32,2,22,1,7,-,-,1,13,-,-,1,17,1,12,1,8,2,42,1,16,2,17,-,-,3,55,1,8,1,8,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80E,ボウリング場,60,2184,42,1589,-,-,-,-,3,104,6,88,-,-,1,11,1,15,2,223,-,-,1,1,3,97,3,46,3,385,2,23,1,24,4,247,1,6,-,-,2,142,1,6,4,131,2,22,2,18,-,-,17,587,4,125,1,23,-,-,-,-,2,33,2,117,-,-,-,-,1,112,2,16,-,-,-,-,1,37,-,-,-,-,1,9,-,-,1,19,-,-,-,-,1,79,1,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80F,テニス場,68,438,29,170,-,-,-,-,1,13,-,-,1,11,-,-,-,-,5,21,-,-,-,-,2,7,2,13,-,-,2,5,-,-,-,-,1,3,-,-,-,-,14,82,-,-,1,15,-,-,-,-,36,255,14,46,1,2,-,-,1,3,1,2,2,13,-,-,3,10,6,65,-,-,1,5,2,5,-,-,1,-,-,-,1,3,-,-,1,94,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80G,バッティング・テニス練習場,36,189,21,106,1,3,-,-,-,-,2,18,-,-,1,8,-,-,-,-,-,-,-,-,2,5,3,13,1,9,1,10,1,5,2,5,-,-,-,-,2,6,3,14,-,-,1,2,1,8,-,-,15,83,3,17,-,-,-,-,-,-,-,-,-,-,-,-,1,7,1,5,-,-,-,-,1,5,1,2,-,-,-,-,-,-,-,-,-,-,2,11,2,6,1,5,-,-,-,-,1,10,-,-,2,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80H,フィットネスクラブ,704,14983,529,11577,15,425,21,396,41,797,34,620,2,45,11,170,19,567,20,612,32,1099,21,711,35,568,41,779,45,724,17,405,25,497,26,545,15,293,7,156,20,353,23,517,17,366,19,385,21,534,2,13,175,3406,24,442,11,159,18,378,7,144,4,83,9,217,4,73,7,133,17,297,6,107,5,143,3,70,5,178,6,125,7,71,5,70,-,-,1,75,2,81,3,38,1,4,13,263,5,116,3,9,1,3,8,127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,80,805,公園，遊園地,227,6827,116,4410,7,176,3,99,10,290,8,325,4,119,3,193,3,20,8,1085,6,125,2,31,2,16,9,95,4,140,1,43,5,34,5,576,2,17,2,36,7,87,8,675,10,133,4,51,3,44,-,-,51,1752,7,50,2,152,1,4,-,-,1,10,1,8,1,5,2,56,9,109,2,32,1,5,2,10,1,13,3,18,-,-,-,-,-,-,-,-,-,-,-,-,2,14,4,781,3,157,-,-,6,286,3,42,7,34,4,19,1,2,1,6,-,-,2,11,3,15,-,-,-,-,-,-,-,-,-,-,1,3,1,3,-,-,1,11,1,11,-,-,1,1,1,1
3,N,80,806,遊戯場,2370,36823,1824,28550,93,1004,105,1063,101,1081,142,2239,16,84,79,968,39,666,72,1242,78,4845,31,332,119,1836,98,1134,68,899,63,648,69,838,117,1993,48,681,41,784,107,1525,78,916,93,1347,77,1112,90,1313,-,-,521,7823,74,1284,31,597,39,374,5,38,22,555,28,521,24,267,30,397,48,685,12,200,16,198,20,223,17,242,19,156,10,73,9,105,4,46,15,302,11,138,9,114,12,156,21,390,3,33,11,150,7,225,24,354,25,450,9,373,7,345,2,28,-,-,-,-,16,77,7,44,4,29,-,-,1,5,2,10,2,4,2,4,-,-,7,29,7,29,-,-,-,-,-,-
4,N,80,80J,マージャンクラブ,789,3500,659,2865,38,140,73,196,49,183,62,429,8,19,24,90,14,64,19,51,36,94,6,28,42,147,36,214,29,188,22,102,23,136,36,214,13,49,12,37,30,111,26,120,23,82,20,81,18,90,-,-,126,629,12,97,9,65,12,91,3,10,2,11,10,45,7,20,7,18,14,131,2,8,2,8,7,22,4,15,5,11,5,12,2,5,-,-,1,3,1,1,1,5,3,4,3,8,1,2,4,13,1,1,8,23,4,6,-,-,-,-,-,-,-,-,-,-,4,6,1,2,-,-,-,-,-,-,1,2,1,2,1,2,-,-,2,2,2,2,-,-,-,-,-,-
4,N,80,80K,パチンコホール,999,23126,740,16926,24,422,22,698,28,771,36,975,4,56,36,730,14,499,31,843,30,649,16,254,54,1101,35,777,20,507,24,429,32,594,49,1269,28,599,23,714,55,1295,34,678,48,1062,45,929,52,1075,-,-,242,5832,41,916,13,435,11,201,1,15,15,478,13,398,11,200,11,294,16,447,6,165,11,179,6,183,11,224,9,119,4,58,5,75,2,41,9,231,6,124,5,85,5,83,9,239,1,16,4,107,5,218,12,301,17,368,5,297,5,297,-,-,-,-,-,-,12,71,6,42,4,29,-,-,1,5,1,8,1,2,1,2,-,-,5,27,5,27,-,-,-,-,-,-
4,N,80,80L,ゲームセンター,357,9188,267,7957,20,401,6,146,15,81,24,630,1,4,17,140,8,89,16,288,8,4065,3,42,18,557,15,106,8,173,8,91,5,68,22,451,3,27,2,6,13,96,13,103,18,178,9,86,15,129,-,-,86,1155,14,255,5,83,7,51,1,13,4,55,2,73,6,47,7,77,9,72,2,22,2,9,2,9,-,-,1,17,-,-,2,25,-,-,3,61,2,10,2,23,3,67,8,128,-,-,2,29,1,6,1,23,4,76,4,76,2,48,2,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,N,80,80M,その他の遊戯場,225,1009,158,802,11,41,4,23,9,46,20,205,3,5,2,8,3,14,6,60,4,37,6,8,5,31,12,37,11,31,9,26,9,40,10,59,4,6,4,27,9,23,5,15,4,25,3,16,5,19,-,-,67,207,7,16,4,14,9,31,-,-,1,11,3,5,-,-,5,8,9,35,2,5,1,2,5,9,2,3,4,9,1,3,-,-,2,5,2,7,2,3,1,1,1,2,1,15,1,15,1,1,-,-,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,N,80,809,その他の娯楽業,1993,26211,1564,21773,90,1079,92,1407,150,2643,158,2241,20,511,69,1181,35,558,46,735,65,752,33,434,66,481,84,912,126,3436,47,448,63,470,106,1768,31,306,20,173,56,476,52,309,64,520,39,400,51,530,1,3,352,4131,49,507,24,551,26,379,9,117,14,99,22,291,8,83,22,319,35,451,12,71,5,30,9,106,19,218,10,119,5,42,7,90,7,41,6,33,7,83,4,24,4,36,11,78,4,8,6,55,13,73,14,227,76,301,10,148,3,34,1,20,1,6,5,88,66,153,30,74,10,20,2,4,5,9,13,41,14,20,12,15,2,5,14,28,14,28,-,-,8,31,8,31
4,N,80,80N,カラオケボックス業,856,12606,684,10035,23,417,22,485,40,637,70,1461,5,34,32,595,17,168,13,141,28,344,15,335,33,292,40,493,37,1056,27,309,21,207,52,1124,21,234,14,141,41,378,32,187,50,413,25,281,26,303,-,-,169,2567,22,356,13,277,12,248,4,79,4,45,6,60,4,66,10,173,16,330,5,56,3,27,5,64,13,128,5,95,3,34,7,90,2,17,5,27,4,65,4,24,4,36,4,37,3,7,3,38,3,20,5,168,3,4,-,-,-,-,-,-,-,-,-,-,3,4,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,3,2,3,-,-,-,-,-,-
4,N,80,80P,他に分類されない娯楽業,1137,13605,880,11738,67,662,70,922,110,2006,88,780,15,477,37,586,18,390,33,594,37,408,18,99,33,189,44,419,89,2380,20,139,42,263,54,644,10,72,6,32,15,98,20,122,14,107,14,119,25,227,1,3,183,1564,27,151,11,274,14,131,5,38,10,54,16,231,4,17,12,146,19,121,7,15,2,3,4,42,6,90,5,24,2,8,-,-,5,24,1,6,3,18,-,-,-,-,7,41,1,1,3,17,10,53,9,59,73,297,10,148,3,34,1,20,1,6,5,88,63,149,29,73,10,20,1,3,5,9,13,41,14,20,12,15,2,5,12,25,12,25,-,-,8,31,8,31
1,O,00,000,教育，学習支援業,21291,468565,12663,275671,576,24029,380,6460,693,25494,892,33209,492,29591,252,4757,267,2731,331,5239,460,10979,426,8787,620,7439,1218,21963,845,20780,413,7154,780,9480,671,16584,343,5290,191,2780,555,8569,852,8433,502,6057,384,4129,518,5716,2,21,5614,86280,757,16562,282,3519,373,6176,191,3647,164,831,301,4240,159,975,297,5524,642,10177,147,4315,274,5296,261,4393,148,1398,200,2269,177,3435,81,535,71,597,114,734,91,1083,141,1315,73,517,150,3846,94,1155,88,534,76,586,262,2621,76,334,41,213,22,142,15,49,1,1,3,21,35,121,18,62,13,49,-,-,2,6,3,7,2,6,2,6,-,-,12,23,12,23,-,-,3,30,3,30
2,O,81,000,学校教育,4877,309813,1896,166497,152,16307,26,3725,103,18508,161,21385,127,23272,26,2042,28,970,35,2442,64,7480,51,5037,86,2819,176,13360,132,10471,70,3204,95,4700,140,9931,71,3498,27,1439,79,5664,59,3079,67,2737,46,2150,75,2277,-,-,614,50709,96,12695,30,1577,43,2931,34,2596,8,148,26,2313,12,246,35,3657,81,6560,22,3339,37,3446,18,2674,17,529,14,894,21,2073,5,94,5,100,4,75,14,673,14,504,6,218,20,1138,13,617,7,149,11,309,21,1154,6,80,6,80,2,52,3,25,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,810,管理，補助的経済活動を行う事業所,95,6387,82,6033,13,799,5,15,11,435,6,547,9,1141,-,-,-,-,-,-,1,1392,2,14,3,96,5,173,8,455,3,36,1,2,7,558,1,10,-,-,3,52,1,298,-,-,1,3,2,7,-,-,13,354,6,254,-,-,1,14,-,-,-,-,-,-,-,-,2,5,2,25,-,-,-,-,1,53,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,811,幼稚園,1009,17930,543,9457,3,47,-,-,15,212,11,138,18,280,6,117,10,146,15,306,19,327,19,314,49,891,57,902,19,269,20,316,42,651,16,236,23,453,5,70,33,583,41,833,54,879,29,606,39,881,-,-,292,6311,35,731,11,262,12,238,16,336,6,86,16,378,7,122,16,286,37,814,7,101,15,407,10,200,11,277,6,87,9,121,5,94,4,82,3,74,8,169,9,229,4,104,9,295,7,193,7,149,7,171,15,305,4,76,4,76,2,52,2,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,O,81,812,小学校,1356,48242,39,1768,3,137,-,-,2,135,1,118,4,192,-,-,-,-,-,-,1,30,2,71,3,88,8,347,3,144,2,65,2,93,2,96,2,101,-,-,2,71,2,80,-,-,-,-,-,-,-,-,24,924,1,28,-,-,3,179,2,34,-,-,2,73,1,32,2,82,2,103,1,37,2,65,-,-,-,-,1,45,3,124,-,-,-,-,-,-,1,35,1,28,-,-,1,39,-,-,-,-,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
