"施策の体系","重点的取組","数値目標","計画番号","事業名","所管局","平成17年度実績","平成18年度実績","平成19年度実績","平成20年度実績","平成21年度実績","重点戦略通し番号"
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（4）障害児施策の充実／(2)福祉・保健・医療などの機関の連携による支援","","●","再掲","小児総合医療センター（仮称）の整備","病院経営本部","No.24参照","No.24参照","No.24参照","No.24参照","No.24参照",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（4）障害児施策の充実／(3)私立学校への支援","","","127","私立特別支援学校等経常費補助","生活文化局","私立盲・ろう・養護学校等経常費補助　83校","私立盲・ろう・養護学校等経常費補助　89校","私立特別支援学校等経常費補助　102校","私立特別支援学校等経常費補助　　101校","私立特別支援学校等経常費補助　　112校",""
"目標４特別な支援を必要とする子どもや家庭の自立を促進する基盤づくり／（4）障害児施策の充実／(3)私立学校への支援","","","128","私立幼稚園特別支援教育事業費補助","生活文化局","私立幼稚園障害児教育事業費補助　127園","私立幼稚園障害児教育事業費補助　124園","私立幼稚園障害児教育事業費補助　135園","私立幼稚園障害児教育事業費補助　　132園","私立幼稚園障害児教育事業費補助　　138園",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(1)犯罪等の被害防止","","","129","防犯教室の実施","警視庁","小・中学校、高校、保育園、幼稚園における防犯教室の実施回数　2152回","小・中学校、高校、保育園、幼稚園における防犯教室の実施回数 2669回","小・中学校、高校、保育園、幼稚園における防犯教室の実施回数 3853回","小・中学校、高校、保育園、幼稚園における防犯教室の実施回数 3499回","小・中学校、高校、保育園、幼稚園における防犯教室の実施回数　3758回",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(1)犯罪等の被害防止","","","130","電子メールなどを活用した情報の発信","警視庁","警視庁ホームページに子どもに対する不審者情報や犯罪発生マップ、犯罪情報マップを掲載メールによる情報発信（3729回）","警視庁ホームページに子どもに対する不審者情報や犯罪発生マップ、犯罪情報マップを掲載／メールによる情報発信（6546回）","警視庁ホームページに子どもに対する不審者情報や犯罪発生マップ、犯罪情報マップを掲載／メールによる情報発信（4550回）","子どもに対する犯罪や不審者情報を「メールけいしちょう」で情報発信（3577回）／警視庁ホームページを随時更新し、子どもに対する声かけ事案の発生状況や防犯対策等の情報を発信","警視庁ホームページに、子供に対する不審者情報や犯罪発生マップ、犯罪情報マップを掲載／「メールけいしちょう」による情報発信（3626回）",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(1)犯罪等の被害防止","","","131","セーフティ教室の実施","教育庁","約1800校の公立小・中学校で実施した。／児童・生徒に具体的に犯罪に巻き込まれないための身の守り方や悪い誘いの断り方などを指導し、安全の問題で地域との連携が深まる機会となった。","公立学校全校で実施した。／児童・生徒に具体的に犯罪に巻き込まれないための身の守り方や悪い誘いの断り方などを指導し、安全の問題で地域との連携が深まる機会となった。","公立学校全校で実施した。／児童・生徒に具体的に犯罪に巻き込まれないための身の守り方や悪い誘いの断り方などを指導し、安全の問題で地域との連携が深まる機会となった。","公立学校全校で実施した。児童・生徒に具体的に犯罪に巻き込まれないための身の守り方や悪い誘いの断り方などを指導し、安全の問題で地域との連携が深まる機会となった。","公立学校全校で実施した。／内容は(1)飲酒・喫煙防止、(2)薬物乱用防止、(3)万引き防止、(4)連れ去り、性被害防止、(5)インターネット・携帯電話等にかかわるハイテク犯罪防止　等／児童・生徒に具体的に犯罪に巻き込まれないための身の守り方や悪い誘いの断り方などを指導し、安全の問題で地域との連携が深まる機会となった。",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(1)犯罪等の被害防止","","","再掲","スクールサポーター制度","警視庁","No.35参照","No.35参照","No.35参照","No.35参照","No.35参照",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(1)犯罪等の被害防止","","","132","「子ども１１０番の家」活動の支援","警視庁","「警視庁子ども１１０番マーク」の作成／「子ども１１０番」の家活動マニュアルの作成、配布（１２万部）／「子ども１１０番の家」活動を行っている者を対象とした講習会の開催／「子ども１１０番の家」に対するアンケート調査の実施","「警視庁子ども１１０番マーク」の作成／「子ども１１０番の家」活動を行っている者を対象とした講習会の開催","「警視庁子ども１１０番マーク」の作成／「子ども１１０番の家」活動を行っている者を対象とした講習会の開催／新規活動団体.企業等に対する活動指導","「子ども１１０番の家」活動マニュアルの作成／新規活動団体、企業等に対する活動指導","「子ども１１０番の家」活動マニュアルの作成／新規活動団体、企業等に対する活動指導",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(1)犯罪等の被害防止","★","","再掲","東京都子育て支援基盤整備包括補助事業","福祉保健局","No.16参照","No.16参照","No.16参照","No.16参照","No.16参照",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(2)子どもを取り巻く環境対策の推進","","","133","青少年の健全な育成に関する条例の運用","青少年・治安対策本部","(1)東京都青少年健全育成審議会の運営　年１１回開催／・優良映画の推奨　９本、不健全図書の指定　３１冊、不健全ながん具類の指定　１種(エアガン)／(2)　青少年健全育成条例の運用／・立入調査等(書店・コンビニ等図書類販売店272店、ビデオ店 26店、深夜ボウリング場2館、古物商26店、カラオケボックス44店、まんが喫茶・インターネットカフェ38店、雑誌等自動販売機調査 1027台)／・青少年健全育成功労者等表彰及び青少年育成協力者等感謝状贈呈(青少年健全育成功労者等 67人・13団体、感謝状贈呈　83人","(1)東京都健全育成審議会の運営　年11回開催／・優良映画の推奨　9本、不健全図書の指定　29冊／(2)　青少年健全育成条例の運用／・立入調査等(書店・コンビニ等図書類販売店361店、ビデオ店 65店、深夜ボウリング場3館、古物商64店、カラオケボックス59店、まんが喫茶・インターネットカフェ71店、雑誌等自動販売機調査 696台)／・青少年健全育成功労者等表彰及び青少年育成協力者等感謝状贈呈(青少年健全育成功労者等 68人・12団体、感謝状贈呈　84人・6団体)／・青少年健全育成協力員制度の推進(委嘱者数906人、調査店舗数　20680店)","(1)東京都青少年健全育成審議会の運営　年12回開催／・優良映画の推奨　11本、不健全図書の指定　40冊／(2)　青少年健全育成条例の運用／・立入調査等(書店・コンビニ等図書類販売店319店、ビデオ店87店、深夜ボウリング場5館、古物商67店、カラオケボックス64店、まんが喫茶・インターネットカフェ79店、雑誌等自動販売機調査 156台)／・青少年健全育成功労者等表彰及び青少年育成協力者等感謝状贈呈(青少年健全育成功労者等 69人・11団体、感謝状贈呈　81人・9団体)／・青少年健全育成協力員制度の推進(委嘱者数901人、調査店舗数　9212店)","(1)東京都青少年健全育成審議会の運営　年12回開催／・優良映画の推奨　8本、不健全図書の指定　36冊／(2)　青少年健全育成条例の運用／・立入調査等(書店・コンビニ等図書類販売店336店、ビデオ店96店、深夜ボウリング場8館、古物商86店、カラオケボックス32店、まんが喫茶・インターネットカフェ80店、雑誌等自動販売機調査 127台)／・青少年健全育成功労者等表彰及び青少年育成協力者等感謝状贈呈(青少年健全育成功労者等 71人・9団体、感謝状贈呈　84人・6団体)／・青少年健全育成協力員制度の推進(委嘱者数813人、調査店舗数　8133店)","○東京都青少年健全育成審議会の運営　年12回開催／・優良映画の推奨　5本、不健全図書の指定　32冊／○　青少年健全育成条例の運用／・立入調査等(書店・コンビニ等図書類販売店238店、ビデオ店37店、深夜ボウリング場4館、古物商33店、カラオケボックス56店、まんが喫茶・インターネットカフェ94店、雑誌等自動販売機調査　168台)／・青少年健全育成功労者等表彰及び青少年育成協力者等感謝状贈呈(青少年健全育成功労者等 73人・7団体、感謝状贈呈　84人・6団体)／・青少年健全育成協力員制度の推進(委嘱者数863人、調査店舗数　9014店)",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(2)子どもを取り巻く環境対策の推進","★","","134","インターネットの利用環境の整備","青少年・治安対策本部","○ガイドブックを13万部作成し、小学４年生の保護者及び全教員に配布／○都民に向けて、ホームページによりガイドブックを公表／○インターネットセミナーを65回実施","○ガイドブックを10万部作成し、小学４年生の保護者等に配布／○ネット関係業界、学校関係者など関係分野から人材を集め、インターネット、ゲームに関する家庭のルール作りプロジェクトチームを立ち上げ、家庭におけるインターネット、ゲームのルール作りについての指針等を検討し、冊子『作ってみよう！ファミリeルール』を作成（プロジェクトチーム検討会の開催　5回、プロジェクトチーム作業部会の開催　6回）。／○冊子を活用し、グループワーク形式で主に小学生高学年の保護者を対象にワークを行い、家庭におけるルール作りを支援（グループワークの開催　2回）。／○グループワークの円滑な実施のため、進行役となるファシリテーターを養成（ファシリテーターの養成　75名）。","○ネット関係業界、学校関係者などからなるインターネット、ゲームに関する家庭のルール作りプロジェクトチームにおいて、家庭におけるインターネット、ゲームのルール作り事業の効果的な実施方法等を検討。平成20年3月、冊子の改訂版作成。（プロジェクトチーム検討会の開催　4回）。／○冊子を活用し、グループワーク形式で主に小学生高学年の保護者を対象とした「ファミリeルール講座」を開催（講座の開催22回）。／○グループワークの円滑な実施のため、進行役となるファシリテーターを養成（ファシリテーターの養成27名、累積102名）。","○主に小学校高学年の保護者を対象としたグループワーク形式の「ファミリeルール講座」を開催（37回、累計61回、累計参加者数 2612名）。／○「ファミリeルール講座」の全体進行役となるeメディアリーダーを養成(34名）。／○「ファミリeルール講座」の円滑な実施のため、グループごとの進行役となるファシリテーターを養成（137名、累計239名）。／○eメディアリーダーによる「出前講演会」を開催（13回）。／○チラシを活用した講座の普及促進","○出前講演会の開催　31回（累計：44回、累計参加者数：6000名）／○ファミリeルール講座の開催　32回（累計：93回、累計参加者数： 3827名）／○eメディアリーダーの養成　28名／○ファシリテーターの養成　149名（累計：388名）／○eメディアリーダー養成講座の開催　１回／○ファシリテーター養成講座の開催　４回",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(2)子どもを取り巻く環境対策の推進","","","135","学校における情報モラルの育成","教育庁","7月21日から8月31日の間に都立高等学校23校で「インターネット親子セーフティ講座」を開催","7月21日から8月31日の間に、都立高等学校22校で「インターネット親子セーフティ講座」を開催","7月21日から8月31日の間に、都立高等学校20校で「インターネット親子セーフティ講座」を開催","19年度末　事業終了","以下の取組により、有害情報から子供を守るための情報教育等を推進する。／○都内公立学校における学校非公式サイトの実態把握を行い、不適切な書き込みの削除要請を行う。／○子供のインターネット、携帯電話利用に関する実態調査を実施し、結果を公表する。／○「インターネット・携帯電話の適正な利用に関するリーフレット」を作成し、小学校第5学年児童全員及び中学第1学年生徒全員に配布する。",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（1）子どもを犯罪等の被害から守るための活動の推進／(2)子どもを取り巻く環境対策の推進","★","","136","薬物乱用防止対策の強化","福祉保健局","○指定薬物　７物質（うち１物質は麻薬指定のため平成１８年４月２２日付失効）／○一斉監視指導実施　３回（知事指定薬物の販売なし）／○都による警告　１件／○警視庁による摘発　１件","○指定薬物　２物質（うち１物質は麻薬指定のため平成１９年２月３日付失効）／○一斉監視指導実施　３回（知事指定薬物の販売なし）／○都による警告　１件／○警視庁による摘発　１件／○薬事法改正に伴う条例改正［平成１９年４月１日施行］（大臣指定薬物への指定を受け知事指定薬物・全９物質を失効）","平成19年4月1日施行の改正薬事法により、知事指定薬物は大臣指定薬物（一部は麻薬指定）となったため全て失効した。／平成19年3月20日、都における今後の薬物乱用対策をより適切・効果的に推進するため、東京都薬事審議会に「東京都における今後の薬物乱用対策の推進について」諮問し、同年12月20日答申を得た。／また、平成19年度末、専門調査委員会を開催し、都の試買調査等で発見した薬物について評価・検討を行った。","都で発見した未規制薬物について、薬事法規制に向けた検討のための情報提供を国に対し行った。また、医療機関の協力を得て、 患者の尿などの分析から乱用されている未規制薬物の情報を収 集し、調査研究に活用した。／・試買調査：110品目／・医薬品成分検出：8品目（プレス実施）","都で発見した未規制薬物について、薬事法規制に向けた検討のための情報提供を国に対し行った（６品目）。また、医療機関の協力を得て、患者の尿などの分析から乱用されている未規制薬物の情報を収集し、調査研究に活用した。／○試買調査：１１０品目／○指定薬物検出：１品目",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(1)交通安全を確保するための活動の推進","","","137","交通安全教育の普及促進","警視庁","（幼稚園児等及び保護者に対する交通安全教育支援活動） 83194人（対象年齢層の実施率14.1％）／（小学生及び保護者に対する交通安全教育支援活動） 243496人（対象年齢層の実施率36.0％）／（中学生及び保護者に対する交通安全教育支援活動） 16262人（対象年齢層の実施率5.8％）／（高校生及び保護者に対する交通安全教育支援活動） 38946人（対象年齢層の実施率13.0％）","（幼稚園児等及び保護者に対する交通安全教育支援活動） 121504人（対象年齢層の実施率19.3%）／（小学生及び保護者に対する交通安全教育支援活動） 229216人（対象年齢層の実施率36.4%）／（中学生及び保護者に対する交通安全教育支援活動） 11601人（対象年齢層の実施率　1.8%）／（高校生及び保護者に対する交通安全教育支援活動） 31862人（対象年齢層の実施率　5.1%）","（幼稚園児等に対する交通安全教育支援活動） 124815人（実施率　45.0 %）／（小学生に対する交通安全教育支援活動） 462115人（実施率　78.5%）／（中学生に対する交通安全教育支援活動） 26296人（実施率　8.6%）／（高校生に対する交通安全教育支援活動） 66273人（実施率　21.6%）／※","（幼稚園児等に対する交通安全教育支援活動） 116390人（実施率　42.1 %）／（小学生に対する交通安全教育支援活動） 392289人（実施率　66.2%）／（中学生に対する交通安全教育支援活動） 53493人（実施率　17.4%）／（高校生に対する交通安全教育支援活動） 66984人（実施率　21.9%）／※","（幼稚園児等に対する交通安全教育支援活動）　115228人（実施率　70.0 %）／（小学生に対する交通安全教育支援活動）　391000人（実施率　65.8%）／（中学生に対する交通安全教育支援活動）　72096人（実施率　23.2%）／（高校生に対する交通安全教育支援活動）　62555人（実施率　20.3%）／※",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(1)交通安全を確保するための活動の推進","","","138","区市町村交通安全教育担当者実務講習","青少年・治安対策本部","区市町村交通安全教育担当者実務講習会　2回実施","区市町村交通安全教育担当者実務講習会　2回実施","区市町村交通安全教育担当者実務講習会　2回実施／（テーマ）／（講　師）／第１回　・交通安全教育プログラムの開発について東京都教職員研修センター教授　林和男／（5／29）　・効果的な交通安全教室の進め方警視庁交通部交通総務課　 交通安全教育係第２回／・活き活き老後と交通安全学習／東京都老人総合研究所研究副部長　溝端光雄／（1／29）　・事例発表　板橋区の交通安全事業の取組み板橋区役所土木部交通対策課","区市町村交通安全教育担当者実務講習会　2回実施","区市町村交通安全教育担当者実務講習会　2回実施",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(1)交通安全を確保するための活動の推進","","","139","高校生用交通安全教育資料など","教育庁","○交通安全パンフレット（春の交通安全運動期間用） 51000部作成。都立高等学校第１学年生徒に配布。／○交通安全パンフレット（秋の交通安全運動期間中）原稿を電子データで各都立学校へ送り、学校で全校生徒に増刷し配布。／○東京都高等学校交通安全教育指導事例集第22集 700部作成。都立高等学校配布。","○交通安全パンフレット（春の交通安全運動期間用）52000部作成。都立高等学校第1学年生徒に配布。／○交通安全パンフレット（秋の交通安全運動期間中）原稿を電子データで各都立学校へ送り、学校で全校生徒に増刷し配布。／○東京都高等学校交通安全教育指導事例集第23集 700部作成。都立高等学校配布。","○交通安全パンフレット（春の交通安全運動期間用） 51000部作成。都立高等学校第1学年生徒に配布。／○交通安全パンフレット（秋の交通安全運動期間中）原稿を電子データで各都立学校へ送り、学校で全校生徒に増刷し配布。／○東京都高等学校交通安全教育指導事例集第24集 700部作成。都立高等学校配布。","○交通安全パンフレット（春の交通安全運動期間用） 52000部作成。都立高等学校第1学年生徒に配布。／○交通安全パンフレット（秋の交通安全運動期間中）原稿を電子データで各都立学校へ送り、学校で全校生徒に増刷し配布。／○東京都高等学校交通安全教育指導事例集第25集 500部作成。都立高等学校配布。","○交通安全パンフレット（春の交通安全運動期間用） 52500部作成。都立高等学校第1学年生徒に配布。／○交通安全パンフレット（秋の交通安全運動期間中）原稿を電子データで都内公立学校へ送り、学校で全校児童・生徒に増刷し配布。／○東京都高等学校交通安全教育指導事例集第26集 500部作成。都立高等学校配布。",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(1)交通安全を確保するための活動の推進","","","140","チャイルドシートなどの正しい着用についての普及啓発","警視庁 青少年・治安対策本部","（警視庁)春・秋の全国交通安全運動等において、チャイルドシートの正しい使用の徹底を重点とした広報啓発活動を推進した。／（青少年・治安対策本部）○　シートベルト体験車の貸出／貸出実績　利用回数　９０回／利用者数　２０、７５０人／○　幼児用自転車ヘルメット着用促進／「ハートフルメットＴＯＫＹＯキャンペーン」（１７年４月）等の実施","（警視庁）／春・秋の全国交通安全運動等において、チャイルドシートの正しい着用の徹底を重点として推進するなど、あらゆる機会を通じて、チラシ、パンフレットの配布や、街頭活動時における正しい着用を呼び掛ける広報啓発活動を推進した。（広報啓発活動　1033回 192370人）／（青少年・治安対策本部）／○シートベルト体験車の貸出／貸出実績　利用回数　90回／利用者数　19875人／○幼児用自転車ヘルメット／ＳＧマーク認定数　平成18年4月から平成19年3月まで合計　約79万個認定","（警視庁）／春・秋の全国交通安全運動において、チャイルドシートの正しい使用の徹底を重点として推進するなど、あらゆる機会を通じて、チラシ、パンフレットの配布や、街頭活動時における正しい使用を呼び掛ける広報啓発活動を推進した。／（青少年・治安対策本部）／○　シートベルト体験車の貸出／貸出実績　利用回数　１１４回／利用者数　２８４７４人／○　幼児用自転車ヘルメット着用促進／「ハートフルメットＴＯＫＹＯキャンペーン」（１９年４月）の実施等／《参考》ＳＧマーク認定数　平成１９年４月から平成２０年３月末まで合計　約７７万個認定","（警視庁）／春・秋の全国交通安全運動等において、チャイルドシートの正しい使用の徹底を重点として推進するなど、あらゆる機会を通じて、チラシ、パンフレットの配布や、街頭活動時における正しい使用を呼び掛ける広報啓発活動を推進した。／（青少年・治安対策本部）／○シートベルト体験車の貸出／貸出実績　利用回数　９８回／利用者数　１８１８４人／○幼児用ヘルメット着用促進／自転車安全利用ＴＯＫＹＯキャンペーン（２０年５月）等の実施","（警視庁）／春・秋の全国交通安全運動等において、「すべての座席のシートベルトとチャイルドシートの正しい着用の徹底」を重点として推進したほか、あらゆる機会を通じて、チラシ、パンフレットの配布や、街頭活動時における正しい使用を呼びかける広報啓発活動を推進した。／（青少年・治安対策本部）／○シートベルト体験車の貸出／貸出実績　利用回数　75回／利用者数　9860人／○幼児用ヘルメット着用促進／自転車安全利用ＴＯＫＹＯキャンペーン（２１年５月）等の実施",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(2)安全な道路交通環境の整備","","●","141","歩車分離式信号機の導入","警視庁","47か所（年度中5か所整備）","82か所（年度中35か所整備）","111か所（年度中29か所整備）","145か所（年度中34か所整備）","208か所（年度中63か所整備）",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(2)安全な道路交通環境の整備","","●","142","歩行者感応式信号機等の整備","警視庁","82か所（年度中40か所整備）","95か所に整備（年度中13か所整備）","111か所（年度中16か所整備）","124か所（年度中13か所整備）","144か所（年度中20か所整備）",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(2)安全な道路交通環境の整備","","","143","あんしん歩行エリアの整備","警視庁","○交通規制の見直し2345件（車両通行止め～59、横断歩道～350、最高速度～26、一時停止～136、その他～1774）／○交通規制標識の超高輝度化・大型化／普通標識　4494枚　95266500円／大型標識　20本　10038000円／計4514枚・本（内大型板20本）　105304500円","○交通規制の見直し　109件（車両通行禁止11、横断歩道14、最高速度1、一時停止8、その他 75）／○標識の超高輝度化・大型化／普通標識　1500枚　32340000円／大型標識　25本　13377000円／計1525枚・本　45717000円","○交通規制の見直し　46件（指定方向外進行禁止34、進行方向別通行区分4、中央線変移4、一方通行1、停止線移設3）／○標識の超高輝度化・大型化／普通標識　1495枚　35437500円／大型標識　25本　21630000円／計1520枚・本　57067500円","○交通規制の見直し　181件（車両通行禁止5、一時停止25、横断歩道65、自転車横断帯40、その他46）／○標識の超高輝度化・大型化／普通標識　1500枚　33075000円／大型標識　25本　20769000円／計1525枚・本　53844000円","○交通規制の見直し　124件（横断歩道48、一時停止20、指定方向外通行禁止19、自転車横断帯10、その他27）／○標識の超高輝度化／普通標識　1500枚　40950000円",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（2）子どもの交通安全を確保するための取組の推進／(2)安全な道路交通環境の整備","","","144","幹線道路ネットワークの整備","建設局","都内の都市計画道路の整備状況／完成率：５５．７％（区部５８．６％、多摩部５１．９％）／〈平成１８年３月３１日見込〉","都内の都市計画道路の整備状況／完成率：５６．３％（区部５９．０％、多摩部５２．６％）／〈平成１９年３月３１日見込〉","都内の都市計画道路の整備状況／完成率：５６．６％（区部５９．５％、多摩部５２．８％）／（平成２０年３月３１日見込　都市整備局作成）","都内の都市計画道路の整備状況／完成率：56.8％（区部59.8％、多摩部53.0％）／（平成21年3月31日見込　都市整備局作成）","都内の都市計画道路の整備状況／完成率：56.8％（区部59.8％、多摩部53.0％）／（平成21年3月31日現在　都市整備局作成）",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（3）良質な住宅と居住環境の確保／(1)ファミリー世帯のニーズへの対応","","","145","都市型民間賃貸住宅供給助成事業","都市整備局","供給実績：９６戸（認定ベース）","供給実績：28戸（認定ベース）","18年度事業終了","18年度事業終了","18年度事業終了",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（3）良質な住宅と居住環境の確保／(1)ファミリー世帯のニーズへの対応","","","146","住宅困窮度に応じた入居者選定方式の実施","都市整備局","○都営住宅の当選倍率の優遇制度　17年度募集戸数　3061戸（世帯向け募集全体）／○ポイント方式による募集　17年度募集戸数　1798戸（ポイント方式募集全体）／○母子アパートへの入居 17年度募集戸数　25戸／○多子世帯向け期限付き入居制度　17年度募集戸数　50戸（平成17年度新設）","○都営住宅の当選倍率の優遇制度　18年度募集戸数　1950戸（世帯向け募集全体）／○ポイント方式による募集　18年度募集戸数　2272戸（ポイント方式募集全体）／○母子アパートへの入居　平成18年度募集戸数　22戸／○多子世帯向け期限付き入居制度　 18年度募集戸数　41戸（平成17年度新設）","○都営住宅の当選倍率の優遇制度　19年度募集戸数　3051戸（世帯向け募集全体）／○ポイント方式による募集　19年度募集戸数　2553戸（ポイント方式募集全体）／○母子アパートへの入居　平成18年度事業終了／○多子世帯向け期限付き入居制度　19年度募集戸数　60戸（平成17年度新設）","○都営住宅の当選倍率の優遇制度　20年度募集戸数　3007戸（世帯向け募集全体）／○ポイント方式による募集　20年度募集戸数　2581戸（ポイント方式募集全体）／○母子生活支援施設転出者向け特別割当て 20年度割当戸数　56戸／○多子世帯向け期限付き入居制度　20年度募集戸数　60戸（平成17年度新設）","○都営住宅の当選倍率の優遇制度　21年度募集戸数　3000戸（世帯向け募集全体）／○ポイント方式による募集　21年度募集戸数　2580戸（ポイント方式募集全体）／○母子生活支援施設転出者向け特別割当て　21年度割当戸数　50戸／○多子世帯向け期限付き入居制度　21年度募集戸数　60戸（平成17年度新設）","40"
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（3）良質な住宅と居住環境の確保／(1)ファミリー世帯のニーズへの対応","","","147","若年ファミリー世帯への入居機会の拡大","都市整備局","○若年ファミリー世帯向け期限付入居制度　17年度募集戸数　150戸（平成17年度から対象地域拡大）／○若年ファミリー世帯向け募集（期限なし） 17年度募集戸数　43戸","○若年ファミリー世帯向け期限付入居制度　18年度募集戸数　259戸（平成19年度から戸数拡大）／○若年ファミリー世帯向け募集（期限なし）　18年度募集戸数　25戸","○若年ファミリー世帯向け期限付入居制度 19年度募集戸数　340戸／○若年ファミリー世帯向け募集（期限なし） 19年度募集戸数　50戸","○若年ファミリー世帯向け期限付入居制度 20年度募集戸数　440戸／○若年ファミリー世帯向け募集（期限なし） 20年度募集戸数　50戸","○若年ファミリー世帯向け期限付入居制度　21年度募集戸数　940戸／○若年ファミリー世帯向け募集（期限なし）　21年度募集戸数　50戸","41"
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（3）良質な住宅と居住環境の確保／(2)安全で安心して子育てができる居住環境の整備","","","148","地域開発整備事業","都市整備局","(1)江戸川二丁目団地　保育所　829.00m2／(2)中里四丁目団地　地域市民センター　987.90m2","○大島九丁目第2団地　学童クラブ412m2／○小松川三丁目第2団地　保育所788.16m2／○上北沢一丁目第2団地　保育園768m2／○武蔵野緑町二丁目第3団地　児童育成施設310.30m2、障害者福祉施設356.70m2","(1)江北四丁目団地　保育所 1200.00m2（事業継続中）","区市からの要望がないため実績なし","○高砂四丁目団地　保育所　848.30m2(事業継続中）／○南水元三丁目団地　保育所　789.80m2（事業継続中）",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（3）良質な住宅と居住環境の確保／(2)安全で安心して子育てができる居住環境の整備","","","149","都市居住再生促進事業","都市整備局","17年度新規分　815戸／過年度からの継続分　1135戸","18年度新規分　463戸／過年度からの継続分　2077戸","19年度新規分　268戸／過年度からの継続分　2263戸","20年度新規分　295戸／過年度からの継続分　2047戸","21年度新規分　206戸／過年度からの継続分　823戸",""
"目標５子どもの安全と安心を確保し、子育てを支援する環境づくり／（3）良質な住宅と居住環境の確保／(2)安全で安心して子育てができる居住環境の整備","","","150","シックハウス対策","福祉保健局","○「区市町村保育担当者会」（平成17年6月29日）　内容：化学物質の子どもガイドラインの説明、周知等／○「平成17年度　化学物質健康問題に関する連絡会議」の開催（平成17年7月21日　119名）対象：保育園等区市町村の子供が利用する施設管理者等　内容：室内化学物質濃度上昇時における対策について／○「居室内の有害化学物質に関する連絡会議（庁内関係局）」の開催（平成18年1月26日）","○区市町村保育担当者会におけるガイドラインの周知及び子育て支援基盤整備包括補助事業を活用した化学物質測定の実施促進に関する説明（平成18年6月9日　131名）／○区市町村の子ども利用施設の所管担当者を対象とした「平成18年度　化学物質健康問題に関する連絡会議」の開催（平成18年7月21日　84名）／○庁内連絡会議（平成19年3月23日　厚生労働省のシックハウス担当者連絡会の内容等）","○区市町村保育担当者会におけるガイドラインの周知及び子育て支援基盤整備包括補助事業を活用した化学物質測定の実施促進に関する説明（平成19年6月26日　138名）／○区市町村の子ども利用施設の所管担当者を対象とした「平成19年度　化学物質健康問題に関する連絡会議」の開催（平成19年7月25日　112名）／○庁内連絡会議（平成20年3月24日　厚生労働省のシックハウス担当者連絡会の内容等）","○区市町村保育担当者会におけるガイドラインの周知及び子育て支援基盤整備包括補助事業を活用した化学物質測定の実施促進に関する説明（平成20年6月10日　184名）／○区市町村の子ども利用施設の所管担当者を対象とした「平成20年度　化学物質健康問題に関する連絡会議」の開催（平成20年7月24日　90名）／○庁内連絡会議開催（平成21年3月9日　厚生労働省のシックハウス担当者連絡会の内容等）","○区市町村保育担当者会におけるガイドラインの周知及び子育て支援基盤整備包括補助事業を活用した化学物質測定の実施促進に関する説明（平成21年6月26日　163名）／○保育園等区市町村の子供が利用する施設の所管担当者や設計･施工等の関係者を対象とした「平成21年度化学物質の少ない室内環境づくりに関する講演会」の開催（平成21年7月3日　124名）／○庁内連絡会議開催（平成22年3月30日　厚生労働省のシックハウス担当者連絡会の内容等）",""
