産業分類階層,産業コード,産業細分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額／製造品出荷額（万円）,製造品出荷額／加工賃収入額（万円）,製造品出荷額／修理料収入額（万円）,製造品出荷額／くず・廃物出荷額（万円）,製造品出荷額／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
2,3240,楽器製造業,13,251,181,250,180,1,104890,115739,319695,246148,18973,11945,-,42629,199876,198464,85910,1027,489,1093
3,3249,その他の楽器・楽器部品・同材料製造業,13,251,181,250,180,1,104890,115739,319695,246148,18973,11945,-,42629,199876,198464,85910,1027,489,1093
2,3250,がん具・運動用具製造業,65,1795,1223,1839,1267,3,857649,3577177,5994284,4207857,82013,227,108,1704079,2253956,2308668,661691,105870,5776,85214
3,3251,娯楽用具・がん具製造業（人形を除く）,34,418,227,417,226,2,126679,407377,689106,607293,45966,3,108,35736,264022,262724,30729,655,150,1674
3,3252,人形製造業,9,70,36,70,36,-,24611,116762,164651,159175,5100,224,-,152,44342,44342,-,-,-,-
3,3253,運動用具製造業,22,1307,960,1352,1005,1,706359,3053038,5140527,3441389,30947,-,-,1668191,1945592,2001602,630962,105215,5626,83540
2,3260,ペン・鉛筆・絵画用品・その他の事務用品製造業,61,824,451,819,447,5,276491,624338,1255670,1088190,117591,67,-,49822,579434,587634,241992,3754,1230,5150
3,3261,万年筆・ぺン類・鉛筆製造業,28,384,233,381,231,3,137341,381462,699352,552619,103664,67,-,43002,293089,297330,44136,2729,1,1667
3,3262,毛筆・絵画用品製造業（鉛筆を除く）,3,37,13,37,13,-,7723,10534,19301,19124,-,-,-,177,8118,8118,-,-,-,-
3,3269,その他の事務用品製造業,30,403,205,401,203,2,131427,232342,537017,516447,13927,-,-,6643,278227,282186,197856,1025,1229,3483
2,3280,畳等生活雑貨製品製造業,40,462,248,460,246,2,167728,694866,1023501,789242,50935,83,32,183209,314470,308071,92462,39522,2131,4766
3,3282,畳製造業,11,56,39,56,39,-,15830,33207,73303,51453,7562,83,32,14173,37406,37406,-,-,-,-
3,3283,うちわ・扇子・ちょうちん製造業,2,17,8,16,7,1,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,3284,ほうき・ブラシ製造業,18,240,140,239,139,1,90301,358516,521079,498385,648,-,-,22046,159006,151056,53326,6452,-,2635
3,3285,喫煙用具製造業（貴金属・宝石製を除く）,1,13,5,13,5,-,x,x,x,x,-,-,-,-,x,x,-,-,-,-
3,3289,その他の生活雑貨製品製造業,8,136,56,136,56,-,51825,281822,390646,200931,42725,-,-,146990,101211,102762,39136,33070,2131,2131
2,3290,他に分類されない製造業,244,4145,2923,4141,2920,9,1872000,4522198,8598433,7346465,349393,9297,197,893081,3653583,3795271,1725841,118151,10101,123430
3,3291,煙火製造業,1,104,71,105,72,-,x,x,x,x,-,-,-,x,x,x,x,x,x,x
3,3292,看板・標識機製造業,106,1483,1138,1485,1139,1,708349,1488586,3096852,2355035,161731,2079,-,578007,1438143,1490584,561799,25044,899,34702
3,3293,パレット製造業,7,54,47,53,46,1,21114,97121,141603,117799,2893,-,-,20911,41187,41187,-,-,-,-
3,3294,モデル・模型製造業,24,341,241,341,241,-,142039,238215,518627,510852,4165,-,-,3610,257298,259892,116036,215,-,2603
3,3295,工業用模型製造業,42,713,591,712,590,1,361110,419093,1037261,1008494,28251,76,-,440,558133,573376,213237,11198,1091,13613
3,3296,情報記録物製造業（新聞、書籍等の印刷物を除く）,7,230,132,230,132,-,96011,148351,358324,181868,63707,-,197,112552,199847,199847,-,-,-,-
3,3297,眼鏡製造業（枠を含む）,5,51,18,51,18,-,x,x,x,x,x,x,-,x,x,x,x,x,x,x
3,3299,他に分類されないその他の製造業,52,1169,685,1164,682,6,486483,2038810,3227464,2974437,84940,6922,-,161165,1046164,1111448,655923,74969,4844,66453
,,,,,,,,,,,,,,,,,,,,,,
2018東京の工業　平成30年工業統計調査報告（平成29年実績）,,,,,,,,,,,,,,,,,,,,,,
第1表　産業細分類別統計表（従業者4人以上の事業所）,,,,,,,,,,,,,,,,,,,,,,
産業分類階層（0：総数　1：産業中分類　2：産業小分類　3：産業細分類）,,,,,,,,,,,,,,,,,,,,,,
